mag_x (uT),mag_y (uT),mag_z (uT)
3.281321728103232260e+01,2.981359211860708496e-03,3.741465895280254017e+01
3.281144275925507969e+01,-1.223075141809251871e-02,3.742034016789248341e+01
3.281048970188932401e+01,-2.547547566268518020e-03,3.740731585421478655e+01
3.279236038976890910e+01,8.398388688827633508e-03,3.742642672157523265e+01
3.281596939216306197e+01,1.132588819970484564e-02,3.742419598151398930e+01
3.280360646917563372e+01,3.408806329720751038e-02,3.742269022307682746e+01
3.281720604663367880e+01,6.181364738620911958e-02,3.743461768820042579e+01
3.282367189855978040e+01,5.979405758343592225e-02,3.744105886666606153e+01
3.282178227436031648e+01,7.799370477144131064e-02,3.742403042142813518e+01
3.280255971199246545e+01,7.606413235626048597e-02,3.744819657255057166e+01
3.280561235870500525e+01,1.014993198616594150e-01,3.741895840692036046e+01
3.281019772846868676e+01,1.252241477161070704e-01,3.741720965901937035e+01
3.281428417763254402e+01,1.484899174100843267e-01,3.740768645921863822e+01
3.282394148172059545e+01,1.609273242578355412e-01,3.742392428997358422e+01
3.281308513252187709e+01,1.801560346558741810e-01,3.742976789418775496e+01
3.281553826611772706e+01,2.120476843824302682e-01,3.739946707157186978e+01
3.281442770948650889e+01,2.556897562896432996e-01,3.742844254917886104e+01
3.281225406250771215e+01,2.859566068469426292e-01,3.739977275882993979e+01
3.280621433887027649e+01,3.175779829829251111e-01,3.743353477999802692e+01
3.281709914083938173e+01,3.455086449453927955e-01,3.741739540175800727e+01
3.282400553550383648e+01,3.900017005843777196e-01,3.740487357194324858e+01
3.281896955207925970e+01,4.307334619556085764e-01,3.742533694691055501e+01
3.281927403146262634e+01,4.588167820977858691e-01,3.740274690170780758e+01
3.281736601044968893e+01,5.156543810095254310e-01,3.740758333161512894e+01
3.282570191966571116e+01,5.657343708829221107e-01,3.741725967157660904e+01
3.281901009339546249e+01,6.072459098824868340e-01,3.743143140486046860e+01
3.280950753283929089e+01,6.499957706751808839e-01,3.741934148340528310e+01
3.282786546660519633e+01,7.114003137640920738e-01,3.739159253504195846e+01
3.280429883324481466e+01,7.596720361886920569e-01,3.739096562870618357e+01
3.280613963306731051e+01,8.229785902740147652e-01,3.739584899035340015e+01
3.282515769871691447e+01,8.613085764846053483e-01,3.741730849225882594e+01
3.282312625264371775e+01,9.198603231875946973e-01,3.742768039918682632e+01
3.280428083067612732e+01,1.004501952108267204e+00,3.740354700342385286e+01
3.281817413362819025e+01,1.049842037605742906e+00,3.742687543801453387e+01
3.279187275778851784e+01,1.115514545059132390e+00,3.740837307850353000e+01
3.280830216916331210e+01,1.174474682836294193e+00,3.740773850647851617e+01
3.280415742923074163e+01,1.255584579175247795e+00,3.739214317816143307e+01
3.281425154929429056e+01,1.315324765802891260e+00,3.739246207093808039e+01
3.282046287515608185e+01,1.386721121901119291e+00,3.740708065027870788e+01
3.279146717926604282e+01,1.457010369492509838e+00,3.739152488708609212e+01
3.279641731677570959e+01,1.551694358694740261e+00,3.739398110153960886e+01
3.280545659481978760e+01,1.602719001625040329e+00,3.737980620392840336e+01
3.279566421519606934e+01,1.690280618775978017e+00,3.735502730887498757e+01
3.282070235743381659e+01,1.758050684509469219e+00,3.739003224575783690e+01
3.280536676029618803e+01,1.859334721491360698e+00,3.738404493270361684e+01
3.282249541203340470e+01,1.929043711269641026e+00,3.736150948458980281e+01
3.281858008589938436e+01,2.010515703504160978e+00,3.735892101140154864e+01
3.282727993142106726e+01,2.114599045785532372e+00,3.734696635694695743e+01
3.279004152187366117e+01,2.188148458365821725e+00,3.734973706247911451e+01
3.281832294053899801e+01,2.284299080347951705e+00,3.734058906359083352e+01
3.281184079781800733e+01,2.400031173192842093e+00,3.733210655645570597e+01
3.281674310895609636e+01,2.487072116773337171e+00,3.733946870013696184e+01
3.281669817674578127e+01,2.574133889040006284e+00,3.733593825567697877e+01
3.281263948623631421e+01,2.678144019005487486e+00,3.732078351152293294e+01
3.280205705921671466e+01,2.780573951170403735e+00,3.732309240257773553e+01
3.280055596656883665e+01,2.890963592751492062e+00,3.732513579949971216e+01
3.281377671325370926e+01,2.990360258616667544e+00,3.730437755728969051e+01
3.281003943425529457e+01,3.093354717864012393e+00,3.729840561453651304e+01
3.279414224515166865e+01,3.192260240897647705e+00,3.729480479840805174e+01
3.281787618591467748e+01,3.297308445138396937e+00,3.726696668205375573e+01
3.281678731536148064e+01,3.423848592807108737e+00,3.724142052733277097e+01
3.278512627214919206e+01,3.542754868191965389e+00,3.725673893100132972e+01
3.283064145348137686e+01,3.638728174104413515e+00,3.723259408086747158e+01
3.280407786005054049e+01,3.749753702235410824e+00,3.723257988060723278e+01
3.280752714690717653e+01,3.892008564432696716e+00,3.722527294448956070e+01
3.281399805647859580e+01,4.005516325345235273e+00,3.720271120347215543e+01
3.280315328957396304e+01,4.127457861803575767e+00,3.720435107557238297e+01
3.280052780732072648e+01,4.242575553357756490e+00,3.717757373762307793e+01
3.281413233432154186e+01,4.375411198940417634e+00,3.717474964605220578e+01
3.282558972228810035e+01,4.497866707478825887e+00,3.714766671827955946e+01
3.280920550133868119e+01,4.640293646023399887e+00,3.712442530901710569e+01
3.281050075789015352e+01,4.772126802925652278e+00,3.711720279166883785e+01
3.280146858233597840e+01,4.904494209421710771e+00,3.709501328486228289e+01
3.281603466220990839e+01,5.047422797200385780e+00,3.708044895877375069e+01
3.281054584248514772e+01,5.188442463520865466e+00,3.705797848435589970e+01
3.280619640568680495e+01,5.317541993159876412e+00,3.704993476267527797e+01
