mag_x (uT),mag_y (uT),mag_z (uT)
3.280025247228870455e+01,3.741110190777718714e+01,-1.595953654160342516e-02
3.279860386319120380e+01,3.740801892435214882e+01,-1.610705142478184929e-02
3.281036710259679978e+01,3.743008234337137452e+01,1.435311945600159164e-02
3.282468600945907156e+01,3.742221094782600233e+01,-1.470850609328100064e-02
3.281307473543918007e+01,3.742654529459416324e+01,5.259704919554015860e-03
3.280439827473665559e+01,3.742783723228301085e+01,8.967215280310022324e-03
3.278533974079284974e+01,3.743204123374775349e+01,1.568861243715651129e-03
3.281741906024977595e+01,3.741352439151953035e+01,-5.803079020837962482e-03
3.280230160624595470e+01,3.739966185062134940e+01,-3.944210656942431954e-03
3.280893354405839801e+01,3.742470253495100252e+01,-8.170348245586383715e-03
3.282626540214271671e+01,3.742126769666937491e+01,-4.588538538193086963e-03
3.279887042254958374e+01,3.741399926829389955e+01,1.822418029928093985e-02
3.280249038282125440e+01,3.741815234677006430e+01,-3.497292732092576167e-03
3.281809972361962480e+01,3.742578383834585054e+01,-1.259339752236011056e-03
3.282220835589883734e+01,3.742596043783824200e+01,3.428788991389870693e-03
3.282639975583276026e+01,3.741383976047673343e+01,2.269758714316922645e-03
3.279741983140929307e+01,3.741617687637399570e+01,-2.413818825905809928e-02
3.280700790534916678e+01,3.742669382258700495e+01,4.868832427040148923e-03
3.280853218095545998e+01,3.741392025706003466e+01,-7.863527744188466423e-03
3.282072761222635648e+01,3.743017858678485510e+01,4.373597956254200725e-03
3.280197505758626875e+01,3.742251073096831959e+01,-8.210025758983007654e-03
3.281131215586565730e+01,3.744218364801366050e+01,5.004993179152495905e-03
3.279623406420185461e+01,3.742173813850050124e+01,3.920368214958560964e-03
3.280199566348954221e+01,3.741480992422833651e+01,9.175843753040605066e-03
3.280307298776877190e+01,3.744087573411722758e+01,9.012083550692998740e-03
3.280583982864439463e+01,3.742257440982282191e+01,-1.840977433724327178e-02
3.282019934549897755e+01,3.742142105040572631e+01,1.216842246886757316e-02
3.281395388759828791e+01,3.740786733999096469e+01,-5.300077315927304977e-04
3.281084937241526944e+01,3.743716523007686447e+01,-1.289245432217155096e-02
3.282983695206956298e+01,3.741888362129575540e+01,-1.426963312803036137e-03
3.280264188639762324e+01,3.741336363197115844e+01,7.242769567736596914e-03
3.279596230432097315e+01,3.741262601348262962e+01,-7.502560392492021654e-03
3.282184762001103451e+01,3.741101295231253232e+01,-1.851320609802530048e-02
3.282352027660054006e+01,3.743836209325041153e+01,4.182308990087155523e-03
3.279864186669551884e+01,3.740897619693347309e+01,-4.804891426535347343e-03
3.280690097492649215e+01,3.743971424227434142e+01,4.265887915305764666e-03
3.279152860303543093e+01,3.741927415434777515e+01,-8.468734149545084980e-03
3.280872251216516844e+01,3.743152557967480476e+01,-2.553334434290022875e-04
3.280725927583695523e+01,3.741091520647499635e+01,1.268779402177409258e-03
3.281401533642370083e+01,3.743308821724571089e+01,-8.125325448349813087e-03
3.282133628491256871e+01,3.742585208710733724e+01,-6.406520854978419409e-03
3.282309689493342830e+01,3.741216674951891008e+01,4.139746826221452937e-03
3.280669015688708612e+01,3.741801426586309276e+01,-4.625694586801142039e-03
3.279009506257697382e+01,3.741631130168564567e+01,-9.218507796041840868e-03
3.281425239048838449e+01,3.742267305996622895e+01,-7.029788046122238329e-03
3.279795346090218544e+01,3.741545180125687153e+01,1.436739736198099039e-03
3.281497705778021867e+01,3.741169513233100474e+01,-1.496708751539078258e-02
3.280958722365756586e+01,3.742707838507533324e+01,-8.654752376219229312e-03
3.279877357218865086e+01,3.742469482507028289e+01,-1.213925125654564084e-02
3.280249780853765174e+01,3.741940207520807604e+01,-9.445299787726457730e-03
3.279331095828092657e+01,3.741005836417281927e+01,3.816456356996073083e-03
3.281737759395635834e+01,3.741210186589474773e+01,7.003411474845669263e-04
3.280482279275854296e+01,3.741702381915022357e+01,5.218583668847952446e-03
3.280206975059025609e+01,3.742171420414430827e+01,1.173430794770558179e-02
3.281404335337573031e+01,3.743422714883173796e+01,-5.843869155488411659e-04
3.280292045124546974e+01,3.743451772327480853e+01,-3.041442089216897862e-03
3.280892769912102835e+01,3.741740772790824110e+01,1.293180704834534511e-02
3.281383717275993916e+01,3.743514743209286877e+01,1.063062335102854571e-04
3.282442934044340177e+01,3.742265132978518949e+01,-2.153433286385973700e-03
3.281806493284490500e+01,3.741589083140788574e+01,7.665136342312551913e-03
3.279624292835654842e+01,3.740761535471487065e+01,-3.239111587732135342e-03
3.280766263042770703e+01,3.742414760290717624e+01,2.661356253908113857e-03
3.281648792776373114e+01,3.744623435033599179e+01,-1.736428163902668451e-02
3.281341978673024329e+01,3.741881807709643937e+01,4.664852584388181874e-04
3.282845660745828553e+01,3.743597972229676429e+01,1.800044909989852518e-02
3.280584061094480575e+01,3.742122342338839758e+01,2.315648396581694232e-02
3.281162522709254858e+01,3.742953687243080907e+01,1.176263515087037741e-02
3.280681965915957932e+01,3.742568188157540021e+01,9.952202966908203514e-04
3.281290062555245868e+01,3.740320150215574557e+01,-1.151120873058707195e-02
3.281994781637235548e+01,3.742632961749129805e+01,-1.595058191975960629e-03
3.281530221894640675e+01,3.741958022005458417e+01,-2.048323571098603635e-03
3.281168648533332544e+01,3.741450740803306019e+01,6.815083468025355225e-04
3.279802964453259762e+01,3.742548526213609961e+01,1.150697279574949567e-03
3.281203036345610968e+01,3.745170165472093515e+01,-1.357595410350540162e-02
3.281611186465424623e+01,3.741723599453489157e+01,2.503352457603354175e-02
3.281968509903882136e+01,3.740855365760224061e+01,-2.888303854864692540e-03
3.280196578422069109e+01,3.741996576562052468e+01,-1.559651357711179347e-02
3.281165164894052566e+01,3.741984092380410942e+01,-1.029438939649856069e-02
3.280636055677913987e+01,3.741671745477615474e+01,-5.704298978322213179e-03
3.280679305206845697e+01,3.743086312688647865e+01,6.606769656530951532e-04
3.281154351074444975e+01,3.741723023056866992e+01,-3.095185911484559107e-05
3.279851892461520180e+01,3.742913560602631406e+01,-3.105446859776592357e-03
3.282665762733995507e+01,3.740512207312082182e+01,-6.935928089922270209e-03
3.282224305761251060e+01,3.742483529726401770e+01,1.418273112887608739e-02
3.280743900614716324e+01,3.742490926103951665e+01,9.806052487071075310e-03
3.281908949181394064e+01,3.742766010063431281e+01,1.346490253754694874e-02
3.281722181929897886e+01,3.744400268207758842e+01,-9.392035760481620352e-03
3.279614839076331378e+01,3.741870121578204333e+01,-6.195838487009131326e-03
3.280422136306775371e+01,3.743200438943242148e+01,-7.151316458237213375e-03
3.279965752759981257e+01,3.742804855450152246e+01,1.362753243526153204e-03
3.281315324297071356e+01,3.742782618774232617e+01,-1.109772941184334824e-02
3.279976352061343903e+01,3.742610032854175017e+01,-1.102476716329438495e-03
3.281448053014668176e+01,3.741561326673496524e+01,-6.324933756544059635e-03
3.281390964439969338e+01,3.740044241394132030e+01,-1.285269861321365094e-02
3.282080604337827623e+01,3.741473734326784495e+01,-1.575313506374498990e-02
3.280044308582606050e+01,3.741743645221290393e+01,2.422076178109831834e-02
3.279800925053159943e+01,3.743315004023501302e+01,4.175127881525601478e-03
3.280687705936820464e+01,3.741641498436370483e+01,1.912861712678808057e-02
3.279839094109608055e+01,3.743154834585671153e+01,-4.693903802812604727e-03
3.281000333013450643e+01,3.742484727265114230e+01,-1.396186227030192344e-02
3.278823464320365133e+01,3.742978099279734749e+01,4.645473191611621325e-03
3.280254871474278389e+01,3.743228743344731413e+01,-5.664013124096775251e-03
3.279527985509343324e+01,3.741593335337165627e+01,-6.769532596117153016e-03
3.280745989832673359e+01,3.741813692506577382e+01,6.584460564249269149e-03
3.282319145810159711e+01,3.743236606802886257e+01,-3.654309355928723677e-03
3.282626010623799573e+01,3.742024074330769423e+01,1.356951433095082487e-03
3.280897064992268497e+01,3.743131104726137437e+01,4.481689089207517747e-03
3.280015751991819428e+01,3.741319370818727919e+01,6.232955087476891275e-03
3.280581944274126727e+01,3.743113208920783563e+01,-3.083950754713907379e-04
3.280447671441878299e+01,3.741800566796651140e+01,-3.857298900079520355e-03
3.281935031652801626e+01,3.741119275729155902e+01,4.771807554676730199e-03
3.281455795665853259e+01,3.743155744578451305e+01,1.145352351235622533e-02
3.281462530142541567e+01,3.740858632116250959e+01,2.011838211451296311e-03
3.280373260723185780e+01,3.740033115565795185e+01,-2.705602504245977966e-03
3.280934300812965176e+01,3.740661540097508464e+01,1.723126124074519927e-02
3.279934737754744845e+01,3.743200650732833878e+01,7.790599449361599628e-03
3.280390843423997183e+01,3.743062843738315593e+01,7.710904312856790149e-03
3.281903173416779396e+01,3.743329151693270518e+01,1.041522787880026779e-02
3.283605126151594789e+01,3.743759118516864959e+01,4.518948255097438894e-03
3.281568079734147858e+01,3.742234198714321280e+01,-6.992210648130753499e-04
3.281234467396823362e+01,3.739240716823087496e+01,5.930981079719490658e-03
3.281189405556497718e+01,3.742815457059653284e+01,4.535555834286757876e-03
