ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
-3.281072656359681616e+01,0.000000000000000000e+00,-3.742187116036370753e+01
