q0 (),q1,q2,q3
-9.238795325112867385e-01,-0.000000000000000000e+00,0.000000000000000000e+00,3.826834323650898928e-01
9.238811488215208367e-01,3.397229429079373956e-06,2.709499166488422280e-06,-3.826795301990224552e-01
9.238823915498642902e-01,3.958974318236296709e-06,5.102964220366071027e-06,-3.826765299079489258e-01
9.238828978933393277e-01,-3.262045322635112227e-06,2.760679988233856828e-06,-3.826753074891860451e-01
9.238817422288184700e-01,-2.029626888931367926e-06,4.796421196251537189e-06,-3.826780975560503673e-01
9.238811895695473453e-01,-3.475011915684367785e-06,6.497564443372288907e-06,-3.826794317771258780e-01
9.238799944798835595e-01,2.602217525569061496e-07,7.579392243652606421e-06,-3.826823169971870775e-01
9.238781121594960011e-01,3.654753966203801018e-07,5.479845114564594465e-06,-3.826868613402388264e-01
9.238788686191358179e-01,1.622013974437609586e-06,7.560035415425577168e-06,-3.826850350604796835e-01
9.238781777030579123e-01,-6.677772612550250819e-07,3.973457009377415391e-06,-3.826867031239032935e-01
9.238785967447478154e-01,2.450549427448849875e-06,5.933118557089435111e-06,-3.826856914437078427e-01
9.238799149299514735e-01,-3.754367682472075896e-06,8.258226137743233535e-06,-3.826825090159362563e-01
9.238786510913750138e-01,-2.148057952933655369e-06,7.949021362784121933e-06,-3.826855602054777261e-01
9.238804734544667774e-01,-1.445449949445048465e-07,8.689135221663030418e-06,-3.826811606207290439e-01
9.238825661022026514e-01,-3.601629787399064022e-06,9.748119482108469393e-06,-3.826761084055438356e-01
9.238829658685639989e-01,-4.152803478399700858e-06,5.402039179353233111e-06,-3.826751433415531700e-01
9.238849026369948536e-01,-3.636953061454611853e-06,1.554740824085110700e-06,-3.826704674570353126e-01
9.238841753636845011e-01,-8.371221087242909084e-06,5.310073143542726065e-06,-3.826722232071337881e-01
9.238851524708416862e-01,-1.079609360942848164e-05,1.019648474847225206e-05,-3.826698640125786310e-01
9.238852157454232605e-01,-1.629035675776098591e-05,1.174449441366240509e-05,-3.826697110090157006e-01
9.238876665841418978e-01,-1.497666531870897492e-05,6.377155345655946356e-06,-3.826637940395470339e-01
9.238883702297094880e-01,-1.528696540580322790e-05,4.157031762825860499e-06,-3.826620952006077880e-01
9.238899293732055762e-01,-6.894508279983883698e-06,5.218345957841682482e-06,-3.826583310578871577e-01
9.238903583445460255e-01,-1.034137296237852183e-05,3.974808457409560881e-06,-3.826572952855375465e-01
9.238918989444615537e-01,-1.444783851570238771e-05,3.741749549520065269e-06,-3.826535754988529825e-01
9.238935854246571600e-01,-1.086831209614220543e-05,-2.177106850727264129e-06,-3.826495037084353124e-01
9.238931305437899644e-01,-1.241376586527047520e-05,-6.391419824519280573e-06,-3.826506019060256780e-01
9.238938820457410772e-01,-4.450825253562287401e-06,-4.529847868842215682e-06,-3.826487876344584760e-01
9.238912023402022777e-01,-4.244945927384777481e-06,-9.595223796078046014e-06,-3.826552575469038819e-01
9.238905990591456119e-01,4.344772488978463277e-07,-9.375059691934482990e-06,-3.826567141473577460e-01
9.238930657464575757e-01,1.475132774028817072e-06,-8.715422805712447091e-06,-3.826507585089532482e-01
9.238928230698583155e-01,-1.993890019454986274e-06,-6.242169805015691052e-06,-3.826513444861616153e-01
9.238945756750003291e-01,2.661947890126492677e-06,-9.542944270410753815e-06,-3.826471128078156592e-01
9.238928332840478097e-01,-2.397906740810485847e-06,-4.629069145232653329e-06,-3.826513198450993136e-01
9.238925344789448157e-01,-3.112482261218710450e-06,2.198160923289823120e-06,-3.826520413111007546e-01
9.238925890770974814e-01,-9.570988733910356316e-06,1.926173609593777042e-06,-3.826519093812333350e-01
9.238946076093759174e-01,-5.796752229596829958e-06,4.584536129644387921e-06,-3.826470357597155370e-01
9.238930575284279856e-01,-2.326888459361892995e-06,1.031245701891741936e-06,-3.826507784446477878e-01
9.238913248812351542e-01,-1.522318446231407724e-06,1.014494205535009760e-06,-3.826549618205011827e-01
9.238913797923664628e-01,-7.463988512687173125e-07,3.759416371747995467e-06,-3.826548292268988072e-01
9.238902324490566587e-01,2.086229196642923904e-07,4.147638765346917393e-06,-3.826575993861634495e-01
9.238913503537020677e-01,-1.344891562577554626e-06,4.926273506260709104e-07,-3.826549003208524757e-01
9.238907024187296146e-01,-3.438769498680309023e-06,-1.321481278970299140e-06,-3.826564646920980750e-01
9.238908001167819295e-01,-6.321411587560763707e-06,4.246717601576283245e-06,-3.826562287505295701e-01
9.238917897339691265e-01,-2.326084312318542310e-06,7.393662678130621341e-06,-3.826538393928466952e-01
9.238893981844394920e-01,3.469397049377028308e-06,1.265255006345498841e-05,-3.826596134298347884e-01
9.238917953678255079e-01,7.566558306084360944e-06,1.459227308525349887e-05,-3.826538255157377333e-01
9.238890121847782577e-01,8.426129713786075577e-06,1.786055270155691399e-05,-3.826605450973954992e-01
9.238880330268535168e-01,7.330621518057146858e-06,2.037472707154852793e-05,-3.826629090477728368e-01
9.238877385581236723e-01,9.410738111548155920e-06,1.963503740660706216e-05,-3.826636199952375139e-01
9.238865144745574964e-01,8.927149685195741020e-06,2.236134778466463479e-05,-3.826665752222548345e-01
9.238862594782418780e-01,8.280332096661136861e-06,2.241310529565564163e-05,-3.826671908805241440e-01
9.238860421325880701e-01,7.575619036541706329e-06,2.198927525608072110e-05,-3.826677156642082633e-01
9.238865065938109966e-01,6.166649009012274114e-06,1.698031713510750191e-05,-3.826665945800931112e-01
9.238876395660609031e-01,1.228152414553231519e-05,2.068165932186454096e-05,-3.826638588611228076e-01
9.238870158858372150e-01,1.447079691089699479e-05,2.326055323366601585e-05,-3.826653644205410543e-01
9.238856438916064340e-01,1.164899571827072836e-05,2.054834453385755640e-05,-3.826686771256015973e-01
9.238865850348675357e-01,1.178638475071963356e-05,2.489596571848208171e-05,-3.826664046318706269e-01
9.238837283273971801e-01,1.334437556688894178e-05,2.068885588292685064e-05,-3.826733018199296454e-01
9.238850955630605322e-01,1.180033762939950429e-05,1.391557432523011106e-05,-3.826700012589743238e-01
9.238863218686210743e-01,1.491453347364345776e-05,1.312515612447649648e-05,-3.826670404795238234e-01
9.238839623730799033e-01,1.542389766892028038e-05,8.643431678163787418e-06,-3.826727371491362439e-01
9.238852531514043509e-01,1.539288253755045633e-05,9.179356442413855123e-06,-3.826696208064653271e-01
9.238873522841823949e-01,1.755443083723424777e-05,6.448658060136614231e-06,-3.826645527607434039e-01
9.238854530043444369e-01,1.296389289216199985e-05,8.925559496260106207e-06,-3.826691383940296065e-01
9.238857064629106830e-01,1.381380641358890480e-05,5.668001181362102913e-06,-3.826685264959493460e-01
9.238843514953174463e-01,1.523933802999758430e-05,4.806440910681881650e-06,-3.826717977676656890e-01
9.238873166835281925e-01,1.534742286812085398e-05,7.206319571041915310e-06,-3.826646387946440186e-01
9.238835976127921512e-01,2.098192119687088120e-05,9.987534387684030772e-06,-3.826736174889151521e-01
9.238842292489422015e-01,2.400374677591204716e-05,1.341721502925622857e-05,-3.826720922524747270e-01
9.238852001438268013e-01,2.742604796924497497e-05,1.715792986791306478e-05,-3.826697478356739235e-01
9.238877496493154151e-01,2.861678221499507592e-05,1.854452635552893656e-05,-3.826635923171999298e-01
9.238867335046775375e-01,3.020169284129221599e-05,2.536846159406341958e-05,-3.826660451338163016e-01
9.238870721804098851e-01,2.968754374866731355e-05,2.362134486991371342e-05,-3.826652276057911917e-01
9.238879312825948320e-01,2.569469087989467037e-05,2.546586512523858547e-05,-3.826631535980961618e-01
9.238880052451606817e-01,2.994106804806022200e-05,2.206329192653854767e-05,-3.826629749281492687e-01
9.238878234142815504e-01,3.123074587165396778e-05,1.801732699680978420e-05,-3.826634140427299102e-01
9.238863052769463735e-01,3.044266725791573415e-05,1.732855756681432054e-05,-3.826670794498502892e-01
9.238870659170563826e-01,3.661665033430651080e-05,1.091762799730167513e-05,-3.826652427007173896e-01
9.238853311093199183e-01,3.338028737804264994e-05,5.906055553136595182e-06,-3.826694315096219601e-01
9.238883968413145187e-01,3.459098344677100578e-05,7.899919085312410359e-06,-3.826620296332536308e-01
9.238901629289983930e-01,3.457753297827351934e-05,3.924029360858958987e-06,-3.826577656758385904e-01
9.238906732051939130e-01,3.532927651146863611e-05,6.238440859848244570e-06,-3.826565335615970120e-01
9.238917915322835128e-01,3.563097408933264191e-05,5.009964337324287423e-06,-3.826538334377445616e-01
9.238902641754836997e-01,4.350696944131439485e-05,8.971451660895700048e-06,-3.826575202297895495e-01
9.238922336734387564e-01,4.343990590795238110e-05,5.525714786211829754e-06,-3.826527651021810472e-01
9.238927573760271628e-01,3.826495098064552046e-05,2.904280576991324304e-06,-3.826515012324924192e-01
9.238951583688209679e-01,3.370099320700959620e-05,-2.671324917490958736e-06,-3.826457045358778730e-01
9.238954601231448294e-01,3.229236284353421201e-05,-5.263580402385019405e-06,-3.826449760461266281e-01
9.238933827145112687e-01,2.831147949067391533e-05,-4.918150188752275289e-06,-3.826499922260676589e-01
9.238906529379603549e-01,2.596624071086576526e-05,-1.098050813415634049e-05,-3.826565831382653937e-01
9.238918210241374718e-01,1.999399851516152170e-05,-1.549397222679926967e-05,-3.826537630873111384e-01
9.238905983768740393e-01,1.786388434364345518e-05,-1.797359340166080201e-05,-3.826567150706400300e-01
9.238912687872202767e-01,1.418342712980680742e-05,-2.276585598895486450e-05,-3.826550963195006760e-01
9.238906296233438953e-01,1.158684779841301298e-05,-1.968826643301953229e-05,-3.826566397859813007e-01
9.238893437238016038e-01,1.295489112850902725e-05,-1.758602014119911369e-05,-3.826597445205152104e-01
