Yaw (deg),Pitch (deg),Roll (deg)
3.150000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.499951600255377571e+01,4.358266911822432192e-04,2.408446838677659235e-04
-4.499914386856408299e+01,7.138533127827225442e-04,1.953605051092900061e-04
-4.499899225006438996e+01,1.492258070293657609e-04,-4.664096409912409742e-04
-4.499933831056765143e+01,4.187900031478597332e-04,-4.252057954764238324e-04
-4.499950379981853388e+01,5.355049170995007397e-04,-6.528260963274558999e-04
-4.499986166112653052e+01,8.138328191717115936e-04,-3.048233691330123158e-04
-4.500042530819963815e+01,5.961707896603669682e-04,-2.016135358003587612e-04
-4.500019878983851385e+01,8.715005988243410126e-04,-1.598057192924904300e-04
-4.500040568357901094e+01,3.913806794446497771e-04,-2.449433537857605776e-04
-4.500028020144482355e+01,7.355943231622931542e-04,-7.459235723316440894e-07
-4.499988548090640705e+01,7.096515926946967605e-04,-7.596118138326842829e-04
-4.500026392793909480e+01,7.473547315849834441e-04,-5.759968294914480282e-04
-4.499971823380525393e+01,9.135706294156996235e-04,-3.963390456323773268e-04
-4.499909159747816290e+01,8.740883661259522255e-04,-8.087706535381598925e-04
-4.499897189277678677e+01,3.898035065340707994e-04,-6.765406017364908190e-04
-4.499839192849847791e+01,5.116174691793508958e-06,-4.532187171591175426e-04
-4.499860970213333644e+01,1.950874038221823558e-04,-1.119107603992165788e-03
-4.499831709516350031e+01,6.060794760847398096e-04,-1.590099748714141233e-03
-4.499829812405478435e+01,5.290392786634907484e-04,-2.239655587553412291e-03
-4.499756421668809026e+01,1.842031795906737986e-05,-1.865214006874466729e-03
-4.499735350226703190e+01,-2.302269223761897374e-04,-1.800713306496367575e-03
-4.499688663070554639e+01,2.501460677478996569e-04,-9.587429207271460588e-04
-4.499675816090328340e+01,-3.264880788884433398e-05,-1.269134086170736232e-03
-4.499629678958233114e+01,-2.373815676579904880e-04,-1.693667231102777802e-03
-4.499579175501058614e+01,-7.070493177163394158e-04,-1.055169958879427147e-03
-4.499592796292861863e+01,-1.220987253745067259e-03,-1.033995431686483444e-03
-4.499570294251233804e+01,-6.747382034968530794e-04,-2.725846053511880992e-04
-4.499650541688512817e+01,-1.201984521325313989e-03,-2.867142272226374540e-05
-4.499668608486188504e+01,-9.734866781454596784e-04,4.570872777698458170e-04
-4.499594739885193917e+01,-8.580224060402002204e-04,5.383314447449376750e-04
-4.499602007385649927e+01,-7.482898224118248029e-04,6.261672275960678707e-05
-4.499549522046542904e+01,-8.935950353442000723e-04,7.002620603635130144e-04
-4.499601701654810171e+01,-5.952259129847739440e-04,-5.088890066529187074e-05
-4.499610650119549859e+01,9.624164321449250783e-05,-4.259058724945731945e-04
-4.499609013726051643e+01,-2.157506485805538599e-04,-1.097743541583188652e-03
-4.499548565926341581e+01,2.311905502735582877e-04,-8.147284850794975350e-04
-4.499594986578682665e+01,7.147655857350931303e-06,-2.915671138780997216e-04
-4.499646873535575509e+01,4.065246580946375133e-05,-2.056526636013929004e-04
-4.499645229055618501e+01,3.652811353869216322e-04,-2.438680600713060602e-04
-4.499679587746287979e+01,4.482585832119390730e-04,-1.597842715094549744e-04
-4.499646110735324100e+01,-6.817647565512275594e-06,-1.639850990803006956e-04
-4.499665513811980588e+01,-2.906926178460935155e-04,-3.061168900044374929e-04
-4.499662587705016392e+01,1.724116870896967157e-04,-8.554634540465612998e-04
-4.499632952374991390e+01,6.807723121443765967e-04,-5.704669882874563707e-04
-4.499704568807187854e+01,1.491656085402722279e-03,-1.875039638348151251e-04
-4.499632780150985667e+01,1.876672134528004857e-03,1.612179499392394776e-04
-4.499716124497529535e+01,2.260377606624238301e-03,1.088940467761386854e-04
-4.499745445655985066e+01,2.478514979892842453e-03,-1.173393314596369279e-04
-4.499754263136050980e+01,2.491417295698741645e-03,1.353155639894275896e-04
-4.499790918035086662e+01,2.758845580803786363e-03,-3.543940689338544425e-05
-4.499798554320540944e+01,2.735961873059080621e-03,-1.061891324372424972e-04
-4.499805063375749370e+01,2.660189107467732499e-03,-1.622131804519071606e-04
-4.499791157613329062e+01,2.068109090402906781e-03,-9.173241349873213031e-05
-4.499757225441025099e+01,2.728107011007153970e-03,3.933498266105798211e-04
-4.499775899150520075e+01,3.097134351074232704e-03,5.120378630216897197e-04
-4.499816987474356722e+01,2.686258341653718733e-03,3.322160663797475971e-04
-4.499788802077243588e+01,3.152563014388806272e-03,1.561233293290434560e-04
-4.499874348298700966e+01,2.775480162112639159e-03,5.055296769402526638e-04
-4.499833410129832600e+01,1.990687649842960791e-03,6.390866606937422017e-04
