vel_x (m/s),vel_y (m/s),vel_z (m/s)
7.071681300676400106e+00,-7.071070970085199470e+00,1.047780710378877088e-04
7.071664941807293658e+00,-7.071072830058195535e+00,2.800317826500721679e-05
7.071702099539233899e+00,-7.071090023457121454e+00,7.368773836241809642e-05
7.071688727776352046e+00,-7.071089261016732408e+00,1.204961243122536804e-04
7.071717863872998500e+00,-7.071088171389391164e+00,1.369226567233124375e-04
7.071637536934694879e+00,-7.071052515813565087e+00,1.236301942648507951e-04
7.071649050378573165e+00,-7.071056405680906209e+00,8.056251814748461356e-05
7.071619122118476319e+00,-7.071069059805150658e+00,7.175963928555094407e-05
7.071708276513722247e+00,-7.071155507746270885e+00,1.625180145582817768e-04
7.071732486672194007e+00,-7.071192566737639851e+00,1.746908975344543336e-04
7.071728515056038056e+00,-7.071176596569469730e+00,2.768863899486524748e-04
7.071788795659605498e+00,-7.071160271657425334e+00,9.755475775930888115e-05
7.071850881337224060e+00,-7.071085702100011083e+00,1.091138472859222875e-04
7.071815667035148856e+00,-7.071049459506734358e+00,1.658428670861421738e-04
7.071739372670148072e+00,-7.071087393500094187e+00,1.595260279723024295e-04
7.071717179836221945e+00,-7.071152678678793713e+00,8.169654703480539164e-05
7.071692971436247532e+00,-7.071102446926314400e+00,9.856519332598727423e-05
7.071690328614189447e+00,-7.071031990540041612e+00,5.628001874594253887e-05
7.071622478055012984e+00,-7.070920915850246402e+00,8.775518545993930570e-05
7.071640166784098014e+00,-7.070890800623508277e+00,1.497186551465064545e-04
7.071776231188747097e+00,-7.070885527960549588e+00,8.081356331530808275e-05
7.071861769721929036e+00,-7.070896934287921098e+00,-3.205609271343689594e-05
7.071874184750195802e+00,-7.070893173481743510e+00,2.728007866203594704e-05
7.071915752221380913e+00,-7.070867585798627175e+00,1.411650671427911179e-04
7.071862240495714325e+00,-7.070916756125053659e+00,1.121292573062878046e-04
7.071885081981378107e+00,-7.070902358842960034e+00,7.017858029495906234e-05
7.071850664129501141e+00,-7.070864594761722799e+00,-3.212686507640715242e-06
7.071900818755828766e+00,-7.070859037839729133e+00,1.013940772492616599e-04
7.071922411010037379e+00,-7.070827686566461878e+00,1.148373210075048778e-04
7.071932475547402674e+00,-7.070771849877115045e+00,2.598620769461797066e-04
7.071894374240988768e+00,-7.070731176052327704e+00,3.091074567185760243e-04
7.071887243511134180e+00,-7.070675933881801711e+00,3.115372532968117706e-04
7.071832631861823870e+00,-7.070737080127067031e+00,4.287018160117630171e-04
7.071867552275994839e+00,-7.070778624275453339e+00,4.327393404848385843e-04
7.071896427176041833e+00,-7.070794169136069840e+00,4.536781982665886960e-04
7.071952250150779662e+00,-7.070797345864803241e+00,5.378157466043323670e-04
7.071955400642621292e+00,-7.070871150508228453e+00,3.179591018919535701e-04
7.071896963610802445e+00,-7.070912638512869108e+00,2.985706376120275847e-04
7.071922154440931862e+00,-7.070891070070469020e+00,3.018910869999884717e-04
7.072004298433745006e+00,-7.070892292715966754e+00,2.732752438011115843e-04
7.072017389735772319e+00,-7.070857473831652307e+00,2.917635725392304404e-04
7.072105568047297730e+00,-7.070851142219496843e+00,4.528003962080471125e-04
7.072138884207266329e+00,-7.070887821667503736e+00,4.403201404463060733e-04
7.072212678676537578e+00,-7.070951693447311115e+00,5.506276714464281193e-04
7.072241349540793642e+00,-7.070891542885207492e+00,5.266434169834111577e-04
7.072275912925623409e+00,-7.070892671648627115e+00,4.702269867617776692e-04
7.072303692839675193e+00,-7.070952927034152680e+00,6.135274247654441682e-04
7.072415710265731015e+00,-7.070870312215798315e+00,7.008063697302374185e-04
7.072373669563654985e+00,-7.070824089030128157e+00,7.403315652941688937e-04
7.072334099804128194e+00,-7.070858384553837084e+00,7.625906962161951028e-04
7.072283394098614728e+00,-7.070837199480899393e+00,7.849334888278164694e-04
7.072296361893173788e+00,-7.070843007032092231e+00,7.501807863580478271e-04
7.072325605892586076e+00,-7.070955028866356962e+00,8.415335484245940354e-04
7.072347915582598787e+00,-7.071064960342810402e+00,7.336798605282309144e-04
7.072266668465275075e+00,-7.071067970802050517e+00,7.409296402601932589e-04
7.072245189508100438e+00,-7.071083537195836044e+00,8.251743055167761820e-04
7.072261060351491935e+00,-7.071102694961428625e+00,7.516564033396886486e-04
