q0 (),q1,q2,q3
9.247823679899208615e-01,2.727734872783334994e-05,2.555187315249042118e-05,-3.804964789035539807e-01
9.250411653698932257e-01,2.516888453295741481e-05,2.203744175219924243e-05,-3.798668730647462022e-01
9.253225555160667914e-01,2.618511977278443082e-05,2.355515045785625414e-05,-3.791809159394889384e-01
9.256287495675512567e-01,2.361888981775088448e-05,2.390228766882120055e-05,-3.784328432428134548e-01
9.259522217159659174e-01,2.269439218551400062e-05,2.772050813606776755e-05,-3.776406781794100498e-01
9.262907112343145011e-01,2.187752119030648295e-05,2.566059874257890498e-05,-3.768096563836118018e-01
9.266442526302578475e-01,1.873208511304751969e-05,2.168621785112043925e-05,-3.759393943791042303e-01
9.270101345748006372e-01,2.410283443261565598e-05,2.313354786703346520e-05,-3.750362772846146941e-01
9.273886128724552202e-01,2.819231047649125088e-05,2.135462031820948043e-05,-3.740993978392335717e-01
9.277757172427493204e-01,2.821249021586446346e-05,2.394136968937828880e-05,-3.731383351058533138e-01
9.281755763257686365e-01,3.100698725967450527e-05,1.667563898746718539e-05,-3.721425778822102792e-01
9.285796198380754651e-01,2.471644839808640734e-05,1.692299271448657728e-05,-3.711332492839798380e-01
9.289920642002715834e-01,2.569112143710469085e-05,1.747406943432560115e-05,-3.700996402153636233e-01
9.294133631550031138e-01,2.559834764204984621e-05,1.681796488512636901e-05,-3.690403764505814643e-01
9.298379762999998688e-01,2.162523067652700353e-05,1.863028377591815520e-05,-3.679692066132472794e-01
9.302649424386987276e-01,1.871047193522123420e-05,2.053825464896361365e-05,-3.668884518455474697e-01
9.306969171446102251e-01,2.153117575833326272e-05,2.383808445027449607e-05,-3.657912620411714055e-01
9.311318876930306798e-01,2.208780241450337999e-05,2.993690667171977111e-05,-3.646826104122922740e-01
9.315688440498848255e-01,2.404442916802710723e-05,2.254890418843208565e-05,-3.635649704096556856e-01
9.320110692851147904e-01,2.533542530441065430e-05,1.859938313151220937e-05,-3.624298080210791029e-01
9.324551775289557920e-01,2.357286216051552376e-05,1.767068129219468244e-05,-3.612856778665750057e-01
9.329001746192874256e-01,2.721125003032793816e-05,1.067122958720615794e-05,-3.601350626375832142e-01
9.333479909166252364e-01,2.728643565765935102e-05,9.036390250514027443e-06,-3.589728778413397436e-01
9.337966236476683557e-01,2.640511556407522495e-05,1.315809503016392230e-05,-3.578042269088632654e-01
9.342445420841462012e-01,3.002368807181923484e-05,1.000556822584557923e-05,-3.566330531294745199e-01
9.346920459081043964e-01,2.294447149626996742e-05,5.893320680988470110e-06,-3.554585471682204512e-01
9.351410124192751638e-01,2.044046450221415236e-05,5.105289085553041536e-06,-3.542757209400279050e-01
9.355921181604278658e-01,2.020478918001396949e-05,2.397921054438818845e-06,-3.530826928951635857e-01
9.360417618482793634e-01,1.650261858133019350e-05,3.514169314433197664e-06,-3.518889310439913820e-01
9.364881734056098583e-01,2.079248375983582632e-05,6.009490962152362437e-06,-3.506991596838845981e-01
9.369350988202663766e-01,2.234659313545808286e-05,1.273831517201632916e-05,-3.495033904513987211e-01
9.373819248969061935e-01,1.982875909278623890e-05,1.416126154350205781e-05,-3.483032102677920405e-01
9.378290504858242116e-01,1.997787791134764498e-05,1.479059323686456222e-05,-3.470974955930684058e-01
9.382744937708019650e-01,2.073865530230750771e-05,1.494367231338715463e-05,-3.458915634787009252e-01
9.387199357292880242e-01,1.940020117872069970e-05,1.833772056861362440e-05,-3.446808401286056145e-01
9.391647113800042357e-01,1.349633419733300944e-05,1.866178792220419657e-05,-3.434670935738968200e-01
9.396089056606091727e-01,8.299864641378851469e-06,1.955567592713371034e-05,-3.422500605580080513e-01
9.400531759378288887e-01,4.822841848207188480e-06,2.275006219633293706e-05,-3.410278960266684978e-01
9.404951144668359797e-01,4.881838599209774848e-06,2.227777894191394783e-05,-3.398072087873962865e-01
9.409363794684297844e-01,5.321486241654365308e-06,2.718235985564325095e-05,-3.385834151662547864e-01
9.413747301959768388e-01,6.812509387497950189e-06,2.804018781906041677e-05,-3.373627372959106530e-01
9.418101650449779427e-01,5.952627574524614780e-06,3.515126620087833954e-05,-3.361452241917263772e-01
9.422468173900168109e-01,8.188446369610355202e-06,3.192186112560757631e-05,-3.349192948044775187e-01
9.426801285014626552e-01,6.523090311684281883e-06,2.993980945865719280e-05,-3.336977290745669067e-01
9.431133091782923916e-01,8.191689427954651593e-06,2.753591324996631823e-05,-3.324714803188993373e-01
9.435463236483289107e-01,8.062078321382635160e-06,2.532176931926704381e-05,-3.312405989964605224e-01
9.439779553872912343e-01,7.010012929924402214e-06,1.948129589798286229e-05,-3.300085140025451058e-01
9.444078113576966915e-01,1.596760170858573606e-06,2.368703028459950675e-05,-3.287763453822982185e-01
9.448373978254952510e-01,2.203719371990538788e-06,2.239149614204313221e-05,-3.275397550895329801e-01
9.452631267771879342e-01,5.268326332877967691e-06,1.617700426334036344e-05,-3.263090879303903180e-01
9.456889000354093966e-01,1.053383409430279401e-05,1.957112440266868075e-05,-3.250730746398831084e-01
9.461136009305045613e-01,3.848725359881018741e-06,2.210723459160162768e-05,-3.238349172507055118e-01
9.465349116900879656e-01,2.595785647050793089e-06,2.035968886101880096e-05,-3.226013957356388406e-01
9.469553248501278997e-01,1.155106134889247140e-06,2.073647383360275188e-05,-3.213652319505848620e-01
9.473745267487193589e-01,1.766088247359054885e-06,1.351542734152474982e-05,-3.201273276086473718e-01
9.477912896234174100e-01,-2.439900143022231988e-06,6.231273225960581656e-06,-3.188913157632197182e-01
9.482060155440632521e-01,-7.439369092967248507e-06,7.917454230650663809e-06,-3.176560277533248544e-01
9.486225969243908818e-01,-1.199291205418305894e-05,1.238335484738859933e-05,-3.164098107000590798e-01
9.490353125404745738e-01,-8.532025343598136481e-06,1.269807885524917304e-05,-3.151697563491255849e-01
9.494466861871104779e-01,-1.390434958808685974e-05,1.303802180375752606e-05,-3.139283194058692383e-01
9.498555536083018724e-01,-1.385964146244262563e-05,1.242042361862376399e-05,-3.126890259236960179e-01
9.502626514766010501e-01,-1.406339994221603904e-05,4.482021095846366759e-06,-3.114496636549668462e-01
9.506706396615365318e-01,-7.194379306052368866e-06,9.208301926939761026e-06,-3.102020869513500978e-01
9.510759252094281857e-01,-1.698229873706025622e-06,1.250679902825760614e-05,-3.089572532369586622e-01
9.514804425352961781e-01,-2.427767270034829502e-06,1.319755866678593927e-05,-3.077092252318203158e-01
9.518814755032213304e-01,-3.904221822289922855e-07,1.270420990729630811e-05,-3.064664034315359720e-01
9.522811359335081605e-01,-8.500090322576098857e-08,2.435343082922578889e-05,-3.052222756485677979e-01
9.526778020036237304e-01,-1.531130863205552324e-06,2.134645834093891798e-05,-3.039819157639626623e-01
9.530757327876144824e-01,1.588160092146325753e-06,1.873883209349855121e-05,-3.027319725725805544e-01
9.534704359433590071e-01,-4.300248049521053217e-06,2.126478136457335305e-05,-3.014865292368761329e-01
9.538629014140835860e-01,-5.226798539888059384e-06,2.049738587264550606e-05,-3.002425100788432277e-01
9.542546858841175483e-01,-2.533585375383776833e-06,1.955126836507452347e-05,-2.989949733348926109e-01
9.546467767103229418e-01,-2.326315864851617110e-06,2.445965072862142295e-05,-2.977407112117929078e-01
9.550358436209254176e-01,-3.497663859916557269e-06,2.673310305274611529e-05,-2.964903652268904843e-01
9.554229352027363564e-01,3.330589507264237095e-06,2.146666334015961681e-05,-2.952406042817913856e-01
9.558071352280408384e-01,2.839826466043542553e-06,2.008374568976686606e-05,-2.939944214364351716e-01
9.561911921369969924e-01,5.026642402309375974e-06,1.967725369532545367e-05,-2.927428968688516875e-01
