vel_x (m/s),vel_y (m/s),vel_z (m/s)
7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
7.071079019305314795e+00,-7.071096564818247110e+00,1.104597303064099582e-04
7.070994644665996809e+00,-7.071115684974961013e+00,-8.226925356445927303e-06
7.071005396978136126e+00,-7.071140122726349730e+00,-2.862638126451700081e-05
7.071063311752753044e+00,-7.071176276507770808e+00,-1.195820069377045015e-05
7.071109532765985861e+00,-7.071242365813140474e+00,-3.095256755935777196e-05
7.070998675948056977e+00,-7.071298872902382904e+00,5.851932052453788719e-05
7.070985880072854002e+00,-7.071302975109136746e+00,-5.962925476477208488e-05
7.071014050549483621e+00,-7.071289074456001522e+00,-4.078293316547608796e-05
7.071006590798664782e+00,-7.071313901389865819e+00,-8.354769635141848141e-05
7.070996925298683955e+00,-7.071291512525115230e+00,-1.777619101261477532e-04
7.071064907693310531e+00,-7.071338979518196233e+00,-1.618836443332522619e-04
7.071041569350683176e+00,-7.071400393123528083e+00,-2.294545388912358637e-04
7.071056225801206629e+00,-7.071433405468468436e+00,-1.232273278006461423e-04
7.071082570513985921e+00,-7.071409997097741318e+00,-1.517416194347347570e-04
7.071114180478497602e+00,-7.071396446242014022e+00,-5.809200383829107969e-05
7.071151601801354936e+00,-7.071427430301806538e+00,-1.725212510446979663e-05
7.071081280383062939e+00,-7.071402059917445193e+00,-4.057124017477984615e-05
7.071157271806526978e+00,-7.071364468419041316e+00,-2.627584471204030738e-05
7.071198470154185678e+00,-7.071361882918305142e+00,2.022001115448780794e-05
7.071194738782147660e+00,-7.071362964157147601e+00,1.283706329124852173e-04
7.071219083844465736e+00,-7.071340041855658676e+00,1.138971203008002026e-04
7.071250157332279684e+00,-7.071319809837526726e+00,1.507074733823899877e-04
7.071307162750971820e+00,-7.071424089983437078e+00,-2.101160704518766922e-05
7.071372564688910067e+00,-7.071461847009551605e+00,1.026091801351640208e-04
7.071299146113814160e+00,-7.071365079619024385e+00,1.034354082600876846e-04
7.071263491950173119e+00,-7.071384802655258817e+00,9.541700191618427741e-05
7.071270740359228313e+00,-7.071418058810089668e+00,6.022384885899284470e-05
7.071255810667862463e+00,-7.071472067842705655e+00,-2.745978211599980857e-05
7.071383217577498215e+00,-7.071417284680560300e+00,-8.054530838141410942e-05
7.071394823236337501e+00,-7.071409884915820676e+00,-1.368792480628579222e-04
7.071385198090513136e+00,-7.071436636857218794e+00,-1.905042240625741358e-04
7.071396934146955360e+00,-7.071461302010396466e+00,-2.682234769815174309e-04
7.071397409586702487e+00,-7.071505797591387754e+00,-2.629912893646129085e-04
7.071323570825973626e+00,-7.071518525730916771e+00,-2.744590939611960380e-04
7.071328068850366577e+00,-7.071542098231630824e+00,-1.898372874887206468e-04
7.071356539423479859e+00,-7.071505799066403419e+00,-1.757804792133506430e-04
7.071353384647341755e+00,-7.071502866082014727e+00,-2.437320855813574611e-04
7.071343583279348977e+00,-7.071510682146514348e+00,-2.168210576371018951e-04
7.071299266398595407e+00,-7.071591040720324628e+00,-4.134164916760481290e-04
7.071395116440243100e+00,-7.071574443302365509e+00,-5.825195879741536156e-04
7.071346860491004804e+00,-7.071577860659274961e+00,-5.565010465696886878e-04
7.071370340793763809e+00,-7.071565053092548681e+00,-5.814323341705597125e-04
7.071352344076028196e+00,-7.071549281667259379e+00,-5.656831806420280131e-04
7.071345245069965202e+00,-7.071683451868754133e+00,-5.493926929962670343e-04
7.071354534962901894e+00,-7.071713568961897955e+00,-5.485061312554387379e-04
7.071218362660714796e+00,-7.071670297275764128e+00,-6.481361309664718283e-04
7.071264517293365692e+00,-7.071709639628353194e+00,-6.557968810747137785e-04
7.071330066467248265e+00,-7.071776596884824961e+00,-6.547011961801718714e-04
7.071359340845376096e+00,-7.071796144460400946e+00,-6.911182969328449627e-04
7.071397003659502190e+00,-7.071773871888938245e+00,-6.833456333758755347e-04
7.071330695189504745e+00,-7.071778864461485625e+00,-7.068970834811597612e-04
7.071256065988175799e+00,-7.071715282419525295e+00,-8.346743098084756247e-04
7.071322026424063267e+00,-7.071680166219536545e+00,-8.643306878436067932e-04
7.071315664419580038e+00,-7.071685740812711174e+00,-1.006862613031422144e-03
7.071296484946310912e+00,-7.071715744624939681e+00,-9.819041013505347588e-04
7.071303528556829754e+00,-7.071764715024077219e+00,-1.048464029075605241e-03
7.071285633611098298e+00,-7.071783249419739015e+00,-1.100336554939418138e-03
7.071173947824994421e+00,-7.071811531099952752e+00,-1.169668481447591873e-03
7.071231636019069455e+00,-7.071817588914951713e+00,-1.162707175191748715e-03
7.071324200758702716e+00,-7.071809286619754609e+00,-1.168943727442216902e-03
7.071375966581320505e+00,-7.071771011149881936e+00,-1.085208033767362653e-03
7.071405932974048625e+00,-7.071811486763516896e+00,-1.159538481300032703e-03
7.071385384168489274e+00,-7.071805457634869896e+00,-1.077191092692837476e-03
7.071380470953560149e+00,-7.071717974111292548e+00,-1.022882385808067266e-03
7.071362586719980747e+00,-7.071615319621615825e+00,-9.555813893238345076e-04
7.071381933894834049e+00,-7.071649717710688954e+00,-1.003790703192469595e-03
7.071453259865084995e+00,-7.071676955314049273e+00,-9.428463309685592049e-04
7.071497927337794920e+00,-7.071646958586615739e+00,-1.019448121995875697e-03
7.071534037253538685e+00,-7.071648515779649813e+00,-1.131094095213174174e-03
7.071522218412523486e+00,-7.071777858176916176e+00,-1.200281479641992447e-03
7.071591559661491111e+00,-7.071787803291983643e+00,-1.170234379705928623e-03
7.071569532031666050e+00,-7.071773529673447634e+00,-1.181937067852739144e-03
7.071485834198043108e+00,-7.071778505293040418e+00,-9.496220536502684821e-04
7.071433914281633371e+00,-7.071779720172310491e+00,-8.719639355273536233e-04
7.071389907689789034e+00,-7.071721582594829414e+00,-8.430212191690180084e-04
7.071444135191449654e+00,-7.071726312160913075e+00,-8.539321506773121621e-04
7.071544033370901872e+00,-7.071671604344567541e+00,-7.801060098548555670e-04
7.071468924115947630e+00,-7.071620311166956441e+00,-6.374848421413041848e-04
7.071349563850461095e+00,-7.071643852923160445e+00,-5.908893248008939038e-04
7.071201271036335889e+00,-7.071598361065237981e+00,-7.003653490675266135e-04
7.071215016001232812e+00,-7.071615106399550932e+00,-6.554032530072056127e-04
7.071212663425045619e+00,-7.071619417156711052e+00,-5.929604521203572266e-04
7.071235675081471328e+00,-7.071622523050636211e+00,-4.947123077130524292e-04
7.071172744133509269e+00,-7.071650841064448301e+00,-3.140048117449841620e-04
7.071246925712242337e+00,-7.071730220397696165e+00,-2.000027068680914992e-04
7.071298684004865720e+00,-7.071836470284759812e+00,-1.531593200802708701e-04
7.071327681727988868e+00,-7.071864712200742531e+00,-9.654528415223104655e-05
7.071311650721693098e+00,-7.071885489201540587e+00,-4.649540236000893924e-05
7.071323206201391542e+00,-7.071892937300278348e+00,1.715758101066514486e-04
7.071336241922502985e+00,-7.071859012904170072e+00,2.336568587513964367e-04
7.071339362751570157e+00,-7.071921685648921319e+00,6.932598631992944842e-05
7.071268473495893936e+00,-7.071960840097024636e+00,-1.609140602110462840e-05
7.071227442758890369e+00,-7.071849630560717692e+00,-7.535524892448479742e-05
7.071302281419814761e+00,-7.071922705310994317e+00,-3.550788759667248195e-05
7.071382698147000490e+00,-7.071992718171030923e+00,5.349039803595112747e-05
7.071362421256117692e+00,-7.071925727257661443e+00,1.597035618423769834e-04
7.071328997260808435e+00,-7.071877075166765003e+00,1.680089639840529905e-04
7.071230915756044233e+00,-7.071933814305566557e+00,2.783248136686655261e-04
7.071099262400449170e+00,-7.071923121025453618e+00,1.761793155857003623e-04
7.071043869755305522e+00,-7.071922432544974768e+00,1.875130786685434052e-04
7.072897766855387403e+00,-7.070049911705350354e+00,2.306812716169629124e-04
7.076404120967485945e+00,-7.066566110543937462e+00,8.515280081770925172e-05
7.081450665309196424e+00,-7.061581743380443754e+00,-1.991558372944782305e-05
7.087811271776097044e+00,-7.055211358121544762e+00,-2.980867116421273121e-05
7.095339414476617534e+00,-7.047624518206235145e+00,-7.804165989117278594e-05
7.103900756464542887e+00,-7.038843105659136512e+00,-1.127303579863583437e-04
7.113432795176970913e+00,-7.029104763442150627e+00,-1.718682201811611607e-04
7.123835529873256966e+00,-7.018380036754401807e+00,-1.822110595463634938e-04
7.135182682149166844e+00,-7.007012295473233898e+00,-1.688589859247075181e-04
7.147182997031379159e+00,-6.994876636493115640e+00,-1.705347236556875286e-04
