Yaw (deg),Pitch (deg),Roll (deg)
3.150000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.500031167502721985e+01,2.379141321210444577e-05,9.110421056812854012e-05
-4.499978330594140630e+01,3.151244998388026317e-04,5.059441963635313714e-04
-4.499973246581161845e+01,3.553185347340147467e-04,1.094964570259180075e-03
-4.500012333065015468e+01,7.613010461524117884e-04,9.093546652126200357e-04
-4.500053404769390397e+01,1.185955892774727448e-03,1.100693265025328316e-03
-4.500014881819190293e+01,1.497693934982788485e-03,2.464317790375812698e-04
-4.500067628629763306e+01,1.791074582467193431e-04,-1.021007713595970913e-05
-4.500087016993361289e+01,8.754059698296840072e-04,-5.957386501879299249e-04
-4.500108410004050086e+01,6.955702696108133397e-04,-5.146570715866319833e-04
-4.500119420535877168e+01,6.198790939706342717e-04,-8.080616716586379962e-04
-4.500116779083629126e+01,-7.358598561755379675e-04,-1.400974063537009347e-03
-4.500076540808164083e+01,-5.745730249279841452e-04,-1.272581012903690762e-03
-4.500130189332493558e+01,-1.271911078695433335e-03,-1.492799552192384431e-03
-4.500106996029303019e+01,-6.116713628832886772e-04,-1.815208683053573784e-03
-4.500087770224770622e+01,-1.143528680091531477e-03,-1.391106242755898960e-03
-4.500044202388217229e+01,-1.412456304524790452e-03,-1.026573608626058214e-03
-4.500045492275378223e+01,-1.392665512869790869e-03,-1.177092583120788443e-03
-4.500110461562528030e+01,-1.706715219332600834e-03,-7.752324049331528119e-04
-4.500126144454721100e+01,-2.047001162203979097e-03,-1.044917551671500607e-03
-4.500145351820724926e+01,-1.585845402664481192e-03,-9.934655221411174686e-04
-4.500126636645703115e+01,-1.771841703329019718e-03,-9.690769478143721567e-04
-4.500134620292482879e+01,-1.784687527053133421e-03,-1.272747920472853175e-03
-4.500147731049705868e+01,-1.066205396882580377e-03,-1.210722099224347502e-03
-4.500142199864703230e+01,-8.082147685685341434e-04,-1.272097806106626573e-03
-4.500155809031130616e+01,-7.082893837554028564e-04,-1.160107611675400500e-03
-4.500145019183131012e+01,-1.060452462981899486e-03,-1.174807059385869204e-03
-4.500114947344863481e+01,-1.507251101826160601e-03,-1.555186850338401323e-03
-4.500070394805309348e+01,-1.852500018377442343e-03,-1.963755464979964876e-03
-4.499991678692408215e+01,-1.522539959674763322e-03,-2.175932550671492560e-03
-4.500029692746345233e+01,-1.709767517394579928e-03,-2.120063250728362273e-03
-4.500008891356966245e+01,-2.168439106010864887e-03,-2.171115011277171408e-03
-4.499955007413521457e+01,-2.180742145215539950e-03,-1.843750636473422914e-03
-4.499971926146760381e+01,-2.380114913621798455e-03,-2.141981303380012785e-03
-4.499977543595888818e+01,-2.074541951084686326e-03,-2.779629506446631201e-03
