ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.651830867085281795e+01,0.000000000000000000e+00,3.381350840410227221e+01
3.662800951755928480e+01,0.000000000000000000e+00,3.369464553242199401e+01
3.673900220667147920e+01,0.000000000000000000e+00,3.357358985321895517e+01
3.685126737077792569e+01,0.000000000000000000e+00,3.345032603639936752e+01
3.696478526005966359e+01,0.000000000000000000e+00,3.332483862604071589e+01
3.707953573878644704e+01,0.000000000000000000e+00,3.319711204562887019e+01
3.719549828180070250e+01,0.000000000000000000e+00,3.306713060340342736e+01
3.731265197099116904e+01,0.000000000000000000e+00,3.293487849781243426e+01
3.743097549175820404e+01,0.000000000000000000e+00,3.280033982307768525e+01
3.755044712947290009e+01,0.000000000000000000e+00,3.266349857487160335e+01
3.767104476593204510e+01,0.000000000000000000e+00,3.252433865610679220e+01
3.779274587581108591e+01,0.000000000000000000e+00,3.238284388283929616e+01
3.791552752311731211e+01,0.000000000000000000e+00,3.223899799028674096e+01
3.803936635764542018e+01,0.000000000000000000e+00,3.209278463896227862e+01
3.816423861143782403e+01,0.000000000000000000e+00,3.194418742092554098e+01
3.829012009525199289e+01,0.000000000000000000e+00,3.179318986615150067e+01
3.841698619503718248e+01,0.000000000000000000e+00,3.163977544901830541e+01
3.854481186842291152e+01,0.000000000000000000e+00,3.148392759491520820e+01
3.867357164122180535e+01,0.000000000000000000e+00,3.132562968697138928e+01
3.880323960394915161e+01,0.000000000000000000e+00,3.116486507290688479e+01
3.893378940836173285e+01,0.000000000000000000e+00,3.100161707200640038e+01
3.906519426401870732e+01,0.000000000000000000e+00,3.083586898221710371e+01
3.919742693486688268e+01,0.000000000000000000e+00,3.066760408737126653e+01
3.933045973585344512e+01,0.000000000000000000e+00,3.049680566453459463e+01
3.946426452956848863e+01,0.000000000000000000e+00,3.032345699148138962e+01
3.959881272292047072e+01,0.000000000000000000e+00,3.014754135429705428e+01
3.973407526384724520e+01,0.000000000000000000e+00,2.996904205510914920e+01
3.987002263806562041e+01,0.000000000000000000e+00,2.978794241994759773e+01
4.000662486586233513e+01,0.000000000000000000e+00,2.960422580673482074e+01
4.014385149892949300e+01,0.000000000000000000e+00,2.941787561340679957e+01
4.028167161724745426e+01,0.000000000000000000e+00,2.922887528616555386e+01
4.042005382601826113e+01,0.000000000000000000e+00,2.903720832786385131e+01
4.055896625265274480e+01,0.000000000000000000e+00,2.884285830652285654e+01
4.069837654381454684e+01,0.000000000000000000e+00,2.864580886398331216e+01
4.083825186252410333e+01,0.000000000000000000e+00,2.844604372469087039e+01
4.097855888532615865e+01,0.000000000000000000e+00,2.824354670461617189e+01
4.111926379952383570e+01,0.000000000000000000e+00,2.803830172031015167e+01
4.126033230048288658e+01,0.000000000000000000e+00,2.783029279809515444e+01
4.140172958900944167e+01,0.000000000000000000e+00,2.761950408339220786e+01
4.154342036880468214e+01,0.000000000000000000e+00,2.740591985018497923e+01
4.168536884400015197e+01,0.000000000000000000e+00,2.718952451062063602e+01
4.182753871677707025e+01,0.000000000000000000e+00,2.697030262474809348e+01
4.196989318507343825e+01,0.000000000000000000e+00,2.674823891039380186e+01
4.211239494038252218e+01,0.000000000000000000e+00,2.652331825317532576e+01
4.225500616564650613e+01,0.000000000000000000e+00,2.629552571665291083e+01
4.239768853324903120e+01,0.000000000000000000e+00,2.606484655261915151e+01
4.254040320311050749e+01,0.000000000000000000e+00,2.583126621152675284e+01
4.268311082089002895e+01,0.000000000000000000e+00,2.559477035305453541e+01
4.282577151629779877e+01,0.000000000000000000e+00,2.535534485681144901e+01
4.296834490152212993e+01,0.000000000000000000e+00,2.511297583317866611e+01
4.311079006977491446e+01,0.000000000000000000e+00,2.486764963428943531e+01
4.325306559395971817e+01,0.000000000000000000e+00,2.461935286514649590e+01
4.339497474257699139e+01,0.000000000000000000e+00,2.436834803315736053e+01
4.353630477164568902e+01,0.000000000000000000e+00,2.411494112794721190e+01
4.367686684995089053e+01,0.000000000000000000e+00,2.385941158003776152e+01
4.381649371830857120e+01,0.000000000000000000e+00,2.360201468111152678e+01
4.395503756505881654e+01,0.000000000000000000e+00,2.334298377303653638e+01
4.409236809982078853e+01,0.000000000000000000e+00,2.308253222945621630e+01
