gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707024151149947662e+06,4.688714032253357582e+06,3.360438334556202870e+06,-2.567259591782055338e-03,1.049501728594062072e-02,-7.164301502248242304e-02
-2.707023696907534264e+06,4.688715997833820991e+06,3.360429008662652224e+06,3.049086991395099852e-02,-2.564538386869193512e-02,-4.269576853712447190e-02
-2.707027200254042167e+06,4.688707920240928419e+06,3.360431250405006111e+06,1.137534859447837145e-02,3.590103116033783320e-02,4.596168451150678402e-02
-2.707029778613982257e+06,4.688704544572232291e+06,3.360422045200031251e+06,4.261112478088591171e-02,3.311494140368761302e-02,-3.602054296138665064e-04
-2.707024120656377170e+06,4.688710223977418616e+06,3.360441688306364696e+06,2.555846984441985381e-02,-4.591843982741570379e-02,-4.161258149909172893e-02
-2.707021209354634862e+06,4.688714413164199330e+06,3.360422633317033760e+06,1.758473058426590283e-02,3.949449345932057320e-02,-3.107441109199280110e-03
-2.707028629941819701e+06,4.688709171575097367e+06,3.360421837275446393e+06,7.282818299991135336e-02,-1.061081017256581974e-03,3.928693833472961944e-02
-2.707025644592863973e+06,4.688707520893265493e+06,3.360410941942723468e+06,-1.480880486563975786e-02,-2.919218280640241414e-02,-4.459660793397116768e-02
-2.707034473172531929e+06,4.688714964050143026e+06,3.360444137722436804e+06,-4.941319783019434975e-02,-1.569159599817654058e-02,-9.767786974533933242e-02
-2.707025179925174918e+06,4.688713435119657777e+06,3.360423430514558684e+06,2.543499076145631921e-02,2.248098880511036762e-02,6.796611526989133900e-03
-2.707026617553219665e+06,4.688706403710054234e+06,3.360424521353998687e+06,-2.772979236264755225e-03,3.980312677826326750e-02,-1.208139520968027486e-02
-2.707020858850929886e+06,4.688712459376073442e+06,3.360434390553378034e+06,4.266535642827229413e-02,-1.542472181672495217e-02,-5.171262055177748909e-03
-2.707033290301096160e+06,4.688717855854940601e+06,3.360430551092066336e+06,-7.298246214023677847e-02,-2.990067370303906708e-02,6.047294243761813619e-03
-2.707024995014768559e+06,4.688715563271003775e+06,3.360440693269878160e+06,-2.954196725941129684e-02,1.241471820989949182e-02,-4.114862825130359385e-03
-2.707031263682299759e+06,4.688700360301580280e+06,3.360426292470651213e+06,-2.980467140373204218e-02,5.594049233185008352e-02,-3.597119185334227837e-02
-2.707034340598959010e+06,4.688706930824454874e+06,3.360447833997346461e+06,5.310523178690815943e-02,5.141021030838732742e-02,-3.070310940625131657e-02
-2.707022526171219070e+06,4.688711999435273930e+06,3.360427112147467677e+06,8.983560685347657948e-02,5.614281421488246694e-03,-8.956852357293276085e-03
-2.707030286852771882e+06,4.688707910645851865e+06,3.360432395328232087e+06,1.240141236205141023e-02,-4.403451055797887731e-02,3.506812812412953700e-02
-2.707026949182456359e+06,4.688713677470286377e+06,3.360432598915122915e+06,-5.063477392732876337e-02,-1.984689507647424342e-02,1.851207894597480322e-02
