q0 (),q1,q2,q3
9.999324304484544790e-01,0.000000000000000000e+00,-1.162473816680827977e-02,0.000000000000000000e+00
9.999231209850840685e-01,0.000000000000000000e+00,-1.239968223177631210e-02,0.000000000000000000e+00
9.999128812649750175e-01,0.000000000000000000e+00,-1.319961667533941889e-02,0.000000000000000000e+00
9.999016512996200534e-01,0.000000000000000000e+00,-1.402454021681124458e-02,0.000000000000000000e+00
9.998893692274214429e-01,0.000000000000000000e+00,-1.487445145170677128e-02,0.000000000000000000e+00
9.998759713139372396e-01,0.000000000000000000e+00,-1.574934884401407373e-02,0.000000000000000000e+00
9.998613919521501803e-01,0.000000000000000000e+00,-1.664923071822551823e-02,0.000000000000000000e+00
9.998455636627607834e-01,0.000000000000000000e+00,-1.757409525114225074e-02,0.000000000000000000e+00
9.998284170945067606e-01,0.000000000000000000e+00,-1.852394046343823486e-02,0.000000000000000000e+00
9.998098810245096280e-01,0.000000000000000000e+00,-1.949876421099552490e-02,0.000000000000000000e+00
9.997898823586495176e-01,0.000000000000000000e+00,-2.049856417600410055e-02,0.000000000000000000e+00
9.997683461319716303e-01,0.000000000000000000e+00,-2.152333785782644879e-02,0.000000000000000000e+00
9.997451955091234410e-01,0.000000000000000000e+00,-2.257308256363309285e-02,0.000000000000000000e+00
9.997203517848261001e-01,0.000000000000000000e+00,-2.364779539880083881e-02,0.000000000000000000e+00
9.996937343843814716e-01,0.000000000000000000e+00,-2.474747325707819107e-02,0.000000000000000000e+00
9.996652608642153659e-01,0.000000000000000000e+00,-2.587211281051989692e-02,0.000000000000000000e+00
9.996348469124604064e-01,0.000000000000000000e+00,-2.702171049918672061e-02,0.000000000000000000e+00
9.996024063495788647e-01,0.000000000000000000e+00,-2.819626252061275401e-02,0.000000000000000000e+00
9.995678511290284618e-01,0.000000000000000000e+00,-2.939576481904006625e-02,0.000000000000000000e+00
9.995310913379719109e-01,0.000000000000000000e+00,-3.062021307442116397e-02,0.000000000000000000e+00
9.994920351980329798e-01,0.000000000000000000e+00,-3.186960269118686156e-02,0.000000000000000000e+00
9.994505890661010694e-01,0.000000000000000000e+00,-3.314392878678675686e-02,0.000000000000000000e+00
9.994066574351856413e-01,0.000000000000000000e+00,-3.444318617999142518e-02,0.000000000000000000e+00
9.993601429353226040e-01,0.000000000000000000e+00,-3.576736937896766999e-02,0.000000000000000000e+00
9.993109463345359877e-01,0.000000000000000000e+00,-3.711647256911984605e-02,0.000000000000000000e+00
9.992589665398546872e-01,0.000000000000000000e+00,-3.849048960070014513e-02,0.000000000000000000e+00
9.992041005983893776e-01,0.000000000000000000e+00,-3.988941397618774726e-02,0.000000000000000000e+00
9.991462436984692719e-01,0.000000000000000000e+00,-4.131323883743736464e-02,0.000000000000000000e+00
9.990852891708417172e-01,0.000000000000000000e+00,-4.276195695259528418e-02,0.000000000000000000e+00
9.990211284899384037e-01,0.000000000000000000e+00,-4.423556070278721747e-02,0.000000000000000000e+00
9.989536512752078545e-01,0.000000000000000000e+00,-4.573404206857640403e-02,0.000000000000000000e+00
9.988827452925190808e-01,0.000000000000000000e+00,-4.725739261618781134e-02,0.000000000000000000e+00
9.988082964556365129e-01,0.000000000000000000e+00,-4.880560348350730659e-02,0.000000000000000000e+00
9.987301888277713147e-01,0.000000000000000000e+00,-5.037866536584971466e-02,0.000000000000000000e+00
9.986483046232088601e-01,0.000000000000000000e+00,-5.197656850149633828e-02,0.000000000000000000e+00
9.985625242090163667e-01,0.000000000000000000e+00,-5.359930265700877522e-02,0.000000000000000000e+00
9.984727261068336857e-01,0.000000000000000000e+00,-5.524685711230799268e-02,0.000000000000000000e+00
9.983787869947483573e-01,0.000000000000000000e+00,-5.691922064553275873e-02,0.000000000000000000e+00
9.982805817092585965e-01,0.000000000000000000e+00,-5.861638151766412896e-02,0.000000000000000000e+00
9.981779832473267611e-01,0.000000000000000000e+00,-6.033832745692796484e-02,0.000000000000000000e+00
9.980708627685263012e-01,0.000000000000000000e+00,-6.208504564296881550e-02,0.000000000000000000e+00
9.979590895972838549e-01,0.000000000000000000e+00,-6.385652269079834797e-02,0.000000000000000000e+00
9.978425312252202639e-01,0.000000000000000000e+00,-6.565274463451879761e-02,0.000000000000000000e+00
9.977210533135937309e-01,0.000000000000000000e+00,-6.747369691081933629e-02,0.000000000000000000e+00
9.975945196958461159e-01,0.000000000000000000e+00,-6.931936434225295651e-02,0.000000000000000000e+00
9.974627923802580343e-01,0.000000000000000000e+00,-7.118973112028342820e-02,0.000000000000000000e+00
9.973257315527125355e-01,0.000000000000000000e+00,-7.308478078811389556e-02,0.000000000000000000e+00
9.971831955795736890e-01,0.000000000000000000e+00,-7.500449622329084798e-02,0.000000000000000000e+00
9.970350410106799677e-01,0.000000000000000000e+00,-7.694885962008643498e-02,0.000000000000000000e+00
9.968811225824577571e-01,0.000000000000000000e+00,-7.891785247166020756e-02,0.000000000000000000e+00
9.967212932211577670e-01,0.000000000000000000e+00,-8.091145555199800998e-02,0.000000000000000000e+00
9.965554040462150098e-01,0.000000000000000000e+00,-8.292964889763593250e-02,0.000000000000000000e+00
