mag_x (uT),mag_y (uT),mag_z (uT)
3.271041401002147353e+01,-2.444241312943402633e+00,3.742660610290772638e+01
3.270323577667220150e+01,-2.517499115055575665e+00,3.741254132359861728e+01
3.269976999366010517e+01,-2.611001744933218571e+00,3.739548823402520838e+01
3.270323085626646531e+01,-2.719945428464721981e+00,3.742191708793802718e+01
3.268171313697118308e+01,-2.807847854985562996e+00,3.741803010104420935e+01
3.268597351438062049e+01,-2.889493300908699602e+00,3.742898333419022805e+01
3.264646715800319754e+01,-2.996825049721840273e+00,3.741914645035694775e+01
3.266261468985791083e+01,-3.097379916589425797e+00,3.742886221158401838e+01
3.265814500004002952e+01,-3.182005738794845051e+00,3.742885979461796353e+01
3.265053284143004930e+01,-3.301011103949302417e+00,3.743537680029250936e+01
3.263029346161450661e+01,-3.398541102049155604e+00,3.742556986848887135e+01
3.262474472060541331e+01,-3.520669636186013918e+00,3.741628924154865388e+01
3.261215986125249344e+01,-3.597858899398447274e+00,3.739915179060965755e+01
3.258336534695496312e+01,-3.722788271341511912e+00,3.742936521255662541e+01
3.259043655687451491e+01,-3.835912228490208076e+00,3.741751598268209023e+01
3.257893563329554354e+01,-3.970956767278126964e+00,3.742133247489142889e+01
3.255853879484610758e+01,-4.052930991530557137e+00,3.742261337209685479e+01
3.254403891854816067e+01,-4.185812135670093248e+00,3.741395886856761877e+01
3.254236301370812612e+01,-4.304669814332617861e+00,3.742693549112576790e+01
3.253442028821686449e+01,-4.411560935547483631e+00,3.743720504176506125e+01
3.249867049563733445e+01,-4.519839866297084008e+00,3.742194372488210519e+01
3.248713737356521847e+01,-4.683665486660052224e+00,3.742067579284971401e+01
3.245167148152622616e+01,-4.768476252392185977e+00,3.742946943054480613e+01
3.243597498511802257e+01,-4.903080682179825622e+00,3.740357617542862556e+01
3.241456057882681563e+01,-5.026067673838415573e+00,3.741310805263367456e+01
3.240058470984278216e+01,-5.164234263407838199e+00,3.742593629980451908e+01
3.237912667621100127e+01,-5.286693730191871055e+00,3.743260569557676831e+01
3.235285827602695008e+01,-5.427137187477717895e+00,3.742101932044296575e+01
3.233132371337351429e+01,-5.554383911559685139e+00,3.741817676114516189e+01
3.231460845994961772e+01,-5.686570190391515567e+00,3.743337561691662074e+01
3.229409451595129354e+01,-5.835793032545569581e+00,3.743563682868456510e+01
3.224892075405423952e+01,-5.955589387254832445e+00,3.742520657310449650e+01
3.223424803986656428e+01,-6.073185287240717933e+00,3.741923246739867182e+01
3.222011725864182807e+01,-6.244609749232624019e+00,3.741740873175245241e+01
3.219310445541375998e+01,-6.394060189776092251e+00,3.742456572340348941e+01
3.215078681759433721e+01,-6.523858748131416974e+00,3.741442734148768068e+01
3.211500188123397947e+01,-6.654930673132031238e+00,3.741420090869475956e+01
3.209587566282744575e+01,-6.827489396247174547e+00,3.743926415863833768e+01
3.207030974259180311e+01,-6.957098413849554852e+00,3.743324777734203224e+01
3.203347135700492743e+01,-7.112576336965998891e+00,3.742215189966785971e+01
3.199550353447635231e+01,-7.260406098994508284e+00,3.741950543176191246e+01
3.194945618865070713e+01,-7.409044053441026456e+00,3.742265898067451957e+01
3.193500120035116296e+01,-7.545607341179073835e+00,3.742989745286520531e+01
3.189001796963269086e+01,-7.719659949859527970e+00,3.741875522068951909e+01
3.185535341875598903e+01,-7.872838165591089066e+00,3.743343955031471637e+01
3.180994563181277712e+01,-8.041217787745178924e+00,3.741576073307653161e+01
