mag_x (uT),mag_y (uT),mag_z (uT)
3.212574620242364176e+01,6.667227390879025606e+00,3.742730289762580043e+01
3.209915301966825041e+01,6.810140049595582390e+00,3.742028344890092484e+01
3.206171887809010457e+01,6.951901565834971208e+00,3.742490332872684888e+01
3.202724619418832219e+01,7.100657855701119736e+00,3.741184975038698468e+01
3.201224450908735264e+01,7.245556158025626914e+00,3.742410473143857530e+01
3.197363551949070271e+01,7.410756216932143481e+00,3.742477442116739184e+01
3.192133547827243945e+01,7.574533967921486699e+00,3.742000714875770484e+01
3.190178870988897941e+01,7.721483573076621809e+00,3.742770649047756137e+01
3.185105869577980187e+01,7.885221735696807954e+00,3.741676469425837581e+01
3.181926482419574853e+01,8.027143469877275450e+00,3.743012791907533199e+01
3.175365820788388405e+01,8.177366193122100668e+00,3.743243419468889499e+01
3.172865724175049706e+01,8.353624650969731391e+00,3.742319680418284378e+01
3.170080203797304108e+01,8.514536053860709330e+00,3.742195373852574392e+01
3.164614582927679365e+01,8.688700180057535860e+00,3.743134586587655122e+01
3.161252785593786996e+01,8.853807623936717164e+00,3.741858825427693347e+01
3.156670552294465182e+01,9.021377645230758802e+00,3.742641488215029710e+01
3.148978497238720564e+01,9.177560257457329840e+00,3.742196225954902644e+01
3.144785898681412206e+01,9.355409996428946329e+00,3.742843021583558283e+01
3.140983578234062890e+01,9.519759857567716921e+00,3.741706970399908272e+01
3.133627799116239743e+01,9.687575172829346215e+00,3.741478917318026731e+01
3.129090333256311496e+01,9.871998505756000242e+00,3.743192319177775573e+01
3.123917509516257596e+01,1.002282366471671082e+01,3.743899795604810521e+01
3.116916059428092467e+01,1.021070423009028438e+01,3.740372386600586907e+01
3.111628377312815630e+01,1.039143778470543644e+01,3.742074007164811178e+01
3.107930176305161396e+01,1.056235998394676834e+01,3.741866799347801731e+01
3.099593240625477364e+01,1.075482204770150751e+01,3.744659393588015917e+01
3.092654476285645870e+01,1.092439167805289202e+01,3.742952165377367635e+01
3.089465395474210041e+01,1.108500509643610243e+01,3.743115503460876425e+01
3.081515806228543042e+01,1.129672305252961628e+01,3.742882224143436787e+01
