vel_x (m/s),vel_y (m/s),vel_z (m/s)
7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
7.070969035816704107e+00,-7.071068624315810069e+00,2.250442209979409578e-05
7.070946274609569038e+00,-7.071161153531467569e+00,-5.028212297323437601e-05
7.070913085478236937e+00,-7.071226792338138445e+00,-2.836533784308414624e-05
7.070947200760041795e+00,-7.071220209049750238e+00,-2.896063480128198203e-05
7.070967774369290026e+00,-7.071263070650847027e+00,8.979624388210809055e-06
7.070961898415411007e+00,-7.071362505681596744e+00,8.904331451062893338e-05
7.070962449175348219e+00,-7.071340032292769529e+00,-4.929127898312024212e-05
7.070898968206504875e+00,-7.071322239901984830e+00,-1.440140181192977090e-05
7.070918347074503174e+00,-7.071343005429657325e+00,2.715248987269781302e-05
7.070870413838862945e+00,-7.071287154926917395e+00,-1.408853846315590149e-04
7.070837821361681819e+00,-7.071291609969328817e+00,-9.746386058510339481e-05
7.070893776037094902e+00,-7.071369454108115349e+00,-1.712943748688884030e-04
7.070878423389762801e+00,-7.071419073907760477e+00,-1.425071787285278775e-04
7.070850805523498650e+00,-7.071444041418196491e+00,-2.113512767380133404e-04
7.070853594296604427e+00,-7.071439358344403736e+00,-2.294001912780995530e-04
7.070815366551866710e+00,-7.071444335612222076e+00,-2.583234505198079558e-04
7.070800274209388725e+00,-7.071463587372132764e+00,-9.127090741829580270e-05
7.070748787797159096e+00,-7.071487222084570590e+00,-4.715475477012307941e-05
7.070695283551213350e+00,-7.071459988719493772e+00,-6.621891840663452400e-05
7.070688241875780378e+00,-7.071448842741483887e+00,-1.353479032428137854e-04
7.070708714092160285e+00,-7.071448410077434410e+00,-1.342346340232393486e-04
7.070679776244482184e+00,-7.071416527834776922e+00,-2.273460290075457024e-04
7.070768550988523415e+00,-7.071339370847141481e+00,-3.248132197609493693e-04
7.070811012684434793e+00,-7.071397383527807889e+00,-4.086365582639629257e-04
7.070806758148725280e+00,-7.071459808071705488e+00,-4.510206700615753458e-04
7.070776941786188097e+00,-7.071458037029920263e+00,-4.891855425344579511e-04
7.070725623332782206e+00,-7.071506540511721006e+00,-5.187655533268084422e-04
7.070717941107671933e+00,-7.071449549558319170e+00,-3.642457438237001362e-04
7.070736210780959041e+00,-7.071506106860046437e+00,-3.041103294561490621e-04
7.070702561830491284e+00,-7.071483662895801103e+00,-3.187156299132114495e-04
7.070696451581491182e+00,-7.071485226593966722e+00,-2.721164726105052369e-04
7.070723667267898804e+00,-7.071511101773356955e+00,-1.625886866495233961e-04
7.070736383537303382e+00,-7.071566671630395540e+00,-2.105249243047803030e-04
7.070707071230381224e+00,-7.071615624585773752e+00,-1.203242645646740373e-04
7.070707992122673424e+00,-7.071574395572955751e+00,5.387984566602348549e-05
7.070683633972167037e+00,-7.071542582928407761e+00,-1.417402809485949090e-05
7.070699975593590203e+00,-7.071563147645503200e+00,3.135017385352324194e-05
7.070675797122063955e+00,-7.071591786255564394e+00,1.528505194030088318e-05
7.070647838968191046e+00,-7.071665994367492658e+00,-4.328540394059310868e-06
7.070608292457525756e+00,-7.071593446990210197e+00,5.167986072583772173e-05
7.070611276352781083e+00,-7.071568865939784843e+00,4.860430969374314111e-05
7.070610053212050161e+00,-7.071610829535281972e+00,-1.240630665207981959e-04
7.070580771452481095e+00,-7.071570178316445521e+00,-1.981789632252170617e-04
7.070571569343981899e+00,-7.071612580429230022e+00,-3.042701681556589247e-04
7.070623495883952891e+00,-7.071622322118214399e+00,-4.181084171363189106e-04
7.070537526283219520e+00,-7.071546401431816342e+00,-3.623913806667534835e-04
7.070613305621221478e+00,-7.071489078509054060e+00,-3.028137805297248129e-04
7.070692046893397809e+00,-7.071562577558021978e+00,-3.001467883499072146e-04
7.070656825274761026e+00,-7.071666499839516007e+00,-2.244572951522799046e-04
7.070616419088407767e+00,-7.071647094995243243e+00,-1.888954032235166014e-04
7.070577232558133751e+00,-7.071632400622981152e+00,-2.070490994574333940e-04
7.070689793201180962e+00,-7.071598438466526027e+00,-2.916359615296973840e-04
7.070774252084373046e+00,-7.071634681036170988e+00,-3.184591309752165611e-04
7.070827701154109413e+00,-7.071625405185305802e+00,-3.128406713766290889e-04
7.070804305000661039e+00,-7.071750958933105125e+00,-2.587581608584451536e-04
7.070745791926701607e+00,-7.071705633568480920e+00,-3.131279732095605325e-04
7.070773963179044941e+00,-7.071639894672427040e+00,-3.428143339950182077e-04
7.070741392194613617e+00,-7.071579214570072658e+00,-3.720336275392431384e-04
7.070694111865194031e+00,-7.071664057569310380e+00,-4.469388522985980397e-04
7.070686993191023895e+00,-7.071607116128284076e+00,-4.706590509883639838e-04
7.070641049579747595e+00,-7.071621397551471233e+00,-5.023468526465526239e-04
7.070668649441804732e+00,-7.071756322891125990e+00,-5.384518014338924609e-04
7.070626825257930292e+00,-7.071699147646715033e+00,-5.631976329932257422e-04
7.070610005892596917e+00,-7.071677836005411777e+00,-4.454813544302943171e-04
7.070585005979175719e+00,-7.071687317716982335e+00,-4.930209345415558419e-04
7.070575650507566756e+00,-7.071624742407740527e+00,-6.230484188203932582e-04
7.070581065797127529e+00,-7.071605862220819105e+00,-6.370490399248435881e-04
7.070603435426759731e+00,-7.071579841444643577e+00,-5.963697460565668077e-04
7.070569286454767344e+00,-7.071577458060386512e+00,-5.084612418986888876e-04
7.070610032002979217e+00,-7.071633610960851968e+00,-5.505885340558321853e-04
7.070581795433666272e+00,-7.071565182167579344e+00,-6.459082950115496366e-04
7.070587644329752841e+00,-7.071499529962617103e+00,-6.150593861217483384e-04
7.070580077105847572e+00,-7.071580203470104742e+00,-6.617016011344186094e-04
7.070535543164005787e+00,-7.071612310661276268e+00,-6.776259565092973905e-04
7.070527089772949303e+00,-7.071620255196148008e+00,-7.059389245997206011e-04
7.070555022533357103e+00,-7.071609341759707235e+00,-7.767171718388489335e-04
7.070551027378280118e+00,-7.071602570999833581e+00,-8.951920073658489827e-04
7.070656570655613926e+00,-7.071587329948631151e+00,-8.700573435351821074e-04
7.070679437940006196e+00,-7.071425489258998276e+00,-8.043998405309400095e-04
7.070690324322952414e+00,-7.071365575503007150e+00,-7.573656770992749469e-04
7.070708241525417215e+00,-7.071344235866815708e+00,-7.475492286424031008e-04
7.070713493764125168e+00,-7.071282770187781175e+00,-8.099824540099715428e-04
7.070757776127704730e+00,-7.071311184871298394e+00,-8.828600616943341715e-04
7.070779710240528537e+00,-7.071317209174448948e+00,-7.666659024441231521e-04
7.070780043402470127e+00,-7.071361991700646499e+00,-6.770547631205236540e-04
7.070836161348323934e+00,-7.071405495301817723e+00,-6.983812594297525086e-04
7.070929271826642548e+00,-7.071388044043259491e+00,-8.276664025654670862e-04
7.070849686527445499e+00,-7.071378081948601846e+00,-9.229902714072369058e-04
7.070860132218321326e+00,-7.071399885781173289e+00,-8.921565262099309494e-04
7.070834039289540129e+00,-7.071371227059125353e+00,-1.033344789258790544e-03
7.070872555056191722e+00,-7.071386957202363099e+00,-1.010875227492024622e-03
7.070853558368819236e+00,-7.071321556190388158e+00,-1.109984565351944353e-03
