pos_x (m),pos_y (m),pos_z (m)
-2.707450702089543920e+06,4.688692514432647265e+06,3.360102296409617644e+06
-2.707450629020093940e+06,4.688692446160560474e+06,3.360102296391028445e+06
-2.707450555789220612e+06,4.688692378060406074e+06,3.360102296372626908e+06
-2.707450482396751642e+06,4.688692310134663247e+06,3.360102296353471000e+06
-2.707450408839840442e+06,4.688692242385554127e+06,3.360102296334389597e+06
-2.707450335117700044e+06,4.688692174815101549e+06,3.360102296315742657e+06
-2.707450261230922770e+06,4.688692107425704598e+06,3.360102296295934357e+06
-2.707450187177953776e+06,4.688692040218140930e+06,3.360102296276004054e+06
-2.707450112958635204e+06,4.688691973193800077e+06,3.360102296257941518e+06
-2.707450038572558202e+06,4.688691906354764476e+06,3.360102296240766533e+06
-2.707449964019249659e+06,4.688691839702381752e+06,3.360102296223880257e+06
-2.707449889298608061e+06,4.688691773237752728e+06,3.360102296206692234e+06
-2.707449814409691840e+06,4.688691706961506978e+06,3.360102296189632267e+06
-2.707449739352448843e+06,4.688691640874160454e+06,3.360102296171750408e+06
-2.707449664127398282e+06,4.688691574978770688e+06,3.360102296152130701e+06
-2.707449588733946439e+06,4.688691509276947938e+06,3.360102296130370349e+06
-2.707449513172078412e+06,4.688691443767864257e+06,3.360102296109483112e+06
-2.707449437442069408e+06,4.688691378453250043e+06,3.360102296088519972e+06
-2.707449361545410007e+06,4.688691313334039412e+06,3.360102296068069059e+06
-2.707449285481442697e+06,4.688691248409885913e+06,3.360102296047247481e+06
-2.707449209249013569e+06,4.688691183681597002e+06,3.360102296025028452e+06
-2.707449132849762216e+06,4.688691119150728919e+06,3.360102296001387294e+06
-2.707449056284621824e+06,4.688691054817799479e+06,3.360102295976692345e+06
-2.707448979553321376e+06,4.688690990683325566e+06,3.360102295951791573e+06
-2.707448902656936087e+06,4.688690926747540012e+06,3.360102295926040970e+06
-2.707448825595525559e+06,4.688690863011195324e+06,3.360102295900121797e+06
-2.707448748369114473e+06,4.688690799475156702e+06,3.360102295874216128e+06
-2.707448670978123788e+06,4.688690736140672117e+06,3.360102295848109294e+06
-2.707448593422213104e+06,4.688690673008888029e+06,3.360102295822486281e+06
-2.707448515701648314e+06,4.688690610079555772e+06,3.360102295797535684e+06
-2.707448437817255966e+06,4.688690547353475355e+06,3.360102295773019083e+06
-2.707448359769341536e+06,4.688690484831177630e+06,3.360102295747733675e+06
-2.707448281557903625e+06,4.688690422512834892e+06,3.360102295721691102e+06
-2.707448203184141312e+06,4.688690360398237593e+06,3.360102295696656685e+06
-2.707448124649171717e+06,4.688690298488331959e+06,3.360102295672500040e+06
-2.707448045952629764e+06,4.688690236783700995e+06,3.360102295647939201e+06
-2.707447967095721513e+06,4.688690175284205005e+06,3.360102295622866135e+06
-2.707447888078411575e+06,4.688690113990865648e+06,3.360102295598544646e+06
-2.707447808900983538e+06,4.688690052904260345e+06,3.360102295576562639e+06
-2.707447729564338457e+06,4.688689992025451735e+06,3.360102295553463511e+06
-2.707447650068740826e+06,4.688689931354016997e+06,3.360102295529244933e+06
-2.707447570414710790e+06,4.688689870890325867e+06,3.360102295505737886e+06
-2.707447490603339858e+06,4.688689810635806061e+06,3.360102295482409652e+06
-2.707447410634885076e+06,4.688689750590412878e+06,3.360102295459514484e+06
-2.707447330510647967e+06,4.688689690754768439e+06,3.360102295437392779e+06
-2.707447250229796860e+06,4.688689631129072979e+06,3.360102295415220782e+06
-2.707447169793127105e+06,4.688689571713734418e+06,3.360102295392653905e+06
-2.707447089202212635e+06,4.688689512509478256e+06,3.360102295369962230e+06
-2.707447008456178941e+06,4.688689453516495414e+06,3.360102295347602572e+06
-2.707446927554988302e+06,4.688689394735305570e+06,3.360102295326616149e+06
-2.707446846500355750e+06,4.688689336165669374e+06,3.360102295305866282e+06
-2.707446765293027274e+06,4.688689277808481827e+06,3.360102295285177417e+06
-2.707446683933288790e+06,4.688689219664337113e+06,3.360102295264494140e+06
-2.707446602421422023e+06,4.688689161732722074e+06,3.360102295244745445e+06
-2.707446520758182276e+06,4.688689104014082812e+06,3.360102295223901048e+06
-2.707446438944085501e+06,4.688689046509058215e+06,3.360102295203300193e+06
-2.707446356979067437e+06,4.688688989218825474e+06,3.360102295182716567e+06
-2.707446274864541367e+06,4.688688932143411599e+06,3.360102295161767863e+06
-2.707446192601208109e+06,4.688688875282789581e+06,3.360102295139924623e+06
-2.707446110189502127e+06,4.688688818636984564e+06,3.360102295118486043e+06
-2.707446027628484648e+06,4.688688762207640335e+06,3.360102295095490757e+06
-2.707445944919744041e+06,4.688688705994284712e+06,3.360102295072322711e+06
-2.707445862064805347e+06,4.688688649997165427e+06,3.360102295048954897e+06
-2.707445779063587543e+06,4.688688594215985388e+06,3.360102295026103035e+06
-2.707445695916702971e+06,4.688688538652150892e+06,3.360102295003380626e+06
-2.707445612624367233e+06,4.688688483305260539e+06,3.360102294981374871e+06
-2.707445529186780564e+06,4.688688428177276626e+06,3.360102294959197287e+06
-2.707445445604207925e+06,4.688688373268052004e+06,3.360102294937506318e+06
-2.707445361878042575e+06,4.688688318577552214e+06,3.360102294916009065e+06
-2.707445278008908499e+06,4.688688264106559567e+06,3.360102294894945342e+06
-2.707445193997164723e+06,4.688688209856281988e+06,3.360102294874564745e+06
-2.707445109843286686e+06,4.688688155825940892e+06,3.360102294853108935e+06
-2.707445025548252743e+06,4.688688102016042918e+06,3.360102294830529485e+06
-2.707444941112421453e+06,4.688688048427090049e+06,3.360102294808346312e+06
-2.707444856536054052e+06,4.688687995059598237e+06,3.360102294787131716e+06
-2.707444771820233669e+06,4.688687941913922317e+06,3.360102294765919447e+06
-2.707444686964968685e+06,4.688687888990630396e+06,3.360102294744031969e+06
-2.707444601971331518e+06,4.688687836289997213e+06,3.360102294722492341e+06
-2.707444516840544064e+06,4.688687783812964335e+06,3.360102294701514300e+06
-2.707444431572689209e+06,4.688687731558703817e+06,3.360102294681210537e+06
-2.707444346168531105e+06,4.688687679527434520e+06,3.360102294659024570e+06
-2.707444260628360324e+06,4.688687627720025368e+06,3.360102294636256061e+06
-2.707444174953185022e+06,4.688687576136463322e+06,3.360102294613176025e+06
-2.707444089142852463e+06,4.688687524777789600e+06,3.360102294589443132e+06
-2.707444003198463004e+06,4.688687473643478006e+06,3.360102294564736076e+06
-2.707443917121023405e+06,4.688687422734317370e+06,3.360102294540392235e+06
-2.707443830910566729e+06,4.688687372049652971e+06,3.360102294516393915e+06
-2.707443744568147697e+06,4.688687321591889486e+06,3.360102294491576497e+06
-2.707443658093959559e+06,4.688687271360547282e+06,3.360102294468107168e+06
-2.707443571489261929e+06,4.688687221355984919e+06,3.360102294444008730e+06
-2.707443484753413592e+06,4.688687171578245237e+06,3.360102294418832287e+06
-2.707443397886996623e+06,4.688687122027852573e+06,3.360102294394945726e+06
-2.707443310890961904e+06,4.688687072705182247e+06,3.360102294370890595e+06
-2.707443223765809555e+06,4.688687023610665463e+06,3.360102294347080402e+06
-2.707443136512269732e+06,4.688686974744443782e+06,3.360102294323435519e+06
-2.707443049130748026e+06,4.688686926106557250e+06,3.360102294299602043e+06
-2.707442961621840019e+06,4.688686877697653137e+06,3.360102294275579043e+06
-2.707442873986672610e+06,4.688686829516860656e+06,3.360102294250458479e+06
-2.707442786225164309e+06,4.688686781565390527e+06,3.360102294225684833e+06
-2.707442698338374496e+06,4.688686733844099566e+06,3.360102294201197103e+06
-2.707442610327122267e+06,4.688686686354060657e+06,3.360102294178293087e+06
-2.707442522191380151e+06,4.688686639095718972e+06,3.360102294154784176e+06
-2.707442433931719512e+06,4.688686592068727128e+06,3.360102294131669682e+06
-2.707442345548721496e+06,4.688686545273161493e+06,3.360102294109127019e+06
-2.707442257043777034e+06,4.688686498709493317e+06,3.360102294085415546e+06
-2.707442168417108711e+06,4.688686452377711423e+06,3.360102294061295688e+06
-2.707442079669584520e+06,4.688686406278020702e+06,3.360102294035697356e+06
-2.707441990801122505e+06,4.688686360410992987e+06,3.360102294010364451e+06
