accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
2.284524980826398415e-03,-2.701972374796382265e-03,-9.790662142296307380e+00
1.950758021804595592e-03,5.149578582976718256e-03,-9.798828642866919125e+00
5.569461995105199140e-03,9.869363615786545807e-03,-9.799870277567025667e+00
-8.058048607596475033e-04,7.058438015223285518e-03,-9.798498327159535393e+00
3.255674387871982213e-04,4.990787660777406534e-04,-9.786337824875309011e+00
-2.938117425751177116e-04,-8.413622589446966005e-03,-9.796800994800697993e+00
3.379571454058581583e-03,1.113042921403711494e-05,-9.794103259346295332e+00
-7.069163636696432608e-04,-8.966878693944094203e-03,-9.802446993863043190e+00
-6.546684427922395098e-03,2.806036446899346989e-03,-9.794211528037280345e+00
-2.549202069411328226e-03,-1.032489470692635539e-02,-9.798705550219560578e+00
-1.749671682345489525e-03,7.099685087458041353e-03,-9.808616962858168975e+00
2.235959073757855329e-03,8.684385863290691732e-03,-9.793550489255288483e+00
1.408682668086683491e-03,-5.557670604428311669e-04,-9.791045236854888145e+00
-1.312523713325465698e-02,-8.438116325702973985e-03,-9.797542235778987418e+00
1.929363591099685820e-03,1.480389552758375454e-03,-9.784686732183216051e+00
-5.765510352264992082e-03,-6.343001272239788026e-03,-9.814363931165095423e+00
-7.831610468114447946e-04,-2.482071548666876445e-03,-9.791683708563830635e+00
-1.740293357775021376e-03,-3.986920355551123833e-03,-9.790410606311617414e+00
-8.021797544814792237e-04,3.827872570658617107e-03,-9.793444127048784864e+00
4.700887683087488431e-03,7.630611295415565092e-03,-9.799041050293954669e+00
2.274809096675524823e-03,3.883302235051935749e-03,-9.796512810018061401e+00
5.379625229951551582e-03,4.213553386429312250e-03,-9.803982385669216981e+00
-5.827228712290022372e-03,-2.197889514249862057e-03,-9.806608871421531148e+00
-3.992545230615754913e-03,-1.681714052313429148e-03,-9.803037622540193397e+00
-4.909035702420867960e-03,3.629821201918951483e-04,-9.800332250118938049e+00
5.815729164450304453e-03,-5.683189010950326532e-03,-9.795686328020124733e+00
-5.170895960526469132e-03,-6.026887949597981714e-03,-9.788355413472658029e+00
5.259534288758629592e-03,-1.236832649880536400e-02,-9.807911193168441955e+00
3.478486736846971711e-03,-1.310698361997329796e-03,-9.787042321124562960e+00
-1.463275533569095323e-02,-7.705450289499222311e-03,-9.793928168704454151e+00
-4.505243781409108347e-03,-3.500733106007883691e-03,-9.807992774032815220e+00
-1.079149756053385430e-03,8.415310516760489065e-03,-9.780085721564015344e+00
4.887023381996232277e-03,1.823582810740326677e-03,-9.813382645612090727e+00
9.056088015393905233e-03,-7.296086104252414231e-03,-9.789817581622815013e+00
-4.372892015591975379e-03,-1.358203119257403099e-03,-9.792037377090473171e+00
-9.727815122381302040e-04,4.511668649531141474e-03,-9.802471536390681806e+00
-5.235262155005977747e-03,-2.835556081627188876e-03,-9.798724440848941342e+00
7.345695890465449816e-03,-4.634689069139587281e-03,-9.805872573813811499e+00
2.771522731999850712e-03,4.266824182805781587e-03,-9.791510231979291490e+00
-6.568500069223924022e-03,-2.282011549532322447e-03,-9.787405030257177785e+00
-1.563267116959201784e-03,-4.459948033710098986e-03,-9.801523539160006848e+00
-2.074679044080508350e-04,-6.256873695436860044e-04,-9.790977837988863897e+00
-2.308584407893632742e-03,-4.670299466092107769e-03,-9.801228437033175922e+00
-4.579153302334250386e-03,-4.988674845567729783e-03,-9.789259785935426450e+00
6.500327741178001106e-03,7.670001076757144987e-03,-9.778889278691453413e+00
-1.268585875668184907e-03,1.989149965961052417e-03,-9.802076183349658578e+00
3.258476735978534794e-03,-4.836183076125872941e-03,-9.787809340569427974e+00
6.599441629949803420e-03,-8.364749317406643602e-04,-9.772745893386554528e+00
6.171215047150768393e-03,3.807651470472025058e-03,-9.797918526714335385e+00
1.366683183285088109e-03,9.238412200446621044e-05,-9.801664414919656565e+00
-2.987167404772225494e-03,2.725589287949064816e-03,-9.800574295133021252e+00
-3.370511501867248794e-03,-2.905617955553321460e-03,-9.792551681189738844e+00
9.595395028143892217e-04,2.546206064262294781e-03,-9.801987912718180596e+00
-9.891287569402493381e-04,1.027053450147647450e-03,-9.785401620461462002e+00
4.016298438075002991e-04,6.800760770435961867e-03,-9.786016884204510546e+00
7.622097964804334935e-03,3.748263238436664018e-03,-9.795334068291960961e+00
5.604164497967729572e-03,1.975831605305313626e-03,-9.794399060515001310e+00
-1.051447833655352274e-03,4.979585276327905784e-03,-9.793878332429374112e+00
-2.400491495708862669e-03,1.481117181739780887e-03,-9.793578225503976498e+00
-1.285234149892216810e-03,-1.371444226197342416e-02,-9.794297339999141983e+00
2.811147853952848056e-03,2.994916073476651223e-03,-9.792906112584558898e+00
7.137062381576608425e-03,2.842566808620177691e-03,-9.788419315763281503e+00
-3.178536178225761875e-03,-1.043410290370762675e-02,-9.799048508999684159e+00
7.678160838929360722e-03,8.872982395365960201e-03,-9.800745366910941669e+00
4.810998783142473971e-03,-8.050023016894850003e-03,-9.793818023412361740e+00
2.491365385788803000e-05,-3.184970811950434914e-03,-9.791724351683546601e+00
1.289061072039297253e-03,-8.404048733645315405e-03,-9.787112463119409966e+00
-2.216318203598713354e-04,-9.903488751976885496e-03,-9.792787222410213488e+00
-4.522098533587395192e-03,-8.189873468571069390e-03,-9.813131320155767057e+00
-9.211256021673287428e-03,-3.653860327867614662e-03,-9.798160574533161693e+00
-2.051446756071825545e-03,4.013517824818841999e-03,-9.800326309915906364e+00
8.002024157418932433e-04,-4.448946583351507029e-04,-9.789195226297668029e+00
2.009873511340016464e-03,-1.204358694673362444e-03,-9.809892518666892158e+00
-6.117801579045578815e-03,-4.904342179112048880e-03,-9.804865498518179123e+00
4.512296840623571462e-03,-1.146731467462299391e-02,-9.788695715710554524e+00
-2.272587790280038850e-03,-5.463976045302376162e-03,-9.796019406335034319e+00
1.705447517643521056e-03,1.357070303791960923e-03,-9.794213144517240011e+00
-2.385579922047874335e-03,6.824390367358015158e-03,-9.788413248696697266e+00
-1.776429299964805975e-03,-1.540913451949573951e-02,-9.791117114580675462e+00
-1.317750849521982077e-04,-6.192639484985231445e-03,-9.809786430854392947e+00
-1.291079714028126220e-03,5.910471014187523159e-03,-9.793126830247414816e+00
-2.329896777637307983e-03,-1.183754250512248328e-02,-9.800277485627240992e+00
1.118129898467094645e-02,-5.332322008388959249e-03,-9.788352783871925311e+00
-1.145778167201523881e-02,3.522647953957662274e-03,-9.794616297116837345e+00
1.947049962336600340e-03,2.663621830369051428e-03,-9.785229480589507034e+00
-1.316499491418960050e-03,2.559684947905814176e-03,-9.801578851659439096e+00
1.553288219012088954e-03,7.009878816182811209e-03,-9.789687479065023012e+00
3.434043939392430501e-03,8.009820785057988630e-04,-9.800121917518294978e+00
-3.822034639304507531e-03,-1.060339001534912895e-02,-9.804539617075839431e+00
1.404105157906653488e-02,2.038496346240432477e-03,-9.786044759086895084e+00
4.711947670679065420e-03,6.327152782830484413e-03,-9.801888123156423660e+00
6.785126906831178556e-03,-5.211136375205558356e-03,-9.801391048314840759e+00
-1.024219340399241604e-03,-1.543121960430424372e-03,-9.790855361238659071e+00
-6.675341502347297224e-04,4.360274473564034262e-03,-9.784412008784590498e+00
-9.613306917293704384e-04,3.842274599238865249e-03,-9.789374346117433845e+00
-1.701921698683994840e-04,5.299859043265540970e-03,-9.791979481449917699e+00
-5.168821927880088395e-03,7.775422977116034501e-03,-9.785452155354384729e+00
6.201050828733259586e-04,-6.414051969138837364e-03,-9.800466269708104861e+00
-4.707387874570502333e-03,-9.717239960409046473e-03,-9.803893048426861156e+00
-2.579225806783942265e-03,1.029500760904399764e-02,-9.814453318883188615e+00
1.018553232049105412e-04,2.364342221606285151e-03,-9.799014215784524140e+00
-1.866461056103190213e-04,3.075535893096963038e-03,-9.773042810633452149e+00
8.528931283964761439e-03,1.314376531450521871e-02,-9.800866393717097225e+00
4.318258209015244514e-03,6.986558285702027492e-03,-9.783594398634351208e+00
-3.855952233623980135e-03,6.179391738779683053e-04,-9.789730161060445468e+00
-2.118288735167381254e-03,-3.228126386229950798e-03,-9.794324465175492378e+00
-2.545173500849632568e-03,-1.828423609572628296e-03,-9.801769188304998437e+00
4.336648783503071689e-03,-4.733792089214100204e-03,-9.802721938045101169e+00
-1.751328596195634224e-03,1.840022248711774234e-03,-9.794162173992116749e+00
7.551635639927552907e-03,-1.627429250492870268e-03,-9.809951129903252465e+00
5.556885784467673018e-04,1.233382931144154197e-02,-9.795856118861429707e+00
1.272990505274468418e-03,-2.109090926934992401e-03,-9.788368495010566050e+00
-7.553101228768979887e-03,4.264288909382183898e-03,-9.798137183993810950e+00
9.198223244471269780e-03,2.353391733000161253e-03,-9.775867020285897269e+00
3.896516078329021263e-03,-4.222615726919390876e-03,-9.782224045664174028e+00
1.313316898201826420e-02,-2.005532421791288503e-03,-9.802292485312396053e+00
3.836411337197489189e-04,-6.203716065272065275e-03,-9.791088661258672943e+00
-2.211667558141402947e-03,-3.685732515103243637e-03,-9.786793390346170796e+00
-4.615226460624964437e-03,-3.456284070192753525e-03,-9.798406402562433115e+00
-6.436485422176969201e-03,1.602994528885608730e-05,-9.798183657624042198e+00
6.769339603300119149e-03,-1.670343430834805463e-03,-9.782181584309139311e+00
-5.574766071877607261e-03,-3.917009013955866786e-03,-9.779287194169038244e+00
-1.234843034860333378e-03,1.816788276766028885e-03,-9.792044311498880660e+00
-5.006404387665762444e-04,-1.153805398110595640e-02,-9.782229082157599009e+00
6.144662776572698895e-03,-4.282987465332823741e-04,-9.796081781509698772e+00
-1.864543187420900821e-03,-9.787163392335792959e-04,-9.796141680369670368e+00
-4.190599310562585778e-03,2.768876782747844382e-03,-9.800439126200817697e+00
2.464965105886793642e-03,3.418257961985090611e-03,-9.782870441084490665e+00
2.488286929871219230e-03,2.488250940526253244e-03,-9.784581893603890634e+00
-4.796647846029530632e-04,1.288330558718317779e-03,-9.800862265482427560e+00
-7.556303463843275529e-04,1.361248663369724748e-02,-9.789814269453083639e+00
5.100334362503873044e-03,-2.887241767142200918e-03,-9.795485415580646560e+00
-9.768133070913033282e-04,1.218422603026538898e-03,-9.806910133247743744e+00
4.537718431069425427e-03,6.613645732164224675e-04,-9.792642684757540295e+00
-4.461956462035369594e-03,6.266221757206828693e-04,-9.805565781182801643e+00
-1.748365064184727617e-03,9.539439289923977439e-03,-9.790436056229554040e+00
-3.550214707646018493e-03,-1.546341935459643680e-03,-9.798353837094719410e+00
-4.728598159275927172e-03,2.660967949309267673e-03,-9.786539915919112431e+00
2.388972212206380563e-03,-5.794418461552911306e-03,-9.786496864102700144e+00
3.373231973766492760e-03,-3.820943948633604217e-03,-9.796621166695411276e+00
5.116953075806540338e-03,4.201449629086397887e-03,-9.793106965519495333e+00
-2.691923755664896688e-03,4.144560737637133924e-03,-9.787201199169254906e+00
3.168411979281310874e-03,4.234692884767739078e-03,-9.804771282351278927e+00
-5.429766822207002068e-03,-4.167392248857166442e-03,-9.800186128998221946e+00
-6.473126947307018472e-03,1.627673269492245847e-03,-9.799976086916410978e+00
9.840763741972614193e-03,-4.561740998277240278e-03,-9.779532468749772889e+00
-4.847728508000234693e-03,-1.735310018288758636e-03,-9.788841829443130749e+00
-2.982619760168487774e-03,3.146193086498245885e-03,-9.796818774965771581e+00
-1.106336192831867959e-03,6.354620947221954579e-03,-9.788464010495731671e+00
2.048160242335232868e-03,2.733740402736579457e-03,-9.792683178333861704e+00
-1.127310184136613800e-03,-2.142536920506296193e-03,-9.797607680330342461e+00
2.594869352099740071e-03,-7.029725655630390813e-03,-9.795379176603479010e+00
-2.253212553445912026e-03,-4.793934028489998250e-03,-9.792214071851466528e+00
7.220753679888510619e-04,-1.776145914124772213e-03,-9.793440897250251354e+00
-4.842062333113188351e-03,-4.714139252810129604e-03,-9.802317444405863611e+00
6.653116391616253032e-03,2.506173844018925925e-03,-9.789015033408983157e+00
-8.630991884807339342e-04,-5.286588265631085755e-03,-9.803242031998671280e+00
-3.596575846742039190e-03,2.039931035578153415e-04,-9.799026628508549663e+00
1.893019826437825851e-03,-4.012361273600578704e-03,-9.796273298090401482e+00
6.637160733115694475e-04,7.350547722347352099e-04,-9.793570043787035218e+00
-1.107537918945669143e-02,1.256173629141065602e-03,-9.785816066908870070e+00
6.404537508191815963e-03,-3.911375863415339146e-03,-9.794770842107144659e+00
2.447574471534742779e-03,-6.294022355955102878e-03,-9.794522438439090095e+00
