Yaw (deg),Pitch (deg),Roll (deg)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.585458613151882788e-04,7.721582561268738355e-04,5.036214637536756607e-05
-3.568319569846401863e-04,6.610975082758809409e-04,6.850576587181205065e-05
-3.255143975175796723e-04,9.556091306016965088e-04,-7.096177347586454798e-04
1.213982307926539145e-04,1.100147142745349933e-03,-1.119672305090535242e-03
-4.687247419702109726e-04,1.675581537120350573e-03,-1.262991005240920962e-03
-6.755621626637944291e-04,1.237139292020706174e-03,-1.722499501651243931e-03
2.445943818196129782e-04,1.160317594782554057e-03,-2.561192937539284818e-03
9.791014300919275836e-04,1.134126226408170048e-03,-2.280587268451450891e-03
1.356581069586827335e-03,9.135445842865816488e-04,-2.987027400084136565e-03
1.077745044298570199e-03,1.112717269295606694e-03,-3.239877003002579470e-03
-1.405565592241028033e-04,1.032616659625514889e-03,-2.994677778377986040e-03
3.049830412086587087e-04,1.604236665129071815e-03,-2.618669792884698554e-03
4.218831947310999102e-04,1.542177259897621047e-03,-2.658987784498344567e-03
1.449956355775955646e-03,1.175244127990486033e-03,-2.893986860857431648e-03
1.959293047811979174e-03,1.323209291292264502e-03,-3.229088565328310390e-03
2.270712119592879254e-03,1.503951785564835303e-03,-3.077871445898987691e-03
2.644624710997530315e-03,1.337795464773483501e-03,-2.657028665386561034e-03
3.166047875111977199e-03,1.145746391688677156e-03,-2.802245366758562839e-03
2.599144831648712416e-03,5.606962703178452155e-04,-2.682552199401374259e-03
2.958279886556460913e-03,1.936106259872170433e-04,-3.098351772001417710e-03
3.699659625296655274e-03,7.526648521624028192e-05,-2.390856557531923637e-03
3.895692786789863374e-03,-5.617464341714682495e-06,-2.116529050134620220e-03
4.016456947173633642e-03,5.111550388911305582e-04,-1.912815029300012938e-03
3.285894269673194073e-03,8.745248241578806175e-04,-1.992942608175831028e-03
2.724409002273604167e-03,1.035472070095235560e-03,-1.403620772950766498e-03
3.424878236869944789e-03,8.352225881743421780e-04,-1.554795195174796989e-03
2.977441374550051072e-03,6.407111404737134705e-04,-2.241928668936900033e-03
2.877204634109794580e-03,7.914174380208926574e-04,-3.388504338291788327e-03
3.573604685649947165e-03,9.866911079160530906e-04,-3.190379669861913899e-03
3.643177517725268086e-03,7.985897501004749453e-04,-2.916572749982845447e-03
3.136052641858743956e-03,5.201948424230810279e-04,-2.717579662593220223e-03
3.037432311119018635e-03,9.018833789802483585e-04,-2.643114758095833298e-03
2.872371305487860568e-03,1.155665724445943503e-03,-3.479003065787287553e-03
3.413297011062260949e-03,8.309914573366051094e-04,-3.800349202469512251e-03
3.635891490336238662e-03,7.821868700286754416e-04,-4.253854879884600565e-03
4.230115904524581541e-03,9.462052395238508247e-04,-4.057224450442770657e-03
4.236461769071520403e-03,1.294458616063239118e-03,-4.031390443918523615e-03
4.394455631372733845e-03,2.055788789636864809e-03,-4.851510852261830403e-03
3.592183794411766065e-03,1.497210041859794180e-03,-4.993392985728614328e-03
3.439679980468279656e-03,1.213134376962585539e-03,-5.415130475616865974e-03
3.553675842416017649e-03,1.002747431794391922e-03,-4.885949431174697183e-03
3.869463045826805961e-03,1.496403913607096108e-03,-4.888369688669487803e-03
3.431118882034243749e-03,1.007934959596592768e-03,-5.432945320472835557e-03
3.728970504555170502e-03,6.613746305661129428e-04,-4.449706750451260483e-03
3.818708224156991664e-03,3.779605213257963272e-04,-4.073352096240748579e-03
3.071799412323666587e-03,5.995386948989298937e-04,-4.437007490085999317e-03
3.118620891341988832e-03,5.293455101541436145e-04,-4.978464791928188110e-03
3.706129397301562590e-03,5.243565675061225180e-04,-4.524514648362368448e-03
3.950902246918583730e-03,7.232266952411133681e-04,-4.600055004130670228e-03
3.740621154611793384e-03,3.602326655174945100e-04,-4.939889887771374902e-03
4.093543332944499930e-03,-5.839550622558974607e-05,-5.176221144477774309e-03
4.092723298086103911e-03,-1.702848153998937487e-04,-4.928617325332136818e-03
4.119440268528755909e-03,-2.836352561545491414e-04,-4.506419903358782099e-03
3.884294638452502179e-03,1.652007927835550348e-04,-3.766152873282884849e-03
4.023268724685552869e-03,-5.809166935132075880e-04,-2.927200163064754002e-03
4.323200462050810072e-03,3.459697546003213096e-04,-2.262416947007304772e-03
4.745400481109896158e-03,9.199410212808361090e-04,-2.231942985850657833e-03
4.063663447020351635e-03,6.489536944443857498e-04,-1.877045157774065876e-03
4.043404536880955934e-03,2.764562980768405140e-06,-1.645701981328450639e-03
4.097223971666420599e-03,-4.749914121182908887e-05,-9.768730164414320474e-04
2.871973503136952561e-03,1.960010124879896828e-04,-4.897265043662689171e-04
2.841885420651848581e-03,1.605706914484044355e-04,-2.442220335718558468e-04
2.809802485680840730e-03,2.891077952329736372e-04,8.551859546056822135e-04
3.045441793264881160e-03,1.709119049880381664e-04,1.337134450846015708e-03
2.609724434003248602e-03,6.267686722509500973e-04,9.053960733960884043e-04
2.947751487528845176e-03,1.774910017751989643e-04,1.215308505099504770e-03
2.562746353132719541e-03,1.433957142001217777e-04,1.268713665779733733e-03
2.249753755581328143e-03,2.837995935377338251e-04,1.502278881559190133e-03
2.772157895470777310e-03,1.742554437723661896e-04,1.220765020750904642e-03
3.993739643478933822e-03,5.006768824490713098e-04,1.744493073211543120e-03
3.846325947176338928e-03,6.297976477537360401e-04,2.104761886746882651e-03
3.792846259269327686e-03,1.285101891802784262e-03,2.082693824010927678e-03
4.297585862569819858e-03,9.067769036525151006e-04,1.588319837747566993e-03
3.965284044877901218e-03,2.530555598074594710e-04,1.354740799739566999e-03
3.671156643525345931e-03,8.874284068502954256e-04,1.379497160478572633e-03
3.725822669379238398e-03,9.677013514202794427e-04,1.572317048925724959e-03
3.636224518132597991e-03,1.631239099932887526e-03,1.990006190635938785e-03
3.738278305547666422e-03,2.760110600293615244e-03,2.206466602712915410e-03
5.034454226755333099e-03,1.926319050472800540e-03,2.732274971484599177e-03
4.576230562856102579e-03,2.649761407107399051e-03,2.937915144640982929e-03
4.399834213608946540e-03,3.262780193246313330e-03,2.549359400691451980e-03
4.330021295810343972e-03,3.262195876748111463e-03,2.676455678037552213e-03
3.769791776247523492e-03,3.813896541015226755e-03,2.996310481841954216e-03
4.473611955721494733e-03,3.441852118029363646e-03,3.074623458264820041e-03
3.948814988864420179e-03,2.842413270762970436e-03,3.623433103356537427e-03
4.049476774111347710e-03,2.772470300735306852e-03,3.451537825772333940e-03
4.521347549037264650e-03,2.123605382511896053e-03,4.070830136792778602e-03
3.701536123058820141e-03,2.142325977242513953e-03,4.091047153546254270e-03
3.690559993975087074e-03,2.424420086345549247e-03,4.373173384606996589e-03
4.028613705825214580e-03,1.734657314666620577e-03,4.210518581322639231e-03
3.851876796062745408e-03,1.827320092527848997e-03,4.131258186448899354e-03
4.055191384118261161e-03,1.637037127696264844e-03,4.131505809998290389e-03
4.211869409497412571e-03,1.863643496368548157e-03,3.861138723170874382e-03
4.645659187881736978e-03,1.925986230710099653e-03,3.557307871830130228e-03
4.737756565495572329e-03,1.698065854438639321e-03,3.844677257557183817e-03
4.192009517920357656e-03,2.001548089883225558e-03,3.321593097689515620e-03
3.647637076020115564e-03,1.004638286443104234e-03,3.603065343600278785e-03
3.867614269886502157e-03,1.221592444939775639e-03,4.340857126149478933e-03
4.081461976677275283e-03,5.824015620789481330e-04,4.196594747550249672e-03
4.548032226722439897e-03,7.217703194278582380e-04,4.032812208472675956e-03
4.323020843417958205e-03,7.953242666048558444e-04,4.057698066150406541e-03
3.696096389633224833e-03,2.355847792355393209e-04,3.421194713424936980e-03
3.756653180730607985e-03,8.022624882961832023e-04,2.769392243798901067e-03
4.803215934500240647e-03,9.210501663051989677e-04,2.685441535776899626e-03
4.959978779140673290e-03,7.429764409798574575e-04,2.712346661018175554e-03
4.551088507877281038e-03,-1.356545103679553078e-04,2.447561903801259101e-03
4.747605493388392869e-03,-4.313542048708734707e-04,2.021478446210808050e-03
4.755927068713392686e-03,-1.134813293378930882e-03,9.154783193602338475e-04
4.716526985316055708e-03,-1.139065695713883074e-03,1.369049439642321467e-03
5.306998068051917671e-03,-9.930456397209061481e-04,1.373980763169418192e-03
5.483513291890406566e-03,-4.960886431952715638e-04,1.663704032093580622e-03
5.198357559787862570e-03,-6.017309584205543732e-04,1.228102327591145196e-03
4.969443637726115442e-03,-3.164725059541467311e-04,7.555249444892904193e-04
5.148901403489817945e-03,-4.670247349495153829e-04,1.000096251673632036e-03
5.720688877774009543e-03,-8.937613025192940629e-05,7.633856877764982939e-04
5.835011936297432138e-03,-1.919197098795440398e-04,1.673223243203853265e-03
5.085429423173324325e-03,1.698848031919379556e-04,1.436679659479224869e-03
5.071956024211993382e-03,-1.521578280429005910e-04,1.847900789156191976e-03
4.543715970619512101e-03,-8.442692496375455834e-04,2.008867228625180103e-03
3.980646420952168967e-03,-1.089674380427976342e-03,2.014586740131286621e-03
4.329640172099719075e-03,-1.021774502464385453e-03,1.665222796146053653e-03
4.956349401043663207e-03,-8.198565962684213485e-04,1.448000662939802081e-03
4.914193573942516637e-03,-1.179031720326575170e-03,5.517437589661057214e-04
5.710766263424264105e-03,-5.097326147164513979e-04,1.052392288485208029e-03
5.738056710415534618e-03,-9.852719561691176443e-04,1.375083903082617619e-03
5.713943853078620738e-03,-1.490925181111710631e-03,1.391253878789423457e-03
5.532089259970185587e-03,-1.031294630665690118e-03,1.344509651133996356e-03
5.588372774515678459e-03,-1.129220378326209343e-03,3.059602797910970610e-04
5.687882548047775572e-03,-1.194740250416561093e-03,9.001699809550890025e-04
5.519934945359238586e-03,-1.330651528956402303e-03,8.265880432663397920e-04
6.241507258164800606e-03,-1.248532937953076216e-03,1.071770100491202483e-03
6.341433335986797898e-03,-1.768625531303600305e-03,1.267141684631868616e-03
6.282848953455516527e-03,-1.787280930669062247e-03,1.025614313256509704e-03
6.665503101253118443e-03,-5.814346609898357046e-04,1.062423387503176088e-03
6.550577240504974579e-03,-1.158372382959985299e-03,1.374654445191231646e-03
5.647743544320932285e-03,-7.677394316696362639e-04,1.644315618596347683e-03
5.402680780459677770e-03,-7.829187149565200541e-04,1.483399479623977732e-03
5.521897242329748719e-03,-1.796251414240461171e-03,1.725426139951704478e-03
5.908365014184871651e-03,-1.765874376666638594e-03,1.715332932474585795e-03
5.639472744513769620e-03,-1.730517111376294465e-03,1.890891278075908233e-03
6.041709237825410549e-03,-2.142683866422733299e-03,2.190158846461019541e-03
6.376712819658182131e-03,-2.317738549245706818e-03,2.560645894881312997e-03
6.482111756891667867e-03,-2.695606299283319612e-03,2.726614734599767768e-03
6.524148242480703498e-03,-2.992710071462320858e-03,3.642470993325388606e-03
7.571304295594336389e-03,-2.828940130888991759e-03,3.014450447423260883e-03
7.762612821027493719e-03,-1.831750002055044764e-03,2.699806865951439368e-03
8.145653871785441674e-03,-2.077576292657099324e-03,2.806954300704826016e-03
8.105588812921471834e-03,-2.212521509889929603e-03,2.565232226362279370e-03
8.180724242040785313e-03,-2.521172152189061176e-03,2.597565471055775579e-03
8.540360106462438136e-03,-2.460584450159037685e-03,2.777914681583435776e-03
8.532187669086376686e-03,-2.446222967002570532e-03,2.285584334649429488e-03
9.122731893897759875e-03,-2.085765964649483831e-03,3.207694803860980468e-03
9.307243279002471933e-03,-2.232116778590076660e-03,2.656528439981768481e-03
9.395250675865282966e-03,-1.696342785973030572e-03,2.764215150849642661e-03
9.657588836282957750e-03,-1.676985037233732134e-03,2.524083827436372773e-03
9.944094346996728770e-03,-2.316205403714667599e-03,2.538698278162073059e-03
1.006878730448375510e-02,-1.589007623616141718e-03,2.329336889621558705e-03
9.573455459942724344e-03,-1.430146158796528422e-03,2.242836717407101395e-03
9.936548366536263055e-03,-1.726218921634480388e-03,2.335832678427301676e-03
9.489652711363561269e-03,-1.843749042832259002e-03,2.206937707970216701e-03
9.077306642801196215e-03,-1.430672187306097952e-03,1.905108496046513953e-03
9.387153065497245291e-03,-1.583346949288294472e-03,1.043283998581764254e-03
9.451633473486700451e-03,-1.051942165872625035e-03,7.694287819862328810e-04
9.681059253469773487e-03,-1.181978990565019962e-03,1.067529423077313421e-03
9.657266787685876014e-03,-1.167821930743199186e-03,1.230177306115476333e-03
9.908400452044047527e-03,-7.002212688836703235e-04,1.453456153165077081e-03
9.342276580213314946e-03,-6.974378779909929217e-04,1.322210006353009360e-03
8.846800796085815474e-03,-7.942953804089786067e-04,1.727597742372862172e-03
8.730263656878843245e-03,-1.643182438908160877e-03,1.065603563546467557e-03
9.080551006141350523e-03,-2.364415033200363385e-03,7.111779672946597465e-04
9.622870026764998586e-03,-2.653142840925910330e-03,8.407506420555452579e-04
9.677203346818343682e-03,-2.788816957493594345e-03,1.089315145746646727e-03
1.042557350533390714e-02,-2.942205112804347281e-03,1.375584954171791066e-03
1.056788194583978442e-02,-3.322440118279902654e-03,9.246130014305439619e-04
1.108139136599771597e-02,-2.673041249791050390e-03,9.899593551217179474e-04
1.143320835814352898e-02,-2.425900240186742388e-03,1.179775264307587413e-03
1.167513907086162837e-02,-2.608395466952980087e-03,1.522874032730751935e-03
1.137471538553626836e-02,-2.508223302715862756e-03,1.233269200619546962e-03
1.110377964534581610e-02,-2.902978876080624781e-03,1.967783820787677267e-03
1.062835987997955665e-02,-3.234732998271325558e-03,2.111413598949434239e-03
1.046965525843165067e-02,-3.542601446366905067e-03,2.141945834088174964e-03
1.012569365445647671e-02,-3.777789783484721692e-03,2.447780838300919661e-03
1.010483473170945175e-02,-3.876203194945305932e-03,2.661672577917410451e-03
1.039607128927187013e-02,-3.620656349101863177e-03,2.229266302857759851e-03
9.882270864856516554e-03,-3.897254269288524808e-03,2.710681557484784406e-03
1.099294222162472932e-02,-4.154780206223760569e-03,2.566245019515292578e-03
1.144596887802480471e-02,-4.440109865417463629e-03,2.058693496233740192e-03
1.120796416166984326e-02,-4.240990124621419992e-03,2.401087421685751087e-03
1.222420762914883281e-02,-4.189695845535652136e-03,2.219361869198350438e-03
1.229734116058538163e-02,-4.704177664834057089e-03,2.001207480071692975e-03
1.231653350025215844e-02,-4.655972094179158804e-03,2.376732797682129007e-03
1.220700489318884453e-02,-4.645463937126897633e-03,1.945607247347811960e-03
1.270256956241513392e-02,-4.625841730953430056e-03,1.748979861510998723e-03
1.237212320489854828e-02,-4.903111218842589811e-03,1.769653835063546678e-03
1.232530125819573073e-02,-4.730555768848731212e-03,1.984627167320615355e-03
1.264406743950348931e-02,-4.785187486055774396e-03,1.911815202692081954e-03
1.295265715012622852e-02,-4.909031730944916905e-03,1.777789304708233794e-03
1.286847521392114717e-02,-4.629336029578854511e-03,2.426187040130054016e-03
1.323509098072112380e-02,-4.590112354882948907e-03,2.607371265985670376e-03
1.317056768651571341e-02,-5.169773684803855018e-03,2.935368085033772390e-03
1.308393311384284038e-02,-5.147502289661091100e-03,2.853584618125780750e-03
1.285881641661685768e-02,-5.296619512453868209e-03,2.939191537545382191e-03
