vel_x (m/s),vel_y (m/s),vel_z (m/s)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.284569118291025894e-05,-2.701986357896399811e-05,4.179796805490695356e-05
4.103311080005834913e-05,2.456195186753422669e-05,1.931104926275718438e-06
9.559729243221631357e-05,1.233717674078752512e-04,-4.835408851462118826e-05
8.590475952262728284e-05,1.927423050670907623e-04,-8.491882813927616462e-05
8.728221988173537338e-05,1.958208511602115725e-04,1.225009254547524932e-07
8.147821781768051306e-05,1.095249933458939610e-04,-1.946507049580371103e-05
1.131591766989849441e-04,1.066921116037029919e-04,-1.207852331875584111e-05
1.041065260279931052e-04,1.264172620011999131e-05,-8.812493455145755468e-05
3.670039598697880058e-05,3.680210827750396495e-05,-8.182077395254773358e-05
9.647938367320408356e-06,-7.155592253609141182e-05,-1.204500464706163908e-04
-9.753315679109483333e-06,-6.104866329403166431e-06,-2.582031989410558839e-04
1.084092019483155345e-05,7.562022329623052977e-05,-2.452928303660079773e-04
2.218636413674778039e-05,6.558772350620376739e-05,-2.073254566851199620e-04
-1.117006970486331737e-04,-2.334379100156027913e-05,-2.343209947729698553e-04
-9.441415932466646417e-05,-1.348091647175998432e-05,-1.327696943757805095e-04
-1.543337099326038211e-04,-8.244399015152714498e-05,-3.279841880056712754e-04
-1.647342337806651132e-04,-1.125254113467603759e-04,-2.964000881811317705e-04
-1.844208185244093569e-04,-1.569357855316077523e-04,-2.520839949050981445e-04
-1.944026776235693572e-04,-1.234473594782918863e-04,-2.381071497205912739e-04
-1.483561685359815715e-04,-5.172702291659379478e-05,-2.801020760025915452e-04
-1.259412467226258018e-04,-1.818995221723996200e-05,-2.968120261529440447e-04
-7.227624210687977520e-05,1.985863113612317319e-05,-3.882176457531766800e-04
-1.305381810183189623e-04,-5.746530475451628296e-06,-5.058853297563416706e-04
-1.713375630311299953e-04,-2.583886176067719378e-05,-5.878405695072790732e-04
-2.219239425519075183e-04,-2.561977100505078521e-05,-6.427425099950001899e-04
-1.655333962195368238e-04,-8.484804074077140451e-05,-6.511853275990631996e-04
-2.186661921753833100e-04,-1.477751005025044855e-04,-5.863167297626738217e-04
-1.671615607317644410e-04,-2.752961356174845426e-04,-7.170021897765635000e-04
-1.337271175818888485e-04,-2.941894150158575480e-04,-6.390053824767589217e-04
-2.817360674637153740e-04,-3.767068896132392836e-04,-6.298612502418533951e-04
-3.281527169127994282e-04,-4.167089453317919675e-04,-7.613670858452085358e-04
-3.398353918113852855e-04,-3.371954156251377537e-04,-6.138081771384913503e-04
-2.925113747469142915e-04,-3.234869369750207908e-04,-7.992168141881378623e-04
-2.039207018304846374e-04,-4.023866215028334839e-04,-7.489691593507639663e-04
-2.490685634930865232e-04,-4.224662176446706543e-04,-7.209213263832563775e-04
