pos_x (m),pos_y (m),pos_z (m)
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109755294397e+06,4.688711955664245412e+06,3.360431434122744016e+06
-2.707029109754884150e+06,4.688711955664491281e+06,3.360431434122763108e+06
-2.707029109753928147e+06,4.688711955665725283e+06,3.360431434122279752e+06
-2.707029109753069002e+06,4.688711955667653121e+06,3.360431434121430386e+06
-2.707029109752196353e+06,4.688711955669611692e+06,3.360431434121431783e+06
-2.707029109751381446e+06,4.688711955670706928e+06,3.360431434121237136e+06
-2.707029109750249889e+06,4.688711955671774223e+06,3.360431434121116530e+06
-2.707029109749208670e+06,4.688711955671900883e+06,3.360431434120235499e+06
-2.707029109748841729e+06,4.688711955672268756e+06,3.360431434119417332e+06
-2.707029109748745337e+06,4.688711955671553500e+06,3.360431434118212666e+06
-2.707029109748842660e+06,4.688711955671492033e+06,3.360431434115630575e+06
-2.707029109748734161e+06,4.688711955672248267e+06,3.360431434113177471e+06
-2.707029109748512506e+06,4.688711955672903918e+06,3.360431434111104347e+06
-2.707029109749629628e+06,4.688711955672670156e+06,3.360431434108761139e+06
-2.707029109750573989e+06,4.688711955672535114e+06,3.360431434107433539e+06
-2.707029109752117191e+06,4.688711955671710894e+06,3.360431434104153886e+06
-2.707029109753764700e+06,4.688711955670585856e+06,3.360431434101189952e+06
-2.707029109755608719e+06,4.688711955669016577e+06,3.360431434098669328e+06
-2.707029109757552855e+06,4.688711955667781644e+06,3.360431434096288402e+06
-2.707029109759036452e+06,4.688711955667264760e+06,3.360431434093487449e+06
-2.707029109760296065e+06,4.688711955667083152e+06,3.360431434090519324e+06
-2.707029109761018772e+06,4.688711955667281523e+06,3.360431434086637106e+06
-2.707029109762324020e+06,4.688711955667223781e+06,3.360431434081578162e+06
-2.707029109764037188e+06,4.688711955666965805e+06,3.360431434075699653e+06
-2.707029109766256530e+06,4.688711955666709691e+06,3.360431434069272131e+06
-2.707029109767911956e+06,4.688711955665861256e+06,3.360431434062760323e+06
-2.707029109770098701e+06,4.688711955664383247e+06,3.360431434056897182e+06
-2.707029109771770425e+06,4.688711955661630258e+06,3.360431434049726930e+06
-2.707029109773107804e+06,4.688711955658688210e+06,3.360431434043336660e+06
-2.707029109775925055e+06,4.688711955654921010e+06,3.360431434037038125e+06
-2.707029109779206570e+06,4.688711955650754273e+06,3.360431434029424563e+06
-2.707029109782604966e+06,4.688711955647381954e+06,3.360431434023286682e+06
-2.707029109785530251e+06,4.688711955644147471e+06,3.360431434015294537e+06
-2.707029109787569381e+06,4.688711955640123226e+06,3.360431434007804841e+06
-2.707029109790060204e+06,4.688711955635898747e+06,3.360431434000595473e+06
-2.707029109792661387e+06,4.688711955632052384e+06,3.360431433992623352e+06
-2.707029109795802273e+06,4.688711955627853051e+06,3.360431433984262869e+06
-2.707029109798230696e+06,4.688711955623121001e+06,3.360431433974799234e+06
-2.707029109800417442e+06,4.688711955618733540e+06,3.360431433965669014e+06
-2.707029109803286381e+06,4.688711955614032224e+06,3.360431433957282454e+06
-2.707029109806332272e+06,4.688711955608792603e+06,3.360431433948227670e+06
-2.707029109809416346e+06,4.688711955603406765e+06,3.360431433939559385e+06
-2.707029109812756535e+06,4.688711955597469583e+06,3.360431433930252679e+06
-2.707029109816572163e+06,4.688711955590941012e+06,3.360431433921504300e+06
-2.707029109819748905e+06,4.688711955585103482e+06,3.360431433914350811e+06
-2.707029109823058825e+06,4.688711955579395406e+06,3.360431433906474151e+06
-2.707029109826053493e+06,4.688711955573127605e+06,3.360431433899300639e+06
-2.707029109828397166e+06,4.688711955566691235e+06,3.360431433894336689e+06
-2.707029109830132686e+06,4.688711955560558476e+06,3.360431433889064938e+06
-2.707029109831743874e+06,4.688711955554355867e+06,3.360431433883110993e+06
-2.707029109833660070e+06,4.688711955548341386e+06,3.360431433876583818e+06
-2.707029109835912008e+06,4.688711955541947857e+06,3.360431433870285749e+06
-2.707029109838065226e+06,4.688711955535724759e+06,3.360431433863272890e+06
-2.707029109840312507e+06,4.688711955529527739e+06,3.360431433857204393e+06
-2.707029109842522535e+06,4.688711955523946323e+06,3.360431433852018323e+06
-2.707029109843960498e+06,4.688711955518689938e+06,3.360431433846782893e+06
-2.707029109844843857e+06,4.688711955513591878e+06,3.360431433841591701e+06
-2.707029109845848288e+06,4.688711955508953892e+06,3.360431433836496901e+06
-2.707029109847103711e+06,4.688711955504432321e+06,3.360431433831528760e+06
-2.707029109848487657e+06,4.688711955498510972e+06,3.360431433826615103e+06
-2.707029109849589411e+06,4.688711955492872745e+06,3.360431433821894694e+06
-2.707029109849981032e+06,4.688711955487510189e+06,3.360431433817816433e+06
-2.707029109850693028e+06,4.688711955481099896e+06,3.360431433813317679e+06
-2.707029109850642271e+06,4.688711955475592054e+06,3.360431433808228467e+06
-2.707029109850113280e+06,4.688711955469301902e+06,3.360431433803241700e+06
-2.707029109849592671e+06,4.688711955462708138e+06,3.360431433798566926e+06
-2.707029109848945867e+06,4.688711955455294810e+06,3.360431433794665150e+06
