gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707024447678995319e+06,4.688711767917960882e+06,3.360434991745428182e+06,-3.496751710259399237e-02,5.611987438980636095e-02,-1.466917955666982402e-02
-2.707025304083270952e+06,4.688712417281692848e+06,3.360429900325071998e+06,-1.101686341308961807e-02,-1.146408332179731093e-02,2.015663024340356990e-02
-2.707028136396825314e+06,4.688712049147570506e+06,3.360429695771666244e+06,6.614503371030233669e-02,-2.465339936784177385e-02,6.709153679508403356e-02
-2.707029362136192620e+06,4.688711808471793309e+06,3.360418859915668610e+06,5.630690519213533973e-02,5.451198192684537924e-02,-4.413073048595743397e-02
-2.707034231155497022e+06,4.688719483016435988e+06,3.360428490553106181e+06,1.004564554145604832e-01,-3.352030070297969903e-03,5.116118623537710408e-02
-2.707030235404518899e+06,4.688714279078103602e+06,3.360423770221121609e+06,-8.364960637451099995e-03,-2.251394910522599296e-02,-3.134288320111087989e-02
-2.707023386529637966e+06,4.688714059077778831e+06,3.360434790903904010e+06,4.146966115021120253e-02,8.889380255469914172e-02,1.141288855955535503e-01
-2.707029453785391524e+06,4.688719517914038152e+06,3.360424568371188827e+06,-6.891490906048063081e-03,5.670909208241857805e-03,1.833635579744538960e-03
-2.707033566909434740e+06,4.688709646043692715e+06,3.360435755241045263e+06,5.991627886292519301e-02,-1.613200169003980305e-02,-4.310315415734446154e-02
-2.707019081248236354e+06,4.688715898236004636e+06,3.360427977976813912e+06,4.869520708902322359e-02,-4.828603178962313780e-02,-2.713020205824373185e-02
-2.707034248519544490e+06,4.688711572376530617e+06,3.360423150579520501e+06,-2.250700406489690442e-02,7.153708161671927523e-02,-3.419934508831794229e-02
-2.707031061475289054e+06,4.688719225625549443e+06,3.360420355407404713e+06,-4.382354624160703094e-02,2.915574551262101882e-02,-4.282959573400532682e-02
-2.707032750790892635e+06,4.688706562523119152e+06,3.360424671477816068e+06,-5.505677133457832773e-02,-1.735384962066422940e-02,-7.225728678576300024e-03
-2.707035995617118664e+06,4.688713197855564766e+06,3.360444371594371274e+06,2.967215731573305017e-03,4.776652559766672579e-02,6.497270743527518155e-02
-2.707033280130756088e+06,4.688702531078076921e+06,3.360433675036093686e+06,-3.575912845758487391e-02,-3.315579744786842364e-02,4.601145993385402644e-02
-2.707034952880789991e+06,4.688710424455686472e+06,3.360419946830266155e+06,2.546926545448856619e-02,-4.303789318175459122e-02,-2.834210423782830210e-03
-2.707025411849084776e+06,4.688720426312565804e+06,3.360435218731779605e+06,-4.725939698291727054e-02,3.533545288630087627e-02,3.290369369024399859e-02
-2.707037278724290896e+06,4.688707007460282184e+06,3.360425458700801712e+06,4.585780620124185747e-02,1.651943310951147978e-03,6.535720254299801080e-02
-2.707028356053117663e+06,4.688712007090386935e+06,3.360430635169539135e+06,-6.679670881496198309e-02,-6.528588902853203757e-02,-6.600412306816151597e-02
-2.707030328535734210e+06,4.688710291035757400e+06,3.360425655105142854e+06,-5.119881192447538892e-02,-3.012726400015824924e-02,-4.372453099041698904e-02
-2.707022414108109660e+06,4.688707733651548624e+06,3.360446444552740082e+06,8.037428456197961979e-02,2.567277342718764233e-02,1.189480676299734148e-02
-2.707022631165697239e+06,4.688707874211072922e+06,3.360422993931537960e+06,3.655056249427019593e-02,-4.429825671089569761e-02,-4.515892501214646693e-02
-2.707032962944910862e+06,4.688712285586279817e+06,3.360427238742982503e+06,1.117385352224468676e-04,2.080358426872390420e-02,-7.992632325306362959e-03
-2.707027198856943287e+06,4.688715247248156928e+06,3.360439484617128503e+06,-4.634525818399712165e-04,-5.314805096929045569e-02,4.159484419290065960e-02
-2.707024480723472778e+06,4.688713193993445486e+06,3.360439514796157368e+06,-8.931205879445090756e-02,-5.515496956813686208e-02,-1.601223269444549194e-02
-2.707025445190135855e+06,4.688720076562348753e+06,3.360427868082574569e+06,2.994061195624824964e-02,1.128522733289811647e-01,-3.916938246632069298e-02
-2.707024292284841649e+06,4.688704886191595346e+06,3.360429383457748219e+06,-7.429067990082156153e-03,3.007745197216495081e-02,3.656567669661584669e-02
-2.707032528764930088e+06,4.688712615742911585e+06,3.360441636270062998e+06,-8.552900827745768542e-02,2.647522896117554189e-02,-1.202668630744882852e-02
-2.707025096434385981e+06,4.688717484113855287e+06,3.360424759875244461e+06,2.489249865193591746e-02,-2.680263595166113011e-02,-4.381870102282552776e-02
-2.707032635150463320e+06,4.688706425423370674e+06,3.360439845324934460e+06,8.584155324045289470e-02,-1.120761703801870755e-02,3.236416648373779958e-02
-2.707028298302826937e+06,4.688716962242844515e+06,3.360428093250944279e+06,-1.367919220616851950e-02,5.975547294765333473e-02,2.579700593222977734e-02
-2.707044598431936000e+06,4.688706999758595601e+06,3.360425467905218247e+06,4.252861007238421809e-02,-6.152968092413799855e-02,1.172571287078894887e-02
-2.707027355951000936e+06,4.688704892765549943e+06,3.360440885985842906e+06,-2.483047417626081318e-02,7.946957693345402252e-02,3.157605383849327457e-02
-2.707038189036410768e+06,4.688694452664106153e+06,3.360427989239578601e+06,4.582012819920764312e-04,-5.405726342826840114e-02,-5.124399379364418666e-02
-2.707028102867837530e+06,4.688707337878634222e+06,3.360436498450683430e+06,1.006394748873842282e-01,-8.508682485936389095e-02,-1.740334283306296803e-02
-2.707030159387155902e+06,4.688709144059642218e+06,3.360418937011995353e+06,5.244668078746033552e-02,-1.655061553804873173e-02,-4.205675038056624904e-02
-2.707023111744656228e+06,4.688717127585762180e+06,3.360435445929728914e+06,-2.421351241213354211e-02,2.344057071144042131e-03,6.329660635530851009e-02
-2.707032245960788801e+06,4.688719315352891572e+06,3.360437221704342868e+06,-2.463479431263176228e-02,-2.251010331216820107e-02,-4.109664963512685287e-02
-2.707028427220415790e+06,4.688715085042689927e+06,3.360440203024519607e+06,3.072939067024805637e-03,5.028774498661651299e-02,5.961228705488961360e-04
-2.707026371687103529e+06,4.688713620595711283e+06,3.360437472379712388e+06,2.637357090361688514e-02,2.310704105113154869e-02,1.189759970549142051e-02
-2.707023430219166912e+06,4.688707531685952097e+06,3.360421765209359117e+06,-1.701306086327348133e-03,-2.027549539384434010e-02,2.939487500138798434e-02
-2.707032131701498758e+06,4.688706861357185058e+06,3.360443212687785737e+06,-5.654812962385671882e-02,4.559570663133714376e-03,-1.465775688249225384e-02
-2.707036266447809059e+06,4.688717409635353833e+06,3.360428553621757310e+06,-1.561071183703007514e-01,-4.069091288712368276e-02,-3.610678202055815633e-02
-2.707032795696991030e+06,4.688712299532469362e+06,3.360432190979504492e+06,-5.860919712165324480e-02,4.304680989779628014e-02,-3.015182859057399453e-02
-2.707033954172178637e+06,4.688703415332503617e+06,3.360425706763213035e+06,5.833785651474920897e-02,-8.356970790601242483e-03,1.289006584512333159e-03
-2.707028430854799692e+06,4.688709103577526286e+06,3.360431086306407582e+06,1.896262279947795795e-02,-1.124247124993744268e-01,-3.046323373301751056e-02
-2.707027603755451273e+06,4.688714430639850907e+06,3.360449117304932792e+06,7.598876577230567753e-02,-9.625362419898189290e-03,-1.160570336853208873e-01
-2.707028255611442961e+06,4.688714124104895629e+06,3.360423655926067382e+06,-3.366030469216144821e-02,3.939566229098754452e-02,1.575723728441867297e-02
-2.707039910151913762e+06,4.688715300632761791e+06,3.360433768099443987e+06,-3.215188080536416498e-02,-3.407528243430779646e-02,6.086194308874496445e-02
-2.707028688925915398e+06,4.688702270316699520e+06,3.360445715030700434e+06,-3.431218066547659512e-02,-4.471360852407480629e-02,6.785868302780868888e-02
-2.707024213578709867e+06,4.688708839210381731e+06,3.360434976852697786e+06,-6.359427681843567159e-02,-3.041222807776568227e-02,-6.071147482688210584e-02
-2.707030522942396346e+06,4.688711331797149032e+06,3.360418395982699469e+06,-3.628888417919462483e-02,3.116611583138248487e-02,-1.552047708714288619e-03
-2.707036597773488145e+06,4.688710093946331181e+06,3.360443384249155875e+06,-8.586105550308517631e-02,-2.804995099240767398e-02,-1.833784463902743758e-02
-2.707019757556017954e+06,4.688714583807550371e+06,3.360436452897114214e+06,3.818369416771497365e-03,-1.102059820683915919e-01,-3.894766697436505276e-02
