ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.187266985097825511e+01,0.000000000000000000e+00,3.822398638740497034e+01
3.181147070184394110e+01,0.000000000000000000e+00,3.827493371071599171e+01
3.174827378652255305e+01,0.000000000000000000e+00,3.832737051181549504e+01
3.168307141179161590e+01,0.000000000000000000e+00,3.838128716821899644e+01
3.161585567883979664e+01,0.000000000000000000e+00,3.843667374355840849e+01
3.154661848578946248e+01,0.000000000000000000e+00,3.849351998565506250e+01
3.147535153030159449e+01,0.000000000000000000e+00,3.855181532454626137e+01
3.140204631226367837e+01,0.000000000000000000e+00,3.861154887046654949e+01
3.132669413656126167e+01,0.000000000000000000e+00,3.867270941178439614e+01
3.124928611593390215e+01,0.000000000000000000e+00,3.873528541289555704e+01
3.116981317391621786e+01,0.000000000000000000e+00,3.879926501207384604e+01
3.108826604786472814e+01,0.000000000000000000e+00,3.886463601928056022e+01
3.100463529207125291e+01,0.000000000000000000e+00,3.893138591393361025e+01
3.091891128096367680e+01,0.000000000000000000e+00,3.899950184263737896e+01
3.083108421239467134e+01,0.000000000000000000e+00,3.906897061687454453e+01
3.074114411101940902e+01,0.000000000000000000e+00,3.913977871066104086e+01
3.064908083176274900e+01,0.000000000000000000e+00,3.921191225816527748e+01
3.055488406337694585e+01,0.000000000000000000e+00,3.928535705129294797e+01
3.045854333209055298e+01,0.000000000000000000e+00,3.936009853723871288e+01
3.036004800534934134e+01,0.000000000000000000e+00,3.943612181600597921e+01
3.025938729565008600e+01,0.000000000000000000e+00,3.951341163789616928e+01
3.015655026446803078e+01,0.000000000000000000e+00,3.959195240096896384e+01
3.005152582627883007e+01,0.000000000000000000e+00,3.967172814847464224e+01
2.994430275267591313e+01,0.000000000000000000e+00,3.975272256626034562e+01
2.983486967658394917e+01,0.000000000000000000e+00,3.983491898015144272e+01
2.972321509656943661e+01,0.000000000000000000e+00,3.991830035330969650e+01
2.960932738124913044e+01,0.000000000000000000e+00,4.000284928356965253e+01
2.949319477379724574e+01,0.000000000000000000e+00,4.008854800075499725e+01
2.937480539655228995e+01,0.000000000000000000e+00,4.017537836397637818e+01
2.925414725572433738e+01,0.000000000000000000e+00,4.026332185891242688e+01
2.913120824620364502e+01,0.000000000000000000e+00,4.035235959507566861e+01
2.900597615647147975e+01,0.000000000000000000e+00,4.044247230306508811e+01
2.887843867361398154e+01,0.000000000000000000e+00,4.053364033180704951e+01
2.874858338843996819e+01,0.000000000000000000e+00,4.062584364578651019e+01
2.861639780070350270e+01,0.000000000000000000e+00,4.071906182227029802e+01
2.848186932443207553e+01,0.000000000000000000e+00,4.081327404852438434e+01
2.834498529336131512e+01,0.000000000000000000e+00,4.090845911902707854e+01
2.820573296647697958e+01,0.000000000000000000e+00,4.100459543268013363e+01
2.806409953366513221e+01,0.000000000000000000e+00,4.110166099001979489e+01
2.792007212147132833e+01,0.000000000000000000e+00,4.119963339042979555e+01
2.777363779896963081e+01,0.000000000000000000e+00,4.129848982935845925e+01
2.762478358374222509e+01,0.000000000000000000e+00,4.139820709554201272e+01
2.747349644797055035e+01,0.000000000000000000e+00,4.149876156823632556e+01
2.731976332463865020e+01,0.000000000000000000e+00,4.160012921445927248e+01
2.716357111384953527e+01,0.000000000000000000e+00,4.170228558624596360e+01
2.700490668925538529e+01,0.000000000000000000e+00,4.180520581791923718e+01
2.684375690460229080e+01,0.000000000000000000e+00,4.190886462337766005e+01
2.668010860039028742e+01,0.000000000000000000e+00,4.201323629340352284e+01
2.651394861064949282e+01,0.000000000000000000e+00,4.211829469299316742e+01
2.634526376983290064e+01,0.000000000000000000e+00,4.222401325871225453e+01
2.617404091982665193e+01,0.000000000000000000e+00,4.233036499607839431e+01
2.600026691707840953e+01,0.000000000000000000e+00,4.243732247697369786e+01
2.582392863984449605e+01,0.000000000000000000e+00,4.254485783708999946e+01
2.564501299555636749e+01,0.000000000000000000e+00,4.265294277340925078e+01
2.546350692830718998e+01,0.000000000000000000e+00,4.276154854172180819e+01
2.527939742645883925e+01,0.000000000000000000e+00,4.287064595418554092e+01
2.509267153037017550e+01,0.000000000000000000e+00,4.298020537692821108e+01
2.490331634024686736e+01,0.000000000000000000e+00,4.309019672769634468e+01
2.471131902411340775e+01,0.000000000000000000e+00,4.320058947355312995e+01
2.451666682590780511e+01,0.000000000000000000e+00,4.331135262862856194e+01
2.431934707369924453e+01,0.000000000000000000e+00,4.342245475192454762e+01
2.411934718802931954e+01,0.000000000000000000e+00,4.353386394517813329e+01
2.391665469037702607e+01,0.000000000000000000e+00,4.364554785078593824e+01
2.371125721174800560e+01,0.000000000000000000e+00,4.375747364979275034e+01
2.350314250138821492e+01,0.000000000000000000e+00,4.386960805994758061e+01
2.329229843562237789e+01,0.000000000000000000e+00,4.398191733383029600e+01
2.307871302681743231e+01,0.000000000000000000e+00,4.409436725705207749e+01
2.286237443247100387e+01,0.000000000000000000e+00,4.420692314653299348e+01
2.264327096442532650e+01,0.000000000000000000e+00,4.431954984886005633e+01
2.242139109820644194e+01,0.000000000000000000e+00,4.443221173872900209e+01
2.219672348248883864e+01,0.000000000000000000e+00,4.454487271747341026e+01
2.196925694868556178e+01,0.000000000000000000e+00,4.465749621168443895e+01
2.173898052066366660e+01,0.000000000000000000e+00,4.477004517192477095e+01
2.150588342458495816e+01,0.000000000000000000e+00,4.488248207154034475e+01
2.126995509887191815e+01,0.000000000000000000e+00,4.499476890557335906e+01
2.103118520429843841e+01,0.000000000000000000e+00,4.510686718978028154e+01
2.078956363420536491e+01,0.000000000000000000e+00,4.521873795975850641e+01
2.054508052484026948e+01,0.000000000000000000e+00,4.533034177018532063e+01
2.029772626582126804e+01,0.000000000000000000e+00,4.544163869417308632e+01
2.004749151072431346e+01,0.000000000000000000e+00,4.555258832274424208e+01
1.979436718779357562e+01,0.000000000000000000e+00,4.566314976443018026e+01
1.953834451077423040e+01,0.000000000000000000e+00,4.577328164499763119e+01
1.927941498986713498e+01,0.000000000000000000e+00,4.588294210730677491e+01
1.901757044280459752e+01,0.000000000000000000e+00,4.599208881130475390e+01
1.875280300604654826e+01,0.000000000000000000e+00,4.610067893415877904e+01
1.848539865563947515e+01,0.000000000000000000e+00,4.620855175523315950e+01
1.821568857017064502e+01,0.000000000000000000e+00,4.631553636403807417e+01
1.794397447058963735e+01,0.000000000000000000e+00,4.642148208505203399e+01
1.767053132574073970e+01,0.000000000000000000e+00,4.652625647352249416e+01
1.739560980036958782e+01,0.000000000000000000e+00,4.662974349540499475e+01
1.711943847155347243e+01,0.000000000000000000e+00,4.673184187674046086e+01
1.684222583662542405e+01,0.000000000000000000e+00,4.683246360850650092e+01
1.656416213314647479e+01,0.000000000000000000e+00,4.693153259377766062e+01
1.628542098927687576e+01,0.000000000000000000e+00,4.702898342486258088e+01
1.600616092096054999e+01,0.000000000000000000e+00,4.712476027892655850e+01
1.572652669063125330e+01,0.000000000000000000e+00,4.721881592144006135e+01
1.544665054064162035e+01,0.000000000000000000e+00,4.731111080760284437e+01
1.516665331328118782e+01,0.000000000000000000e+00,4.740161227267185495e+01
1.488664546806427147e+01,0.000000000000000000e+00,4.749029380286186353e+01
1.460672800591327025e+01,0.000000000000000000e+00,4.757713437918731358e+01
1.432699330892200251e+01,0.000000000000000000e+00,4.766211788727062526e+01
1.404752590354238251e+01,0.000000000000000000e+00,4.774523258675450421e+01
1.376840315428448491e+01,0.000000000000000000e+00,4.782647063452485270e+01
1.348969589434417315e+01,0.000000000000000000e+00,4.790582765647717167e+01
1.321146899896527671e+01,0.000000000000000000e+00,4.798330236304456520e+01
1.293378190679682049e+01,0.000000000000000000e+00,4.805889620415135965e+01
1.265668909401349040e+01,0.000000000000000000e+00,4.813261305966526038e+01
1.238024050552321853e+01,0.000000000000000000e+00,4.820445896179502654e+01
1.210448194718489745e+01,0.000000000000000000e+00,4.827444184622183343e+01
1.182945544259616710e+01,0.000000000000000000e+00,4.834257132906368781e+01
1.155519955768361129e+01,0.000000000000000000e+00,4.840885850705516447e+01
1.128174969603023925e+01,0.000000000000000000e+00,4.847331577858173546e+01
1.100913836760625131e+01,0.000000000000000000e+00,4.853595668344117797e+01
1.073739543332487401e+01,0.000000000000000000e+00,4.859679575941599694e+01
1.046654832762390797e+01,0.000000000000000000e+00,4.865584841393162208e+01
1.019662226107257297e+01,0.000000000000000000e+00,4.871313080924872452e+01
9.927640404821172382e+00,0.000000000000000000e+00,4.876865975979390555e+01
9.659624058545240644e+00,0.000000000000000000e+00,4.882245264037391053e+01
9.392592803385699796e+00,0.000000000000000000e+00,4.887452730414654667e+01
9.126564641249760967e+00,0.000000000000000000e+00,4.892490200933536926e+01
8.861556121713103806e+00,0.000000000000000000e+00,4.897359535377924544e+01
8.597582457651210319e+00,0.000000000000000000e+00,4.902062621650060947e+01
8.334657630624811020e+00,0.000000000000000000e+00,4.906601370556045083e+01
8.072794486951540449e+00,0.000000000000000000e+00,4.910977711154291114e+01
7.812004825310669531e+00,0.000000000000000000e+00,4.915193586608060627e+01
7.552299476651086252e+00,0.000000000000000000e+00,4.919250950489265506e+01
7.293688377102263587e+00,0.000000000000000000e+00,4.923151763486173138e+01
7.036180634524470179e+00,0.000000000000000000e+00,4.926897990472627953e+01
6.779784589276346196e+00,0.000000000000000000e+00,4.930491597900750378e+01
6.524507869725358233e+00,0.000000000000000000e+00,4.933934551483096698e+01
6.270357442978667706e+00,0.000000000000000000e+00,4.937228814133754895e+01
6.017339661268479745e+00,0.000000000000000000e+00,4.940376344141105847e+01
5.765460304386156309e+00,0.000000000000000000e+00,4.943379093547779490e+01
5.514724618523541011e+00,0.000000000000000000e+00,4.946239006715940434e+01
5.265137351847091196e+00,0.000000000000000000e+00,4.948958019058318314e+01
5.016702787100694394e+00,0.000000000000000000e+00,4.951538055917448844e+01
4.769424771505949678e+00,0.000000000000000000e+00,4.953981031577457372e+01
4.523306744204163010e+00,0.000000000000000000e+00,4.956288848394346758e+01
4.278351761461852476e+00,0.000000000000000000e+00,4.958463396032257720e+01
4.034562519841372819e+00,0.000000000000000000e+00,4.960506550794454483e+01
3.791941377519727041e+00,0.000000000000000000e+00,4.962420175039022752e+01
3.550490373921817877e+00,0.000000000000000000e+00,4.964206116670285240e+01
3.310211247819243141e+00,0.000000000000000000e+00,4.965866208697924833e+01
3.071105454031844317e+00,0.000000000000000000e+00,4.967402268856625369e+01
2.833174178856609160e+00,0.000000000000000000e+00,4.968816099279825949e+01
2.596418354337124867e+00,0.000000000000000000e+00,4.970109486221848272e+01
2.360838671476397366e+00,0.000000000000000000e+00,4.971284199823261929e+01
2.126435592486412673e+00,0.000000000000000000e+00,4.972341993914925240e+01
1.893209362159218756e+00,0.000000000000000000e+00,4.973284605856587604e+01
1.661160018436596886e+00,0.000000000000000000e+00,4.974113756406387665e+01
1.430287402248239914e+00,0.000000000000000000e+00,4.974831149617993731e+01
1.200591166682041688e+00,0.000000000000000000e+00,4.975438472762439801e+01
9.720707855440728906e-01,0.000000000000000000e+00,4.975937396272053093e+01
7.447255613609264913e-01,0.000000000000000000e+00,4.976329573704131803e+01
5.185546328717336451e-01,0.000000000000000000e+00,4.976616641722272050e+01
2.935569820533778795e-01,0.000000000000000000e+00,4.976800220093495142e+01
6.973144071809755928e-02,0.000000000000000000e+00,4.976881911699487659e+01
-1.529233032807937320e-01,0.000000000000000000e+00,4.976863302560451530e+01
-3.744087002026823541e-01,0.000000000000000000e+00,4.976745961870257418e+01
-5.947263329032637103e-01,0.000000000000000000e+00,4.976531442041665798e+01
-8.138779116213790132e-01,0.000000000000000000e+00,4.976221278760575473e+01
-1.031865269044594413e+00,0.000000000000000000e+00,4.975816991048323246e+01
-1.248690355631389082e+00,0.000000000000000000e+00,4.975320081331182109e+01
-1.464355235169858105e+00,0.000000000000000000e+00,4.974732035516294104e+01
-1.678862080554512914e+00,0.000000000000000000e+00,4.974054323073336548e+01
-1.892213169764652037e+00,0.000000000000000000e+00,4.973288397121312698e+01
-2.104410882028965091e+00,0.000000000000000000e+00,4.972435694519917604e+01
-2.315457694162702751e+00,0.000000000000000000e+00,4.971497635964962569e+01
-2.525356177064757901e+00,0.000000000000000000e+00,4.970475626087446841e+01
-2.734108992363303514e+00,0.000000000000000000e+00,4.969371053555829576e+01
-2.941718889199403719e+00,0.000000000000000000e+00,4.968185291181183061e+01
-3.148188701139233103e+00,0.000000000000000000e+00,4.966919696024889674e+01
-3.353521343206164573e+00,0.000000000000000000e+00,4.965575609508569244e+01
-3.557719809024817437e+00,0.000000000000000000e+00,4.964154357526013683e+01
-3.760787168069889219e+00,0.000000000000000000e+00,4.962657250556863175e+01
-3.962726563013070802e+00,0.000000000000000000e+00,4.961085583781809305e+01
-4.163541207162104740e+00,0.000000000000000000e+00,4.959440637199161017e+01
-4.363234381986522692e+00,0.000000000000000000e+00,4.957723675742556679e+01
-4.561809434724843015e+00,0.000000000000000000e+00,4.955935949399703588e+01
-4.759269776068762781e+00,0.000000000000000000e+00,4.954078693331966576e+01
-4.955618877920048959e+00,0.000000000000000000e+00,4.952153127994712634e+01
-5.150860271216252784e+00,0.000000000000000000e+00,4.950160459258249546e+01
-5.344997543821659036e+00,0.000000000000000000e+00,4.948101878529300279e+01
-5.538034338480226637e+00,0.000000000000000000e+00,4.945978562872863904e+01
-5.729974350827479412e+00,0.000000000000000000e+00,4.943791675134418995e+01
-5.920821327458575922e+00,0.000000000000000000e+00,4.941542364062348724e+01
-6.110579064049964870e+00,0.000000000000000000e+00,4.939231764430550697e+01
-6.299251403532313276e+00,0.000000000000000000e+00,4.936860997161126363e+01
-6.486842234312497624e+00,0.000000000000000000e+00,4.934431169447110932e+01
-6.673355488542597413e+00,0.000000000000000000e+00,4.931943374875179131e+01
-6.858795140434057913e+00,0.000000000000000000e+00,4.929398693548267829e+01
-7.043165204615256414e+00,0.000000000000000000e+00,4.926798192208075022e+01
-7.226469734530855504e+00,0.000000000000000000e+00,4.924142924357383322e+01
-7.408712820881433458e+00,0.000000000000000000e+00,4.921433930382166011e+01
-7.589898590101977760e+00,0.000000000000000000e+00,4.918672237673442282e+01
-7.770031202877937915e+00,0.000000000000000000e+00,4.915858860748834047e+01
-7.949114852697579892e+00,0.000000000000000000e+00,4.912994801373803000e+01
-8.127153764439512429e+00,0.000000000000000000e+00,4.910081048682532412e+01
-8.304152192994280313e+00,0.000000000000000000e+00,4.907118579298412442e+01
-8.480114421919040524e+00,0.000000000000000000e+00,4.904108357454124700e+01
-8.655044762124276758e+00,0.000000000000000000e+00,4.901051335111277751e+01
-8.828947550591749405e+00,0.000000000000000000e+00,4.897948452079583603e+01
-9.001827149122728855e+00,0.000000000000000000e+00,4.894800636135546767e+01
-9.173687943115762522e+00,0.000000000000000000e+00,4.891608803140651673e+01
-9.344534340373133574e+00,0.000000000000000000e+00,4.888373857159010072e+01
-9.514370769935368344e+00,0.000000000000000000e+00,4.885096690574484057e+01
-9.683201680942978840e+00,0.000000000000000000e+00,4.881778184207227866e+01
-9.851031541524847057e+00,0.000000000000000000e+00,4.878419207429658400e+01
-1.001786483771264002e+01,0.000000000000000000e+00,4.875020618281833862e+01
-1.018370607238049530e+01,0.000000000000000000e+00,4.871583263586222756e+01
-1.034855976420955770e+01,0.000000000000000000e+00,4.868107979061846891e+01
-1.051243044667671356e+01,0.000000000000000000e+00,4.864595589437793421e+01
-1.067532266706699318e+01,0.000000000000000000e+00,4.861046908566080305e+01
-1.083724098550908721e+01,0.000000000000000000e+00,4.857462739533861651e+01
-1.099818997403356491e+01,0.000000000000000000e+00,4.853843874774966594e+01
