vel_x (m/s),vel_y (m/s),vel_z (m/s)
7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
7.071064187472339668e+00,-7.071021115527097223e+00,-4.190178098779231779e-05
7.071073849603288330e+00,-7.071071831447135025e+00,-1.113701987225961985e-04
7.070937932779945534e+00,-7.071036267630768535e+00,-9.813375002359816385e-05
7.070892344493994841e+00,-7.071057876746511539e+00,-7.437636492792340428e-05
7.070829693705007912e+00,-7.071069359389756670e+00,-6.608369434367943312e-05
7.070809488337518545e+00,-7.071093821255772127e+00,3.125179395332608728e-06
7.070896897690599481e+00,-7.071058974807741038e+00,-3.922926529913023917e-05
7.070893906602852219e+00,-7.071060984400131311e+00,-7.407295975968741959e-06
7.070871929452936300e+00,-7.071037302855712525e+00,-6.902513605588705362e-06
7.070958016584802053e+00,-7.071028837864385963e+00,-1.765650176930824060e-05
7.070988615276120548e+00,-7.071048328443199082e+00,-3.907879192624290603e-05
7.071042087179352897e+00,-7.071006617733039512e+00,-9.126683940523840901e-05
7.071014209659706395e+00,-7.071018300216415753e+00,1.480637542610800076e-05
7.070980699509687994e+00,-7.071018163970449244e+00,-7.128373346349786547e-05
7.070958761398776993e+00,-7.070976771336219713e+00,1.706526372896433985e-05
7.070961435531632588e+00,-7.070921301517760327e+00,1.843594787923181989e-04
7.070939865512960054e+00,-7.070861792921191658e+00,2.232335009523012429e-04
7.070915094524240274e+00,-7.070916068687919775e+00,3.336867398642758323e-04
7.070949480425830380e+00,-7.070999410599763557e+00,4.595902217580167442e-04
7.070873661423304313e+00,-7.070948376984342865e+00,4.227153253619475560e-04
7.070762813400833124e+00,-7.070978939987373479e+00,5.326439181817801353e-04
7.070739577507705320e+00,-7.071052153134241181e+00,5.338373844373578208e-04
7.070811974722871263e+00,-7.071018112877110795e+00,5.360405606987530495e-04
7.070856007666426635e+00,-7.070980743187070594e+00,4.309812062653891945e-04
7.070921681793158164e+00,-7.071006402749179465e+00,4.667067381292684279e-04
7.070942197934974693e+00,-7.071039648648415721e+00,6.122810529203883420e-04
7.070832794937606636e+00,-7.070981870806216207e+00,5.505059200596708812e-04
7.070753269047433065e+00,-7.070887490207689474e+00,5.398505772557598247e-04
7.070695584667004319e+00,-7.070865768873357382e+00,6.536695311651350478e-04
7.070640698493859233e+00,-7.070832646222615203e+00,6.240578302201575060e-04
7.070636702033432641e+00,-7.070802001686766758e+00,5.209589864623443952e-04
7.070691124706807607e+00,-7.070834602649500589e+00,4.718280637381604570e-04
7.070673556281192873e+00,-7.070866692520429098e+00,5.266698071560889372e-04
7.070671391853350585e+00,-7.070844629099155121e+00,5.116408935981341284e-04
7.070798073293253161e+00,-7.070818169323991320e+00,5.680157414546061021e-04
7.070752819088436780e+00,-7.070780032457649078e+00,6.402278298178781975e-04
7.070796951249515239e+00,-7.070762079584123505e+00,6.926927324179250976e-04
7.070731226002637371e+00,-7.070724568478824246e+00,7.824539763809412784e-04
7.070720828799765378e+00,-7.070717596188344167e+00,7.233378985900421141e-04
7.070707785287964064e+00,-7.070687692173951433e+00,7.395092655241838680e-04
7.070626838317193297e+00,-7.070669364488221476e+00,8.651188249767788460e-04
7.070647637790724360e+00,-7.070700201279800368e+00,7.780022645772350894e-04
7.070713508343873244e+00,-7.070686916534401512e+00,7.262123745537737984e-04
7.070706609440983392e+00,-7.070678770057960527e+00,7.872530155411870635e-04
7.070672510932427990e+00,-7.070701031763706901e+00,8.711551130171272085e-04
7.070707235552503356e+00,-7.070728706250851481e+00,7.878049717809674580e-04
7.070666912438150931e+00,-7.070812951454326978e+00,7.734218306174109455e-04
7.070622297679363122e+00,-7.070833295924117579e+00,7.219306229747307971e-04
7.070547238055790551e+00,-7.070738186555973748e+00,7.226272720905053916e-04
7.070484754332507116e+00,-7.070729541135531093e+00,6.553620482419022716e-04
7.070508321226749437e+00,-7.070703819261479950e+00,5.779653623795614169e-04
7.070638062809100788e+00,-7.070741171905332578e+00,5.810708601493866582e-04
7.070618586782926762e+00,-7.070854300418515592e+00,5.183497882533418108e-04
7.070654347976691234e+00,-7.070805257094289864e+00,6.951672136748799887e-04
7.070653448457515644e+00,-7.070820137688680340e+00,6.869238373581764865e-04
7.070709262071457779e+00,-7.070864398807765738e+00,6.925852142572751268e-04
7.070719062716412040e+00,-7.070863585915002858e+00,8.064607964525736519e-04
7.070692223148329347e+00,-7.070903534573494298e+00,8.268374719199188044e-04
7.070805261891150550e+00,-7.070937041477971974e+00,8.881114773370967375e-04
7.070870166158287340e+00,-7.070956398180831215e+00,9.112772517974743062e-04
7.070909854774731329e+00,-7.071052746062376215e+00,1.055272753433422750e-03
7.070859047635886796e+00,-7.071038566208008191e+00,9.452732605905266429e-04
7.070837157744700008e+00,-7.070962483587363678e+00,9.064393334469154646e-04
7.070833737329906832e+00,-7.070940935817999318e+00,9.400449104731869836e-04
7.070853152131520325e+00,-7.070937432174974724e+00,9.125096556276106200e-04
7.070886519819109317e+00,-7.070995686607921549e+00,9.872959977675391761e-04
7.070837266287937517e+00,-7.070965419327649215e+00,9.641119257727823535e-04
7.070817851559943357e+00,-7.071038865012018171e+00,9.104147112029140673e-04
7.070848123001698404e+00,-7.071010447310628777e+00,9.314715250070802494e-04
7.070871005704753465e+00,-7.071014677376441071e+00,9.585806964861720136e-04
7.070890866092389260e+00,-7.071026224433511587e+00,9.868964150355438204e-04
7.070922389468711877e+00,-7.071061033188692946e+00,9.687155092504723961e-04
7.070991765473280566e+00,-7.071031748067056810e+00,1.006368001020490439e-03
7.071031545881024449e+00,-7.071059845415656575e+00,1.115122819580778102e-03
7.071081369117980131e+00,-7.071059882150548148e+00,1.065486895323934386e-03
7.071012107307868000e+00,-7.071073637307068616e+00,1.030347625950043351e-03
7.071013894901406083e+00,-7.071111315950818543e+00,1.058913400180953998e-03
7.071055233458687361e+00,-7.071160083460341639e+00,8.718479605707526352e-04
7.071131627802500041e+00,-7.071183396100712670e+00,9.230558989375750849e-04
7.071109828901491312e+00,-7.071161009428882593e+00,9.523903648629201578e-04
7.071115015258119030e+00,-7.071108298318072194e+00,9.155974179180295918e-04
7.071070851395202084e+00,-7.071147794704840450e+00,8.780750899507447403e-04
7.071038131256889514e+00,-7.071152784021304427e+00,8.158158029292864348e-04
7.071057111259351657e+00,-7.071224408400374806e+00,7.430654127918131027e-04
7.071103662337834272e+00,-7.071284442494651934e+00,7.737348037166392372e-04
7.071133315494390281e+00,-7.071227789389605611e+00,7.526346349605956762e-04
7.071134277550322089e+00,-7.071137116772231224e+00,6.739401955803038394e-04
7.071124096609167964e+00,-7.071094268972089480e+00,6.196677392105152428e-04
7.071232136148656089e+00,-7.071132283786119466e+00,6.816607950607192490e-04
7.071252880107366856e+00,-7.071109537547631163e+00,7.006337330826054553e-04
7.071315697703124847e+00,-7.070997102000080581e+00,6.427272412533417949e-04
7.071262079804448319e+00,-7.070932162822088252e+00,5.551491755715453735e-04
7.071189668374333159e+00,-7.071011216068802341e+00,5.082173698254842994e-04
7.071137649392747804e+00,-7.071067357994784253e+00,4.634545364352313842e-04
7.071040447213943203e+00,-7.071043434083726709e+00,4.474877741534935278e-04
7.071035911362803184e+00,-7.071068230309734304e+00,5.547965964421236419e-04
7.071043547050248179e+00,-7.071012948653337737e+00,6.624435385758014423e-04
7.070899367593272977e+00,-7.071106913543650840e+00,7.411628335945268098e-04
7.070912688253544687e+00,-7.071104191131355243e+00,8.844510827884581291e-04
7.070850538599180446e+00,-7.071075250415652214e+00,8.789902657647875222e-04
7.070799714589283802e+00,-7.071081929012917655e+00,8.541154635086113927e-04
7.070852321179803113e+00,-7.071011929482021507e+00,8.524604972761874386e-04
7.070921513315632900e+00,-7.070968249156320162e+00,8.949404074258336238e-04
7.070861900159606250e+00,-7.071007570017133759e+00,9.346595277730079246e-04
7.070841680230658177e+00,-7.071007630654491116e+00,8.843402566055431901e-04
