pos_x (m),pos_y (m),pos_z (m)
-2.707459276231147349e+06,4.688701052007361315e+06,3.360102297215144616e+06
-2.707459205520469230e+06,4.688700981296683662e+06,3.360102297215144616e+06
-2.707459134809827432e+06,4.688700910586472601e+06,3.360102297214725520e+06
-2.707459064099088777e+06,4.688700839875753969e+06,3.360102297213611659e+06
-2.707458993389709387e+06,4.688700769165391102e+06,3.360102297212630510e+06
-2.707458922680785879e+06,4.688700698454812169e+06,3.360102297211886849e+06
-2.707458851972489152e+06,4.688700627744118683e+06,3.360102297211226076e+06
-2.707458781264394056e+06,4.688700557033180259e+06,3.360102297211257275e+06
-2.707458710555424914e+06,4.688700486322590150e+06,3.360102297210865188e+06
-2.707458639846486039e+06,4.688700415611980483e+06,3.360102297210791148e+06
-2.707458569137766957e+06,4.688700344901607372e+06,3.360102297210722230e+06
-2.707458498428186867e+06,4.688700274191319011e+06,3.360102297210545745e+06
-2.707458427718300838e+06,4.688700203480836004e+06,3.360102297210155055e+06
-2.707458357007879764e+06,4.688700132770770229e+06,3.360102297209242359e+06
-2.707458286297737621e+06,4.688700062060587108e+06,3.360102297209390439e+06
-2.707458215587930754e+06,4.688699991350405850e+06,3.360102297208677512e+06
-2.707458144878343213e+06,4.688699920640638098e+06,3.360102297208847944e+06
-2.707458074168728665e+06,4.688699849931425415e+06,3.360102297210691497e+06
-2.707458003459330183e+06,4.688699779222807847e+06,3.360102297212923877e+06
-2.707457932750179432e+06,4.688699708513647318e+06,3.360102297216260806e+06
-2.707457862040684558e+06,4.688699637803653255e+06,3.360102297220856883e+06
-2.707457791331947781e+06,4.688699567094169557e+06,3.360102297225084156e+06
-2.707457720624319743e+06,4.688699496384380385e+06,3.360102297230410390e+06
-2.707457649916924071e+06,4.688699425673859194e+06,3.360102297235748731e+06
-2.707457579208804294e+06,4.688699354963677935e+06,3.360102297241108958e+06
-2.707457508500244003e+06,4.688699284253870137e+06,3.360102297245418653e+06
-2.707457437791027129e+06,4.688699213543806225e+06,3.360102297250085510e+06
-2.707457367081605364e+06,4.688699142833409831e+06,3.360102297256208491e+06
-2.707457296373277437e+06,4.688699072123590857e+06,3.360102297261713538e+06
-2.707457225665744860e+06,4.688699001414716244e+06,3.360102297267111950e+06
-2.707457154958789237e+06,4.688698930706058629e+06,3.360102297273648437e+06
-2.707457084252382163e+06,4.688698859997732565e+06,3.360102297279889230e+06
-2.707457013546015136e+06,4.688698789289712906e+06,3.360102297285099048e+06
-2.707456942839103751e+06,4.688698718581367284e+06,3.360102297289817128e+06
-2.707456872132368386e+06,4.688698647872700356e+06,3.360102297295083757e+06
-2.707456801425654441e+06,4.688698577164254151e+06,3.360102297300199978e+06
-2.707456730717673898e+06,4.688698506456072442e+06,3.360102297305880114e+06
-2.707456660010145511e+06,4.688698435748272575e+06,3.360102297312282491e+06
-2.707456589302176144e+06,4.688698365040651523e+06,3.360102297319209203e+06
-2.707456518594863825e+06,4.688698294333405793e+06,3.360102297327033710e+06
-2.707456447887655348e+06,4.688698223626229912e+06,3.360102297334267292e+06
-2.707456377180577721e+06,4.688698152919352986e+06,3.360102297341662459e+06
-2.707456306474309415e+06,4.688698082212659530e+06,3.360102297350313514e+06
-2.707456235767832957e+06,4.688698011505657807e+06,3.360102297358093318e+06
-2.707456165060698055e+06,4.688697940798788331e+06,3.360102297365355305e+06
-2.707456094353632070e+06,4.688697870092000812e+06,3.360102297373227775e+06
-2.707456023646906950e+06,4.688697799384990707e+06,3.360102297381939366e+06
-2.707455952939834446e+06,4.688697728677703999e+06,3.360102297389817424e+06
-2.707455882233165205e+06,4.688697657969574444e+06,3.360102297397551592e+06
-2.707455811526942067e+06,4.688697587261241861e+06,3.360102297404770739e+06
-2.707455740821469575e+06,4.688697516553860158e+06,3.360102297411996871e+06
-2.707455670116622001e+06,4.688697445846565068e+06,3.360102297418550588e+06
-2.707455599411538802e+06,4.688697375139527023e+06,3.360102297424330376e+06
-2.707455528705158271e+06,4.688697304432115518e+06,3.360102297430140898e+06
-2.707455457998972386e+06,4.688697233723572455e+06,3.360102297435324173e+06
-2.707455387292428873e+06,4.688697163015520200e+06,3.360102297442276031e+06
-2.707455316585894208e+06,4.688697092307318933e+06,3.360102297449145466e+06
-2.707455245878801681e+06,4.688697021598675288e+06,3.360102297456071246e+06
-2.707455175171610899e+06,4.688696950890039094e+06,3.360102297464136034e+06
-2.707455104464688804e+06,4.688696880181003362e+06,3.360102297472404316e+06
-2.707455033756636083e+06,4.688696809471633285e+06,3.360102297481285408e+06
-2.707454963047934230e+06,4.688696738762069494e+06,3.360102297490398400e+06
-2.707454892338835634e+06,4.688696668051541783e+06,3.360102297500951216e+06
-2.707454821630245075e+06,4.688696597341156565e+06,3.360102297510404140e+06
-2.707454750921873376e+06,4.688696526631531306e+06,3.360102297519468702e+06
-2.707454680213536136e+06,4.688696455922122113e+06,3.360102297528869007e+06
-2.707454609505004715e+06,4.688696385212747380e+06,3.360102297537994105e+06
-2.707454538796139415e+06,4.688696314502790570e+06,3.360102297547867056e+06
-2.707454468087766785e+06,4.688696243793136440e+06,3.360102297557508107e+06
-2.707454397379588336e+06,4.688696173082747497e+06,3.360102297566612251e+06
-2.707454326671107206e+06,4.688696102372642606e+06,3.360102297575926874e+06
-2.707454255962396972e+06,4.688696031662495807e+06,3.360102297585512511e+06
-2.707454185253488366e+06,4.688695960952233523e+06,3.360102297595381271e+06
-2.707454114544264507e+06,4.688695890241622925e+06,3.360102297605068423e+06
-2.707454043834346812e+06,4.688695819531305693e+06,3.360102297615132295e+06
-2.707453973124031443e+06,4.688695748820707202e+06,3.360102297626283485e+06
-2.707453902413217817e+06,4.688695678110108711e+06,3.360102297636938281e+06
-2.707453831703096628e+06,4.688695607399372384e+06,3.360102297647241969e+06
-2.707453760992957745e+06,4.688695536688258871e+06,3.360102297657831106e+06
-2.707453690282405354e+06,4.688695465976658277e+06,3.360102297666549683e+06
-2.707453619571089279e+06,4.688695395264823921e+06,3.360102297675780021e+06
-2.707453548859991133e+06,4.688695324553214014e+06,3.360102297685303725e+06
-2.707453478148840833e+06,4.688695253842131235e+06,3.360102297694459558e+06
-2.707453407438132446e+06,4.688695183130653575e+06,3.360102297703240532e+06
-2.707453336727750953e+06,4.688695112419125624e+06,3.360102297711398918e+06
-2.707453266017179936e+06,4.688695041706881486e+06,3.360102297718829475e+06
-2.707453195306143258e+06,4.688694970994036645e+06,3.360102297726566903e+06
-2.707453124594809953e+06,4.688694900281758979e+06,3.360102297734093387e+06
-2.707453053883467335e+06,4.688694829570387490e+06,3.360102297740832902e+06
-2.707452983172226232e+06,4.688694758859444410e+06,3.360102297747029457e+06
-2.707452912459904794e+06,4.688694688148121350e+06,3.360102297753846273e+06
-2.707452841747376136e+06,4.688694617437025532e+06,3.360102297760852613e+06
-2.707452771034219302e+06,4.688694546727054752e+06,3.360102297767279670e+06
-2.707452700321598444e+06,4.688694476017733105e+06,3.360102297772831284e+06
-2.707452629609701689e+06,4.688694405307620764e+06,3.360102297777913511e+06
-2.707452558898325078e+06,4.688694334596946836e+06,3.360102297782548238e+06
-2.707452488187920768e+06,4.688694263886512257e+06,3.360102297787023243e+06
-2.707452417477561627e+06,4.688694193175829947e+06,3.360102297792571131e+06
-2.707452346767126117e+06,4.688694122465700842e+06,3.360102297799195629e+06
-2.707452276058132295e+06,4.688694051754632033e+06,3.360102297806607094e+06
-2.707452205349005293e+06,4.688693981043590233e+06,3.360102297815451398e+06
-2.707452134640499949e+06,4.688693910332838073e+06,3.360102297824241221e+06
-2.707452063932502642e+06,4.688693839622018859e+06,3.360102297832782380e+06
-2.707451993223979603e+06,4.688693768911899999e+06,3.360102297841306776e+06
-2.707451922514764592e+06,4.688693698202217929e+06,3.360102297850256320e+06
-2.707451851806145627e+06,4.688693627492141910e+06,3.360102297859603073e+06
-2.707451781097728759e+06,4.688693556782065891e+06,3.360102297868446447e+06
-2.707451710389087442e+06,4.688693486071967520e+06,3.360102297877631150e+06
-2.707451639680487569e+06,4.688693415361752734e+06,3.360102297886404675e+06
-2.707451568971338682e+06,4.688693344651054591e+06,3.360102297896214761e+06
-2.707451498262187466e+06,4.688693273941108957e+06,3.360102297906982247e+06
-2.707451427552852780e+06,4.688693203231172636e+06,3.360102297917071264e+06
-2.707451356843528338e+06,4.688693132521779276e+06,3.360102297926065978e+06
-2.707451286134926602e+06,4.688693061812525615e+06,3.360102297935983632e+06
-2.707451215425986797e+06,4.688692991103596054e+06,3.360102297946627717e+06
-2.707451144716356881e+06,4.688692920393988490e+06,3.360102297956606373e+06
-2.707451074006029405e+06,4.688692849684470333e+06,3.360102297966811806e+06
-2.707451003296252806e+06,4.688692778975558467e+06,3.360102297975812573e+06
-2.707450932586557698e+06,4.688692708265969530e+06,3.360102297986224759e+06
-2.707450861876960378e+06,4.688692637556862086e+06,3.360102297996943351e+06
-2.707450791167384014e+06,4.688692566847588867e+06,3.360102298008198850e+06
