ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000000000000000e+00,0.000000000000000000e+00,-4.735496176756260667e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.901653937344218726e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.070676486907774283e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.242563825447027703e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.417315952961928360e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.594932869452477142e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.775414574918723787e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.958761069360567042e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.144972352778108160e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.334048425171246777e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.525989286540083256e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.720794936884566972e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.918465376204697925e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.119000604500477003e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.322400621771903317e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.528665428019027495e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.737795023241749170e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.949789407440167821e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.164648580614235485e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.382372542763949497e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.602961293889311634e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.826414833990320119e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.052733163067028244e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.281916281119331202e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.513964188147333800e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.748876884150984523e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.986654369130281594e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.022729664308522679e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.047080370601581834e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.071717555792205800e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.096641219880394402e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.121851362866152968e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.147347984749476346e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.173131085530359208e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.199200665208812033e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.225556723784829494e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.252199261258416918e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.279128277629563826e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.306343772898275546e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.333845747064557230e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.361634200128403549e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.389709132089814503e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.418070542948790269e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.446718432705330848e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.475652801359436239e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.504873648911106265e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.534380975360346078e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.564174780707145551e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.594255064951514989e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.624621828093449238e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.655275070132947945e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.686214791070011643e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.717440990904644949e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.748953669636837915e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.780752827266600846e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.812838463793923438e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.845210579218815994e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.877869173541273184e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.910814246761295010e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.944009405535933865e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.977413043730340547e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.010987611583446721e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.044699228845444239e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.078517334766821634e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.112414371428675963e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.146365497238633679e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.180348327718974133e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.214342700987420898e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.248330465578530024e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.282295288477741124e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.316222481442791903e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.350098843870612342e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.383912520633715459e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.417652873460195906e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.451310364567293831e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.484876451381400742e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.518343491288407776e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.551704655459068860e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.584953850884933502e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.618085649842765150e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.651095226079899803e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.683978297080275510e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.716731071832078470e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.749350203572778284e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.781832747037627840e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.814176119782469598e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.846378067192937067e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.878436630828760556e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.910350119785589129e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.942117084786844927e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.973736294745577524e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.005206715561066844e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.036527490937221785e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.067697925030294925e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.098717466751550731e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.129585695567300974e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.160302308653687575e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.190867109277114366e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.221279996283561076e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.251540954591219190e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.281650046590815606e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.311607404367158125e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.341413222663682348e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.371067752519221727e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.400571295512943948e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.429924198559545800e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.459126849202200304e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.488179671355992895e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.517083121458724548e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.545837684990458882e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.574443873326518428e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.602902220892315199e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.631213282591077984e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.659377631478675852e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.687395856661772342e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.715268561398229963e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.742996361380338755e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.770579883183552283e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.798019762864846172e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.825316644696580681e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.852471180022794073e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.879484026226374027e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.906355845796484516e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.933087305486687058e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.959679075555120420e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.986131829078934885e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.012446241335830166e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.038622989246370310e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.064662750871230656e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.090566204958168584e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.116334030533931809e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.141966906536855220e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.167465511486215490e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.192830523184898084e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.218062618452123047e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.243162472883394543e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.268130760635101240e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.292968154231313349e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.317675324390796021e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.342252939872130213e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.366701667335394887e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.391022171218669712e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.415215113628003252e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.439281154239589711e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.463220950212900817e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.487035156113772416e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.510724423846500031e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.534289402594031770e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.557730738765513934e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.581049075950465266e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.604245054878944643e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.627319313387138067e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.650272486387818560e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.673105205845237009e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.695818100753988489e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.718411797121492413e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.740886917953680069e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.763244083243677096e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.785483909963049598e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.807607012055502338e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.829614000432682985e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.851505482971931116e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.873282064515768042e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.894944346872961205e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.916492928821002550e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.937928406109825374e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.959251371466713465e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.980462414602178001e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.001562122216795814e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.022551078008842751e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.043429862682678788e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.064199053957793240e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.084859226578416980e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.105410952323683205e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.125854800018266388e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.146191335543381484e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.166421121848215137e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.186544718961638978e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.206562684004242669e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.226475571200579395e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.246283931891686336e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.265988314547730198e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.285589264780902852e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.305087325358366712e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.324483036215399778e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.343776934468626649e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.362969554429296437e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.382061427616684313e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.401053082771524316e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.419945045869491196e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.438737840134731272e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.457431986053379802e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.476028001387133060e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.494526401186824671e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.512927697805946536e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.531232400914259273e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.549441017511278318e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.567554051939838899e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.585572005899578585e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.603495378460389986e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.621324666075894072e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.639060362596809028e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.656702959284330490e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.674252944823463451e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.691710805336266787e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.709077024395119082e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.726352083035893514e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.743536459771073055e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.760630630602847191e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.777635069036141857e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.794550246091588974e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.811376630318449799e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.828114687807460115e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.844764882203669032e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.861327674719152014e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.877803524145733149e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.894192886867578096e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.910496216873806219e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.926713965770974113e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.942846582795540655e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.958894514826248212e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.974858206396476135e+01
0.000000000000000000e+00,0.000000000000000000e+00,-5.990738099706481989e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.006534634635634973e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.022248248754556244e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.037879377337206677e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.053428453372922746e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.068895907578378512e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.084282168409498581e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.099587662073308536e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.114812812539694420e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.129958041553175718e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.145023768644531259e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.160010411142428666e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.174918384184969966e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.189748100731156910e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.204499971572363393e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.219174405343660084e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.233771808535161085e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.248292585503240559e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.262737138481763566e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.277105867593186161e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.291399170859678236e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.305617444214085054e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.319761081510950618e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.333830474537366939e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.347826013023878744e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.361748084655223323e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.375597075081110177e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.389373367926864233e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.403077344804083282e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.416709385321173897e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.430269867093898029e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.443759165755797369e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.457177654968636205e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.470525706432704283e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.483803689897146683e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.497011973170198473e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.510150922129358264e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.523220900731540439e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.536222271023137864e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.549155393150066118e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.562020625367721038e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.574818324050926321e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.587548843703793011e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.600212536969515043e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.612809754640183257e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.625340845666458733e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.637806157167278798e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.650206034439436564e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.662540820967151944e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.674810858431615657e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.687016486720413866e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.699158043936975560e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.711235866409911921e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.723250288702348598e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.735201643621192602e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.747090262226339519e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.758916473839856565e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.770680606055110218e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.782382984745804322e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.794023934075057980e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.805603776504347024e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.817122832802455434e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.828581422054348593e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.839979861670028072e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.851318467393305411e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.862597553310558851e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.873817431859433214e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.884978413837490052e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.896080808410819429e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.907124923122607640e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.918111063901662305e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.929039535070859301e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.939910639355596800e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.950724677892186776e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.961481950236174043e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.972182754370642499e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.982827386714474471e+01
0.000000000000000000e+00,0.000000000000000000e+00,-6.993416142130570279e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.003949313933986787e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.014427193900098700e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.024850072272647594e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.035218237771806571e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.045531977602163920e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.055791577460685460e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.065997321544624299e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.076149492559396492e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.086248371726408379e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.096294238790858344e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.106287372029466098e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.116228048258200545e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.126116542839933743e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.135953129692074981e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.145738081294148003e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.155471668695375342e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.165154161522129073e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.174785827985445508e+01
0.000000000000000000e+00,0.000000000000000000e+00,-7.184366934888439005e+01
