gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707028705550088547e+06,4.688714046083529480e+06,3.360428117749981582e+06,-3.618939487668972055e-02,-2.987762761799516928e-02,9.382692388737190470e-02
-2.707028715894753113e+06,4.688706392302414402e+06,3.360434719488759525e+06,-2.011140286723641594e-03,7.313139022927651889e-02,-3.624898355367017072e-02
-2.707034422883956227e+06,4.688711903253064491e+06,3.360442967530244030e+06,-6.294710229189543448e-03,2.351893109357845735e-02,3.016375265853652593e-02
-2.707037755170639139e+06,4.688715468493625522e+06,3.360423664113749284e+06,4.037759627393932953e-03,-6.158319708532102553e-03,-9.290298669617757729e-03
-2.707032446154271252e+06,4.688708013552363031e+06,3.360431779126252048e+06,-4.280368564398598363e-02,3.040062679162283676e-02,-5.931917200462867579e-02
-2.707038814302172512e+06,4.688713250144734979e+06,3.360435095067278016e+06,-1.462923157641115614e-02,8.713014261372398206e-02,-1.800330428233202357e-02
-2.707034744952754118e+06,4.688716407255507074e+06,3.360438319864809513e+06,7.276186263190814740e-02,1.050874383737585016e-02,-3.155533691233240040e-02
-2.707027073335587047e+06,4.688711236561045982e+06,3.360443196039943490e+06,4.438639457427026591e-02,-6.870628573558569541e-02,1.446848604359419338e-02
-2.707032430205850396e+06,4.688706707489435561e+06,3.360442706995296292e+06,8.481193673073475145e-03,-7.964999541487147172e-02,4.118319883538108794e-02
-2.707032349262389820e+06,4.688712139773484319e+06,3.360434915968541056e+06,-6.854695095986579334e-02,-5.607802358739441551e-02,6.828843624266842105e-02
-2.707028603036147542e+06,4.688714648488647304e+06,3.360428616402469575e+06,-2.945632565928402863e-02,-1.868702171350002453e-02,7.978372838344859053e-02
-2.707022014041702263e+06,4.688708220875292085e+06,3.360435832006026059e+06,-6.227146449712997467e-02,-2.973927174762554596e-02,1.570688636641923630e-03
-2.707033087770130020e+06,4.688715405036135577e+06,3.360434419338020962e+06,-4.526276938326637134e-02,-6.144074464717382000e-03,-3.917865187674421379e-02
-2.707019029076425359e+06,4.688720201030317694e+06,3.360426208409643266e+06,-1.753435119006868659e-02,2.503663826371538281e-02,1.688373911383342016e-03
-2.707032833483789116e+06,4.688712880483925343e+06,3.360431906521710567e+06,4.102324579855497894e-02,-6.859343077051399673e-02,-6.149635773852482612e-02
-2.707031813700420316e+06,4.688710806814396754e+06,3.360435663212482352e+06,1.123786419478532304e-03,7.458096511760289871e-02,-9.109189449875185890e-03
-2.707031808532588650e+06,4.688709842993233353e+06,3.360414345748389605e+06,-9.897313599077056222e-04,4.171471685118668948e-02,3.760259073502608251e-03
-2.707022108340803068e+06,4.688714576200221665e+06,3.360434268714158796e+06,3.249935030663118202e-02,-5.696982326385845175e-03,-2.801969274189115844e-02
