gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707022126671821345e+06,4.688717051834021695e+06,3.360414626039053779e+06,-1.913314411752269767e-02,1.095347646759923382e-02,4.170318175491469562e-03
-2.707030459035329986e+06,4.688708259308389388e+06,3.360435796540231444e+06,1.130620009408224609e-02,-1.675879670116565620e-02,6.378478660410160511e-03
-2.707027161179981660e+06,4.688708729097766802e+06,3.360443810634514317e+06,-8.530594851610978635e-02,6.366729492572224813e-02,-2.785247003116264608e-02
-2.707023777050788049e+06,4.688718004127713852e+06,3.360430598205623217e+06,4.067425770523400153e-02,1.693299347179525252e-02,1.012244908465976395e-01
-2.707022836205353029e+06,4.688705364006287418e+06,3.360436102022720966e+06,2.106290513986648974e-02,-4.471762293570918922e-02,4.540945089283039693e-02
-2.707020859148065094e+06,4.688711170645398088e+06,3.360433880956239067e+06,7.224201445370073693e-02,-1.243384765076255109e-03,1.345620017835947105e-02
-2.707030852816408500e+06,4.688711124782539904e+06,3.360439222627083771e+06,8.041364579526734391e-03,1.142960737952771338e-01,-3.995570617205990160e-02
-2.707028122521174606e+06,4.688716114101274870e+06,3.360438731836958323e+06,-1.500446976117474351e-01,3.762035488452138143e-02,-1.686526546077862440e-02
-2.707046166651769541e+06,4.688705909543870017e+06,3.360442548147852067e+06,7.308978415625662362e-02,-6.594765954979102569e-03,6.545354066906126228e-03
-2.707033098901246209e+06,4.688710798390450887e+06,3.360444054014111869e+06,6.438405810000165375e-02,-4.176167272014923333e-03,-4.910288874536312270e-02
-2.707025475820410065e+06,4.688716915378710255e+06,3.360423531034348067e+06,3.068925769856385016e-02,5.110659830780240427e-04,-8.420983280277861624e-03
-2.707018234035572968e+06,4.688714510534933768e+06,3.360431952162411995e+06,2.064064700271441011e-02,-3.790843784953071283e-02,-1.541905437837826423e-02
-2.707026983016518410e+06,4.688702403798002750e+06,3.360425178989259992e+06,-6.431823057454753856e-02,-2.716767367589200885e-02,5.252968441742065370e-02
